 	la	manière	dont	le	pain	a	suffi	pour	tout	le	monde	nous	a	surpris	</S>
á	0.000102223	0.000101512	0.00089381	0.000547369	0.00168511	0.0079716	0.0200497	0.00961794	0.266631	0.134216	0.290314	0.0198911	0.0451042	0.162189	0.0406852
m	0.000114826	0.000887957	0.0018561	0.0199607	0.00879939	0.00369591	0.00359043	0.0129751	0.107042	0.118274	0.223955	0.188368	0.138517	0.0899304	0.0820335
b	0.00207198	0.000371709	0.00173891	0.00219872	0.00275108	0.0135375	0.00409518	0.1261	0.0708849	0.23056	0.0952268	0.208491	0.169878	0.0297408	0.0423531
i	0.00213663	0.000646439	0.00972655	0.00412916	0.00544343	0.0376705	0.0195693	0.164929	0.161575	0.161411	0.0609356	0.115864	0.0401044	0.0190933	0.196766
s	0.000328371	0.000196339	0.00236874	0.00321797	0.00173862	0.00830716	0.000840314	0.0238214	0.0517843	0.173767	0.193564	0.110137	0.326288	0.0408613	0.0627789
i	0.0089071	0.00394097	0.0143313	0.00422752	0.000689886	0.00467077	0.00261716	0.0184734	0.0221953	0.121644	0.265814	0.20588	0.0643596	0.129705	0.132545
b	0.00192453	0.00540429	0.0238372	0.0414397	0.000644857	0.00364797	0.00013816	0.0115208	0.0110641	0.0878967	0.165864	0.272005	0.259644	0.0345256	0.0804426
í	0.000982239	0.00102484	0.00261937	0.029409	0.00191778	0.00466372	0.00107284	0.00386691	0.010566	0.0222322	0.0364165	0.785601	0.0518658	0.0372168	0.0105452
s	0.000457672	0.0029829	0.00962134	0.187116	0.00219661	0.00219192	0.000373452	0.0108445	0.0183542	0.0391395	0.038621	0.619296	0.0340771	0.00843298	0.0262957
í	0.00264083	0.00567039	0.00513667	0.00551755	0.000806054	0.00182313	0.00322915	0.00674092	0.0147157	0.0532128	0.10009	0.258225	0.0914517	0.0661545	0.384586
a	0.000161918	0.000116212	0.00144604	0.00219385	0.000491959	0.00162794	0.000340153	0.00190933	0.0030687	0.0126993	0.0364836	0.0554298	0.166188	0.132724	0.585119
y	0.00026314	5.94364e-05	0.00187207	0.000686715	0.00068516	0.0069561	0.00342857	0.00375849	0.00436988	0.00791355	0.0147104	0.0224038	0.263982	0.556611	0.112299
έ	0.000184766	0.000572875	0.00312499	0.000735403	0.000942212	0.00382916	0.000318061	0.00119039	0.00152507	0.00763289	0.0292587	0.052175	0.175992	0.481739	0.240779
l	0.000307881	0.000224653	0.0010292	0.000441219	0.000117214	0.000828271	0.000156638	0.00375366	0.00423245	0.0236699	0.0316491	0.0451629	0.0677412	0.159122	0.661564
i	0.00207093	0.000433982	0.00185584	0.00466775	0.000688704	0.00450905	0.00061541	0.0126314	0.0409131	0.0871931	0.0941488	0.120045	0.179801	0.115181	0.335245
</S>	0.00110197	0.000914663	0.00630803	0.0033616	0.000452706	0.00145	0.000143072	0.0114171	0.0070746	0.0341349	0.0305942	0.10967	0.14231	0.065993	0.585074
