 	tout	le	village	ne	veut	plus	de	nyasoni	parce	qu'	elle	prononce	tout	temps	des	malédictions	sur	les	enfants	</S>
t	0.000497138	0.00193488	0.000165134	0.00757688	0.00208106	0.0201487	0.0333791	0.0201511	0.160242	0.304354	0.254934	0.0516321	0.0408197	0.0269333	0.0354057	0.0119449	0.00867233	0.00592845	0.00125053	0.0119488
s	0.00306695	0.00537121	0.000909789	0.00724421	0.0215363	0.0359233	0.0313737	0.0387145	0.131575	0.0408211	0.0938099	0.193507	0.159643	0.0306451	0.0717443	0.0676441	0.0177624	0.0174247	0.0116585	0.0196253
í	0.000193926	0.00087472	0.00015636	0.00118546	0.00775743	0.0113718	0.0167956	0.108594	0.0875291	0.043574	0.082408	0.198926	0.0652875	0.0255251	0.0540614	0.199	0.0254487	0.0226533	0.00903218	0.0396251
n	0.000347245	0.00102799	5.22631e-05	0.00191462	0.0031873	0.0068272	0.0279811	0.595954	0.0842594	0.100317	0.0295557	0.0559362	0.0122556	0.00659059	0.00999128	0.0404588	0.00379649	0.00476633	0.00357959	0.0112013
a	0.00119745	0.00497552	3.33331e-05	0.000804852	9.07919e-05	0.00212002	0.0281759	0.550754	0.142516	0.17328	0.00780039	0.00381602	0.00084754	0.00282051	0.0021675	0.00585164	0.00300985	0.00777851	0.0135573	0.0484029
w	0.000728299	0.00324371	0.000169315	0.00442135	0.000806617	0.0125679	0.0185465	0.0291612	0.115223	0.210916	0.185163	0.075169	0.0858758	0.0719786	0.0685031	0.0354003	0.0233084	0.0239929	0.00196937	0.0328551
a	0.00213518	0.00515306	2.63152e-05	0.0097598	0.00354092	0.028401	0.0432659	0.0301861	0.132856	0.118979	0.158092	0.0857719	0.0629814	0.0353096	0.0911158	0.039002	0.0210301	0.0385536	0.044258	0.0495821
l	0.000378115	0.00135174	7.94917e-05	0.00228981	0.000765671	0.00633542	0.0133313	0.010859	0.0822226	0.16606	0.148407	0.107688	0.168341	0.0603563	0.100953	0.0422729	0.020418	0.0225955	0.00580184	0.0394926
á	0.00640244	0.0075888	0.000139573	0.00593362	0.00319498	0.0142557	0.030657	0.043507	0.0758555	0.122377	0.0628338	0.117501	0.040737	0.0567934	0.0374119	0.0334314	0.0656505	0.0363026	0.00986346	0.229563
a	0.000286885	0.000429787	4.89421e-05	0.00120498	0.000606531	0.00560791	0.0113077	0.00770299	0.0244534	0.0492406	0.0612742	0.100464	0.162109	0.158364	0.140985	0.084263	0.0798847	0.0605261	0.0135506	0.0376904
p	0.000750901	0.00236268	0.000172391	0.0115262	0.0112626	0.00636575	0.00384936	0.00719814	0.00509502	0.0126595	0.0418194	0.245937	0.0967995	0.104504	0.115516	0.20483	0.0719599	0.0168504	0.00385965	0.0366817
é	2.27339e-05	0.000104328	0.000340749	0.00299374	0.0101152	0.00331254	0.00368991	0.006507	0.00508225	0.00747952	0.0321057	0.334348	0.0830217	0.0610158	0.0713895	0.285308	0.0554893	0.0143473	0.00271287	0.0206142
n	0.000426222	0.00145558	0.000208626	0.00351938	0.00544708	0.00582898	0.00895428	0.00892516	0.00761703	0.0126186	0.030166	0.213633	0.11234	0.059697	0.0896106	0.336601	0.0398522	0.0295051	0.00580644	0.0277873
d	0.000265754	0.000665489	3.59825e-05	0.00129707	0.0020749	0.0051984	0.0105919	0.00420247	0.024196	0.029719	0.0536577	0.217144	0.0870663	0.0690697	0.0992248	0.296651	0.0378526	0.0259212	0.00692876	0.0282367
á	0.000241193	0.000947263	0.000102791	0.0020707	0.00193499	0.0164587	0.0366804	0.0133721	0.0593086	0.0646112	0.0481486	0.209095	0.0875318	0.0667219	0.0701882	0.194624	0.0378375	0.0218914	0.0046353	0.063598
o	0.000416892	0.0006964	4.35517e-05	0.00050296	0.0004775	0.00725408	0.0148178	0.000886559	0.0220857	0.0573973	0.0490286	0.0355817	0.10494	0.10088	0.217124	0.115552	0.104135	0.123377	0.0175888	0.0272138
k	7.35644e-05	0.000211177	1.35631e-05	0.00130155	0.00172046	0.00217963	0.00135571	0.000929383	0.00183962	0.00300291	0.00977047	0.0407747	0.037599	0.14623	0.124709	0.226755	0.266245	0.0757055	0.0326476	0.0269351
w	1.58775e-05	2.5933e-05	2.18517e-05	0.000519884	0.00450621	0.00190511	0.00104634	0.000985953	0.000478391	0.000739388	0.00515386	0.143131	0.0640435	0.113646	0.0873923	0.337308	0.151119	0.039525	0.0187489	0.0296871
e	0.000348982	0.00037198	6.84938e-06	0.000220247	0.00111542	0.00106567	0.00259934	0.00360666	0.00255596	0.00309192	0.00969617	0.0456167	0.0344315	0.0287227	0.0971535	0.602149	0.0416772	0.0279374	0.0572194	0.040413
r	1.61719e-05	2.84102e-05	6.6159e-06	8.20738e-05	0.000400151	0.00122364	0.0011425	0.000219903	0.00154825	0.0016824	0.0117315	0.0309248	0.0620087	0.0940613	0.173505	0.347092	0.135898	0.0714848	0.0236835	0.0432608
é	0.000106422	0.000334867	5.23669e-05	0.00045199	0.000743837	0.00264322	0.00460634	0.000814715	0.00794194	0.0186162	0.0165125	0.0518534	0.0290734	0.0811181	0.0866057	0.367343	0.110466	0.0748008	0.0240468	0.121869
e	6.96641e-05	0.000224674	2.97743e-05	0.000335857	0.000129517	0.00139819	0.00200437	0.000539657	0.00583119	0.0337004	0.0173787	0.0161595	0.0668091	0.0710565	0.119973	0.0793005	0.210218	0.270125	0.0363915	0.0683256
b	0.000534444	0.00122946	4.21348e-05	0.00217354	0.00142289	0.00544416	0.004136	0.000255875	0.00421528	0.00795095	0.0120762	0.0130217	0.028496	0.0479886	0.0841847	0.0989665	0.242086	0.160227	0.0427255	0.242823
á	0.000125062	0.000199787	1.05865e-06	0.000919461	0.000871744	0.00260147	0.00456419	0.00095528	0.000674012	0.00302109	0.0168836	0.0168414	0.0138712	0.0447991	0.0579869	0.0749391	0.0910558	0.081548	0.543354	0.0447884
n	0.000711184	0.00172505	1.56857e-06	0.000521557	0.000393663	0.00124258	0.00593007	0.00504815	0.00182853	0.0173299	0.0245765	0.0134309	0.00992229	0.021707	0.0701025	0.0937294	0.0368161	0.0692531	0.582176	0.0435544
a	0.000893515	0.00190531	3.12555e-05	0.000237056	0.000214624	0.00156219	0.00379073	0.00164995	0.00584713	0.0330977	0.0151952	0.0146027	0.00934484	0.0662962	0.04863	0.0793595	0.0759636	0.182565	0.329647	0.129166
b	3.51102e-05	0.000103457	8.36568e-06	0.000189516	0.000100273	0.000857382	0.00108124	0.000332586	0.00358606	0.0212136	0.0119742	0.0093242	0.0320418	0.0539499	0.0562927	0.0318156	0.223799	0.253564	0.0320351	0.267696
á	0.000395047	0.000791176	3.57136e-06	0.00274336	0.00135933	0.00486614	0.00950313	0.0055906	0.00467934	0.0290746	0.0424658	0.0326114	0.0243279	0.0653131	0.0998362	0.0755276	0.106673	0.20368	0.139565	0.150993
n	0.00145874	0.00500001	3.1366e-05	0.00171128	0.00051184	0.0028993	0.00679787	0.00376898	0.00488255	0.020929	0.012893	0.00534523	0.0160868	0.0322006	0.0695945	0.0443488	0.0811417	0.144673	0.308726	0.236999
d	0.00150756	0.00402186	2.70288e-05	0.000253035	4.84353e-05	0.00095756	0.00649016	0.0108071	0.00842382	0.0588999	0.00452826	0.00316239	0.00311047	0.0449237	0.0167953	0.0250657	0.0870024	0.250488	0.269694	0.203793
z	0.000343723	0.00138454	0.000999185	0.00046956	9.72252e-05	0.00118943	0.00501575	0.0114467	0.0148509	0.0594575	0.00509657	0.00530403	0.00941986	0.0534395	0.0239696	0.0314565	0.118985	0.225061	0.184439	0.247574
é	1.00033e-05	2.61009e-05	4.98778e-06	3.60198e-05	4.61977e-05	0.000938175	0.00435355	0.00126802	0.00264815	0.00831642	0.00189839	0.00496981	0.00786325	0.0596662	0.018573	0.0877259	0.216074	0.160466	0.0649063	0.360209
s	2.98329e-06	8.97773e-06	8.20079e-06	4.13438e-05	9.33392e-05	0.00262382	0.00943085	0.00184519	0.00337795	0.00542405	0.00352629	0.0129098	0.0147864	0.0518204	0.015525	0.0716422	0.143903	0.0861206	0.0162322	0.560677
i	9.24677e-05	0.000210971	6.65985e-05	0.000227263	0.000220966	0.00538941	0.0100469	0.000331284	0.00559584	0.0118007	0.0112869	0.0152839	0.0630199	0.0726162	0.0619551	0.082518	0.155441	0.110537	0.0683798	0.32498
i	0.00032268	0.00117952	3.32475e-05	0.000980116	0.000188064	0.00173082	0.00238176	0.000248692	0.00568643	0.0219705	0.0181741	0.00847116	0.0240419	0.04954	0.0551039	0.0284104	0.140575	0.0953345	0.025019	0.520609
b	0.000503007	0.00114389	0.000154387	0.00564054	0.00350461	0.00606485	0.00455475	0.000306423	0.00364741	0.00530399	0.0106321	0.0162254	0.0269386	0.0250453	0.0387925	0.0375025	0.155175	0.0836598	0.0236585	0.551547
v	0.00014188	0.000271968	1.61758e-06	0.00192738	0.00257368	0.00362173	0.0042194	0.00101696	0.000698021	0.00302425	0.0165396	0.0210207	0.0147354	0.0484439	0.0504622	0.04246	0.191157	0.169061	0.341843	0.0867809
u	4.33662e-05	5.10757e-05	1.50206e-07	0.000133207	0.000549596	0.000835066	0.00152697	0.000329375	0.000269056	0.00100567	0.00825012	0.0109871	0.00785439	0.0397553	0.0622506	0.0907515	0.139617	0.161126	0.403606	0.0710586
n	0.000251193	0.000391129	1.05129e-05	0.000422724	0.000423502	0.00158118	0.00328781	0.00147629	0.000490993	0.00576622	0.00435316	0.00770046	0.0325388	0.0453123	0.0436905	0.117909	0.278273	0.214494	0.0212504	0.220377
y	0.000314414	0.00130231	7.55424e-06	0.000515436	9.55062e-05	0.00128026	0.00300957	0.000224418	0.000774325	0.00297731	0.00275246	0.00432495	0.0101806	0.0431691	0.0313539	0.108117	0.199262	0.16759	0.0354895	0.387259
á	0.000102395	0.000665931	3.36713e-05	0.000648563	0.000403497	0.00174379	0.00351802	0.000191571	0.000987427	0.00296927	0.00366967	0.00789441	0.0184485	0.0369788	0.032436	0.101249	0.197621	0.104035	0.0123039	0.4741
</S>	0.000132846	0.00040624	2.14374e-05	0.000407209	0.00036318	0.00392646	0.00452615	0.000183579	0.00604721	0.0242148	0.0150664	0.00619283	0.0243559	0.0450148	0.0777654	0.0408601	0.136217	0.179978	0.0357079	0.398612
