 	notre	mère	a	attrapé	une	grenouille	dans	l'	étang	où	elle	trempe	le	manioc	</S>
i	0.00728209	0.000433852	0.0743163	0.0547773	0.26916	0.118343	0.0995286	0.097916	0.0328831	0.0263239	0.0555713	0.0722963	0.0613056	0.00876432	0.0210992
k	0.000568392	0.000156224	0.00239747	0.0555013	0.185648	0.407875	0.0347628	0.0548199	0.0618793	0.0171994	0.0391834	0.0707593	0.0141134	0.0285652	0.0265713
u	1.70873e-05	1.59548e-06	0.000622713	0.29963	0.140465	0.334084	0.0145319	0.00573023	0.043711	0.0128745	0.0383446	0.0459835	0.00207741	0.0537969	0.00813059
ú	0.000347634	1.13599e-05	0.000936146	0.0385516	0.105495	0.267625	0.0609344	0.0186312	0.0878464	0.0326937	0.129266	0.233983	0.00503783	0.0122678	0.00637348
n	0.000166611	1.3618e-06	0.000434884	0.000357785	0.069895	0.030085	0.102752	0.111507	0.061912	0.106223	0.237405	0.193237	0.0668201	0.00692935	0.0122736
u	0.000886548	5.34921e-06	0.000254143	0.000121984	0.040845	0.124897	0.0470922	0.128747	0.233318	0.110477	0.0928245	0.164808	0.0387423	0.0014243	0.0155566
s	9.83414e-05	6.47172e-07	0.000728241	7.37836e-05	0.0230122	0.0122728	0.129737	0.245882	0.0790539	0.0960908	0.0947215	0.124009	0.181224	0.00423564	0.00886074
é	0.000283585	1.67343e-07	3.93537e-05	0.000168218	0.00679513	0.00550995	0.015992	0.0574811	0.0858067	0.0693803	0.176577	0.475933	0.0537743	0.00941089	0.0428482
d	8.49163e-05	1.94992e-06	0.000389392	0.000276709	0.00280936	0.00220663	0.0182443	0.0591123	0.0478373	0.0738768	0.0589191	0.289475	0.287873	0.106234	0.0526597
u	0.000102965	3.7355e-07	9.9722e-05	0.000151448	0.00198606	0.00372141	0.00693877	0.0543063	0.0707626	0.0742608	0.0797995	0.466669	0.0841915	0.0796655	0.0773444
b	2.03099e-05	3.95362e-07	2.86429e-05	3.1537e-05	0.00135803	0.00133233	0.00474214	0.0246323	0.0266269	0.0468733	0.137649	0.55392	0.110641	0.0153226	0.0768211
h	0.000254188	2.76442e-07	4.50303e-05	0.000245258	0.00511197	0.00215472	0.00753885	0.0327714	0.103886	0.141401	0.278239	0.138677	0.0467157	0.154972	0.0879862
u	0.000208996	8.13771e-07	2.9621e-05	6.41354e-05	0.0053627	0.013681	0.0187595	0.0543856	0.061341	0.11012	0.210886	0.20063	0.122827	0.0656959	0.136007
l	0.00017322	3.38498e-07	3.87284e-05	1.49603e-05	0.00316817	0.0030423	0.00729949	0.0331822	0.0172803	0.26739	0.112296	0.0446555	0.303508	0.0273324	0.180617
u	0.000203202	4.64977e-07	7.92328e-05	0.000150938	0.00526864	0.00305126	0.0143047	0.0654252	0.031755	0.165023	0.103195	0.0819245	0.249523	0.0302156	0.24988
</S>	3.13867e-05	1.46812e-07	5.30088e-05	3.33771e-05	0.00179245	0.000822686	0.0052577	0.0240319	0.0112324	0.101354	0.041991	0.0483382	0.285875	0.0222183	0.456968
