 	des	gens	se	sont	réunis	en	grand	nombre	au	milieu	du	village	pour	écouter	la	parole	de	dieu	</S>
ó	0.0035912	0.000444323	0.0189333	0.0100672	0.0530148	0.103942	0.314201	0.0158386	0.115024	0.0970907	0.0489238	0.0239624	0.0380445	0.047535	0.0183842	0.0131151	0.00692152	0.00755064	0.0634157
s	0.00152952	5.49925e-05	0.00705293	0.00800522	0.0126003	0.0427108	0.0716407	0.049291	0.495293	0.174146	0.0744053	0.0175517	0.0175936	0.00427099	0.00639902	0.00206003	0.00144629	0.00026804	0.0136807
w	0.00929155	0.000110286	0.0117079	0.0155363	0.0202774	0.0462946	0.0821072	0.0106941	0.345064	0.22522	0.0935529	0.0102496	0.0244764	0.0090619	0.0248616	0.0148912	0.0193238	0.00565955	0.03162
έ	0.00133199	1.00495e-05	0.000700451	0.00398091	0.0222992	0.0448149	0.131115	0.0031034	0.241284	0.35173	0.0606584	0.0443808	0.0262145	0.0102658	0.013856	0.0143485	0.00678951	0.0169817	0.00613424
b	0.000196237	1.86178e-05	0.00172487	0.00369707	0.00561576	0.0244749	0.0481165	0.0193837	0.359271	0.236923	0.146561	0.0373459	0.0457282	0.00988936	0.0203342	0.00576231	0.00590108	0.000579502	0.0284765
h	0.00371701	0.00219275	0.00330787	0.00439976	0.010449	0.0303282	0.0579998	0.0676794	0.141838	0.188988	0.0845847	0.061375	0.101227	0.00779229	0.0919529	0.0309797	0.0376338	0.00710704	0.066448
έ	0.00154437	0.000312896	0.000382736	0.00045427	0.00504528	0.0104449	0.0445294	0.0226109	0.0626071	0.300082	0.10916	0.0426252	0.158463	0.0173447	0.0955888	0.0410103	0.0335474	0.0115129	0.0427343
y	0.000938618	7.7832e-05	0.00187484	0.00127883	0.00128205	0.0103148	0.0194047	0.0179073	0.10815	0.184123	0.228178	0.0544379	0.218677	0.0413013	0.064421	0.0101478	0.0111489	0.00115096	0.0251843
á	0.0555186	0.00102206	0.0248513	0.0102734	0.0139061	0.0379026	0.052559	0.00139831	0.0902014	0.0946291	0.100921	0.0933121	0.0656777	0.0304581	0.0991364	0.047213	0.0843082	0.040884	0.0558271
p	0.00951804	0.000490275	0.00526784	0.00968275	0.00173818	0.00958011	0.0124023	0.000936975	0.0107303	0.0351635	0.0737789	0.366937	0.140761	0.0904747	0.0762989	0.0189292	0.0190075	0.110971	0.00733145
o	0.00026239	0.000136684	0.000447571	0.00053249	0.000581816	0.00106005	0.00123219	0.000355216	0.00314253	0.0109873	0.0192856	0.914183	0.0166219	0.00386073	0.0187399	0.00196092	0.0012335	0.0013538	0.00402228
o	0.000448195	7.0128e-05	0.0001577	0.000242437	0.00159772	0.00100246	0.00204232	0.000176809	0.00853181	0.0242982	0.0260168	0.871545	0.02758	0.00338204	0.0233429	0.00213234	0.00096859	0.00148124	0.00498355
m	0.000757163	1.36297e-05	0.00203149	0.000924261	0.00054306	0.00463033	0.00368583	0.000922436	0.028966	0.0394178	0.0602278	0.0213069	0.190057	0.0334341	0.398093	0.0700213	0.0692951	0.00469407	0.0709787
í	0.00903033	0.000211603	0.00309746	0.000664111	0.000358618	0.00602589	0.00441343	0.000817658	0.0168082	0.0184787	0.013126	0.047144	0.117454	0.0984843	0.138479	0.1792	0.122289	0.0303528	0.193564
b	0.00193942	0.000229271	0.00704431	0.00381083	0.00123826	0.00850894	0.00698233	0.00296096	0.0216303	0.0284325	0.0234198	0.0168245	0.101289	0.11866	0.289552	0.151414	0.101322	0.0393144	0.0754273
ó	0.00455235	0.00324117	0.00880394	0.00821856	0.00220542	0.0120737	0.00793735	0.00656505	0.0127266	0.0324806	0.0122546	0.0141271	0.120417	0.137142	0.196107	0.180202	0.105084	0.0197526	0.11611
n	0.000436842	0.000201796	0.00118638	0.00119561	0.000827895	0.0033445	0.00356444	0.00347428	0.0175997	0.040781	0.0364697	0.307999	0.14799	0.153347	0.152809	0.0356932	0.0178957	0.00571676	0.0694667
d	0.00336119	0.000443589	0.00138024	0.000297657	0.00585297	0.00891771	0.013065	0.00329615	0.0246795	0.0491696	0.0453463	0.196029	0.184933	0.0868278	0.194183	0.042116	0.0272487	0.022366	0.0904866
a	0.000901742	0.000304679	0.000710388	0.000134228	0.00352589	0.00322398	0.00737005	0.00067495	0.020397	0.0610303	0.0466785	0.233077	0.0725204	0.0501409	0.181223	0.0692313	0.0332989	0.0475858	0.167971
l	0.0010782	0.000172375	0.0029523	0.00260429	0.000924008	0.00307735	0.00393809	0.000750659	0.0146978	0.0244666	0.0388928	0.0064272	0.0735075	0.0204845	0.245403	0.113773	0.215857	0.0292452	0.201748
á	0.0049773	0.000186901	0.00414251	0.00451944	0.00358767	0.0066863	0.00365452	0.000542295	0.0210262	0.0151204	0.0116907	0.00243763	0.0188512	0.00453088	0.0943477	0.121761	0.233458	0.034037	0.414442
t	0.00138246	0.000501838	0.00223287	0.00378038	0.000800204	0.00322845	0.00295266	0.000357345	0.00203237	0.00471125	0.00496915	0.00346331	0.0110961	0.00936226	0.0346963	0.0923585	0.141018	0.640689	0.0403674
s	0.000623075	0.000553889	0.00370672	0.00544351	0.00170715	0.00460162	0.00243878	0.000397211	0.00407204	0.0130469	0.0155972	0.0999407	0.0182613	0.007874	0.148231	0.153337	0.165276	0.242659	0.112234
a	0.00012844	2.32402e-05	9.42926e-05	0.000116473	0.000170025	0.000271743	0.000244438	7.0592e-05	0.000933402	0.00856347	0.00464752	0.0165526	0.0083505	0.00335114	0.0761169	0.208706	0.190323	0.389174	0.0921618
n	0.000421086	3.83572e-05	0.000149642	9.20803e-05	0.000139365	0.000426108	0.000265342	0.000127684	0.00198632	0.0122211	0.00481833	0.0156914	0.0124184	0.0119069	0.0890811	0.305246	0.167752	0.137111	0.240106
g	0.000249159	2.58793e-05	0.00022313	0.000149387	0.000624884	0.000753677	0.00130765	0.000145259	0.00219404	0.00431989	0.00259702	0.00346869	0.00841749	0.00819262	0.0659031	0.278843	0.173159	0.32173	0.127696
e	0.000231136	3.62875e-05	0.000447317	0.000404474	0.00372001	0.00100233	0.00148301	4.72401e-05	0.00287032	0.00639354	0.00290757	0.00101699	0.00548013	0.0144653	0.0483276	0.148193	0.129082	0.444069	0.189823
y	0.000902779	7.19595e-05	0.00178311	0.00125765	0.00116208	0.00253877	0.00231815	0.000724696	0.00473348	0.00571329	0.00816143	0.00175111	0.0175296	0.00510725	0.0852841	0.125817	0.278857	0.058456	0.397831
á	0.00188095	7.91609e-05	0.00519266	0.00318058	0.00287875	0.0104715	0.0098254	0.000191023	0.0110589	0.015423	0.0150323	0.00375229	0.0122199	0.00427888	0.0576706	0.181242	0.353125	0.214608	0.0978893
n	0.00491453	0.00129018	0.00716392	0.00781884	0.00175187	0.00697127	0.00349969	0.000324488	0.00276001	0.00968709	0.0086697	0.0043619	0.00973642	0.00511859	0.0266177	0.0838794	0.211566	0.524294	0.0795744
z	0.00206569	6.90385e-05	0.00026468	0.000304823	0.0003507	0.000444567	0.000554555	2.78558e-05	0.000344467	0.000691002	0.000405653	4.20329e-05	0.000849377	0.00293961	0.00446459	0.0317204	0.0718793	0.834724	0.0478579
a	0.00302526	0.000129026	0.000338806	0.00032876	0.000627514	0.000410072	0.000752585	3.42922e-05	0.000389952	0.000644564	0.000472846	0.00015836	0.000800352	0.00261974	0.00556033	0.0335975	0.0672745	0.818551	0.0642848
m	3.13767e-05	7.09231e-06	5.21851e-05	4.8587e-05	0.000163904	0.000239994	0.000618643	2.01198e-05	0.00176219	0.00400478	0.00420522	0.00132857	0.00784511	0.00920819	0.0511179	0.108897	0.206262	0.23771	0.366477
b	0.0100364	0.0018707	0.00204449	0.00159078	0.000879641	0.00462463	0.00363466	0.000747997	0.00584978	0.00472062	0.00407111	0.00700303	0.0170419	0.0113218	0.0486518	0.237935	0.146468	0.209411	0.282097
é	0.00529239	0.000494477	0.000322473	0.000139774	0.00145079	0.00154719	0.00298884	0.000484629	0.00549691	0.0153376	0.00191008	0.0052038	0.0288485	0.0412799	0.0532245	0.247916	0.0471598	0.293204	0.247699
</S>	0.00366631	0.000114472	0.0026831	0.0016951	0.00122902	0.00221945	0.00168318	0.000821026	0.00585299	0.00729089	0.0108046	0.00621302	0.0281671	0.00889758	0.103341	0.0835491	0.140273	0.0181089	0.57339
