 	après	ma	mort	que	mon	âme	se	repose	dans	la	présence	de	dieu	</S>
k	0.000198977	0.000849203	0.00320884	0.00913645	0.0764393	0.0560589	0.364755	0.183264	0.174336	0.0664183	0.0265382	0.022355	0.00224387	0.0141983
á	0.00145265	0.00512698	0.00855332	0.0373286	0.0872496	0.068546	0.294503	0.161214	0.0973691	0.113417	0.0414106	0.014083	0.0139676	0.0557798
a	0.000868821	0.00384314	0.00506635	0.055521	0.0572008	0.0452737	0.153406	0.192595	0.121541	0.122332	0.0486092	0.0175866	0.0171608	0.158995
m	5.18501e-05	0.000342733	0.00229114	0.00702598	0.0120507	0.0277349	0.195114	0.0903076	0.357137	0.1624	0.0628176	0.0459907	0.00279819	0.0339383
ó	9.16336e-05	0.00284013	0.0059116	0.00397543	0.0062739	0.0111953	0.0201972	0.416962	0.181702	0.0838802	0.102471	0.0753246	0.00772329	0.0814512
o	0.00203526	0.00506248	0.00571593	0.0104219	0.0594732	0.0210425	0.070109	0.0914095	0.190441	0.24311	0.0984409	0.0876004	0.0415502	0.0735881
d	0.000106083	0.00111267	0.00239175	0.00310722	0.016619	0.104737	0.121661	0.0955674	0.245058	0.158949	0.142865	0.0373546	0.00570975	0.0647615
z	7.16524e-05	0.000934513	0.00260318	0.0025795	0.0121204	0.184275	0.0537364	0.0975602	0.316696	0.128215	0.0906578	0.0198709	0.0138799	0.0767991
w	3.98161e-05	0.000281981	0.00119463	0.000739352	0.00550425	0.0135704	0.0040818	0.741499	0.0903422	0.0377003	0.023662	0.0084975	0.0586589	0.0142282
a	4.20369e-05	0.000485847	0.00125876	0.00200207	0.00607361	0.00508254	0.0144591	0.457579	0.143288	0.118455	0.0538697	0.0612919	0.0296736	0.106439
m	9.98728e-06	0.000133986	0.000330981	0.000895084	0.00413592	0.00269382	0.0129013	0.0109751	0.23968	0.201802	0.17927	0.11309	0.0172233	0.216859
b	6.9572e-06	0.000405804	0.00190495	0.00222475	0.000828251	0.000638588	0.00251546	0.0799828	0.125824	0.173811	0.278622	0.136308	0.0648795	0.132048
v	5.55139e-05	0.000131925	0.000871395	0.000719287	0.000512584	0.000638687	0.0101971	0.0234081	0.081708	0.216552	0.286663	0.0849038	0.0643528	0.229286
á	5.78211e-05	0.000258693	0.000882198	0.000645724	0.000563949	0.000602978	0.00462259	0.0170616	0.0617869	0.186234	0.22701	0.121091	0.205381	0.173802
a	4.73094e-05	0.000241489	0.000530781	0.00141245	0.00112819	0.000623343	0.0067112	0.0343979	0.0823852	0.166578	0.202402	0.087912	0.086698	0.328932
n	1.57442e-05	0.000126941	0.000620907	0.00126962	0.00137698	0.00135022	0.0076756	0.0032499	0.0354301	0.117373	0.241642	0.271553	0.0261786	0.292137
z	0.000661124	0.00195429	0.00230832	0.00102732	0.00630691	0.00317026	0.00507821	0.00545753	0.0391936	0.0850431	0.152212	0.238003	0.306814	0.15277
a	0.000261213	0.00134048	0.000364967	0.000187722	0.00421683	0.000445733	0.000561219	0.00103297	0.0113632	0.0261026	0.0194434	0.0668614	0.825151	0.0426673
m	1.5878e-05	6.89854e-05	0.00011428	0.000274313	0.00227159	0.000756397	0.00589664	0.0080191	0.0532531	0.139884	0.148231	0.142892	0.108098	0.390226
b	0.000695977	0.00283021	0.00183751	0.00156025	0.00370236	0.000405797	0.0030843	0.0158293	0.0983483	0.151699	0.225585	0.269183	0.181503	0.0437369
é	0.000413826	0.000914969	0.00163189	0.000841314	0.00181429	0.000367073	0.00547712	0.0235899	0.0646966	0.119364	0.195331	0.118139	0.342696	0.124724
</S>	0.00014401	0.000331036	0.000952651	0.0019952	0.00256555	0.00151516	0.0159948	0.00753523	0.0526802	0.0891841	0.162791	0.101396	0.0272865	0.535629
