 	celui	qui	assiste	au	dépeçage	d'	un	animal	s'	en	sort	toujours	avec	une	part	aussi	petite	soit-elle	</S>
y	0.00359469	0.0234369	0.00196474	0.379013	0.417155	0.101772	0.0248828	0.00942238	0.00584099	0.00393967	0.00210702	0.00354692	0.00343108	0.00292368	0.00261759	0.00297061	0.00751933	0.000186559	0.00367525
é	0.0024992	0.0169419	0.00429489	0.166008	0.126974	0.20611	0.109988	0.153411	0.0297272	0.0245998	0.0289274	0.0189773	0.0221209	0.0306804	0.00424611	0.00666756	0.00648015	0.00634628	0.0350006
é	0.00347799	0.00700356	0.00163728	0.135836	0.103849	0.375433	0.119607	0.0889738	0.0304628	0.0163421	0.0249142	0.0140788	0.0167744	0.0169783	0.00550558	0.00285615	0.00478181	0.00530527	0.0261838
k	0.000415609	0.00565975	0.00654384	0.239145	0.285055	0.348924	0.0515898	0.0130536	0.0070803	0.00501958	0.00673332	0.00415682	0.00283783	0.00145123	0.000867213	0.00587721	0.00214241	0.00788127	0.0055661
y	6.52867e-05	0.00386687	0.0051821	0.108311	0.68215	0.080893	0.0338727	0.0041513	0.00579988	0.00924871	0.00238713	0.00699171	0.00484411	0.00262609	0.0019831	0.0292253	0.00501123	0.0019096	0.0114809
έ	6.31804e-05	0.00406206	0.00888224	0.12613	0.734371	0.0606978	0.0236114	0.00193481	0.00186437	0.00226956	0.000605155	0.00234975	0.00256961	0.00125918	0.000849311	0.012563	0.00221718	0.00072698	0.0129734
s	0.000157575	0.00445205	0.00216276	0.0777826	0.561637	0.111656	0.044671	0.0150483	0.0107957	0.0091958	0.00374477	0.013152	0.00844955	0.0134262	0.0305616	0.0263181	0.0185328	0.00146171	0.0467938
έ	6.24847e-05	0.00174352	0.001271	0.0780321	0.420129	0.20044	0.0847926	0.010706	0.0106913	0.0103216	0.00748324	0.0153988	0.0127853	0.0149063	0.017881	0.0283822	0.0325228	0.00481476	0.0476364
b	0.000829288	0.00186205	0.000191971	0.0407431	0.046886	0.357753	0.268986	0.117069	0.0698472	0.0216239	0.0136202	0.0131293	0.00721734	0.00582966	0.00776641	0.00364449	0.00917375	0.000440788	0.0133868
á	0.0038647	0.00238003	8.52118e-05	0.0325836	0.0786466	0.298349	0.239075	0.0338222	0.0557023	0.0472779	0.0214846	0.0318566	0.0245812	0.00942377	0.0446592	0.0272252	0.0219002	0.00178481	0.0252973
a	0.00357711	0.00214502	5.12101e-05	0.0208411	0.0480072	0.212618	0.157057	0.0883366	0.105167	0.0563232	0.0154827	0.0363533	0.0371869	0.0179133	0.0876225	0.0385905	0.0128079	0.00108537	0.0588346
n	0.000641385	0.00396395	0.000356443	0.0249208	0.0267528	0.0998963	0.181813	0.0865127	0.203547	0.144827	0.0656454	0.061955	0.0216242	0.0101619	0.00631134	0.0242797	0.0123597	0.0023507	0.0220808
y	0.00311787	0.0145039	0.00333178	0.0208076	0.0162983	0.0619997	0.0830948	0.162245	0.0712642	0.0547017	0.164753	0.042033	0.0303829	0.0304815	0.0124725	0.0177998	0.0114213	0.113885	0.0854061
a	0.00122011	0.00282835	0.00124514	0.00570851	0.010584	0.0306983	0.064039	0.188762	0.0473119	0.0577855	0.143237	0.0441607	0.0449075	0.045814	0.0244265	0.0467851	0.00961411	0.156027	0.0748446
m	0.000446967	0.00208888	0.0012652	0.0118381	0.00812431	0.0396259	0.110932	0.28762	0.11302	0.0521973	0.0742874	0.0274481	0.0255903	0.0423643	0.0144253	0.0306405	0.00504755	0.0753753	0.0776624
a	0.00247628	0.000691556	3.18871e-05	0.00384863	0.00257677	0.034564	0.105285	0.145683	0.20463	0.138719	0.126334	0.0705494	0.0446542	0.0425324	0.020601	0.0182541	0.00435237	0.00441102	0.029806
a	0.000664656	0.00120462	0.000123992	0.00230189	0.00284379	0.0125572	0.0167465	0.0152875	0.101524	0.110972	0.121098	0.193523	0.0895276	0.113271	0.0922115	0.0505529	0.0427528	0.00628089	0.0265557
d	0.00127766	0.0112476	0.00247442	0.0293974	0.023472	0.0320342	0.0147183	0.00574402	0.0314547	0.0844866	0.0878304	0.139309	0.098622	0.0626508	0.034063	0.160831	0.109136	0.0436089	0.0276424
i	0.00018841	0.00185862	0.000173393	0.00672413	0.00309111	0.00649484	0.00548631	0.00307318	0.0181612	0.0627354	0.146144	0.178037	0.0828735	0.0415471	0.0133665	0.0586844	0.0632072	0.045101	0.263052
í	9.21871e-05	0.000569492	4.58928e-05	0.00348249	0.00247288	0.00585393	0.0117117	0.00407461	0.0321157	0.0846138	0.0841073	0.22533	0.12805	0.0980164	0.0336163	0.113857	0.128713	0.017201	0.0260757
y	0.000349944	0.00146712	0.000739146	0.00578429	0.0104168	0.00893249	0.00472587	0.00240005	0.00723015	0.0252846	0.0319443	0.0736665	0.112228	0.109588	0.0514005	0.162851	0.174151	0.135816	0.0810251
a	0.000740899	0.00471007	0.00202332	0.00716342	0.00590239	0.00838495	0.00612128	0.00951251	0.00389948	0.0251258	0.0627839	0.05273	0.0712311	0.147467	0.0180311	0.0580059	0.10118	0.33804	0.0769479
á	9.5671e-05	0.000166148	0.000124373	0.00109364	0.000965435	0.00355046	0.0042606	0.00354754	0.00549807	0.0219731	0.065238	0.0809936	0.144928	0.214916	0.0169562	0.040613	0.0479946	0.263748	0.0833367
o	0.000124059	0.000201388	6.2393e-05	0.00141844	0.00130165	0.00490459	0.00513296	0.0019542	0.00941827	0.0229075	0.0336427	0.0705295	0.123948	0.180613	0.114294	0.0519105	0.25065	0.0489497	0.0780377
s	1.24996e-05	0.000612018	0.00119763	0.0074525	0.0112411	0.00386389	0.00120849	0.000450627	0.00100948	0.00653935	0.00917268	0.0147497	0.0278577	0.0231232	0.00588998	0.157952	0.0618878	0.59933	0.066449
u	3.8357e-05	0.000525503	0.000428725	0.0020313	0.00171425	0.00155398	0.00113255	0.0011546	0.000442152	0.00230684	0.012719	0.00636212	0.0123489	0.0163696	0.00249639	0.0203587	0.04123	0.84278	0.0340065
n	0.000256888	0.000598432	0.000285897	0.00222721	0.00166793	0.00849952	0.00852065	0.00453455	0.00774906	0.0333403	0.0529471	0.0570241	0.109236	0.152993	0.0156625	0.0701238	0.101268	0.2662	0.106866
u	8.517e-05	9.64046e-05	7.19062e-06	0.000273024	0.000858069	0.00106622	0.00505931	0.00407478	0.00805014	0.0346874	0.0328727	0.101192	0.173661	0.210262	0.0368924	0.165921	0.0506003	0.103012	0.0713275
o	0.000124575	0.000121572	9.14777e-06	0.000343334	0.000734434	0.00231547	0.0047321	0.00394733	0.0129093	0.0242819	0.0356663	0.0751487	0.118629	0.165242	0.118573	0.0551854	0.170187	0.0322371	0.179613
k	9.73258e-06	0.000171341	9.61463e-05	0.00444326	0.00293984	0.00470073	0.00239708	0.000613296	0.00222871	0.00605094	0.0120732	0.017577	0.0350965	0.0366463	0.0161155	0.0824368	0.135796	0.409505	0.231103
á	8.56613e-06	0.000124138	0.000328553	0.00210941	0.0172775	0.00199149	0.000927787	8.69678e-05	0.00028123	0.00149991	0.000562564	0.00525078	0.0207441	0.0171081	0.0146951	0.446664	0.118886	0.0881272	0.263327
m	4.82233e-05	0.000278471	8.21664e-05	0.000634133	0.00217046	0.00316481	0.00153884	0.000398362	0.00150567	0.00780915	0.00286899	0.0224653	0.0628978	0.0585877	0.0397115	0.20331	0.217988	0.0662734	0.308267
b	1.35029e-05	4.44537e-05	3.36498e-06	0.000387411	0.00124563	0.00115261	0.00145942	0.000257691	0.00115381	0.00389018	0.00184852	0.00922658	0.0304681	0.029997	0.0153247	0.135223	0.174398	0.0603177	0.533589
a	3.69022e-05	9.10458e-05	5.52375e-06	0.000570596	0.00281261	0.00431979	0.00528054	0.00158265	0.00769319	0.0118875	0.00389587	0.029586	0.0959313	0.0341125	0.0997997	0.131385	0.105176	0.00863955	0.457193
έ	3.59799e-05	0.000167267	2.54806e-05	0.000564219	0.00211528	0.00248262	0.00135433	0.000620105	0.00179799	0.00435882	0.00218707	0.0131122	0.0425865	0.0708008	0.0821282	0.0972714	0.178743	0.0882656	0.411383
</S>	0.000180578	0.000542942	5.18254e-05	0.00306822	0.00422861	0.0094527	0.00591183	0.0012829	0.00729027	0.0142044	0.0103816	0.0244145	0.0404825	0.0336212	0.0119509	0.0776514	0.214991	0.0672382	0.473054
