 	celui	qui	vient	après	moi	va	ramasser	l'	argent	que	j'	ai	fait	tomber	</S>
ώ	0.000226586	0.000997656	0.0164532	0.019401	0.00256979	0.18563	0.71736	0.0101832	0.00403912	0.00649937	0.000164311	0.00428518	0.00402628	0.00536584	0.0227988
ώ	0.000305532	0.00274716	0.0248681	0.0752716	0.0138166	0.122235	0.599151	0.0658074	0.00791015	0.0217158	0.00107894	0.011801	0.017655	0.00387953	0.0317568
m	0.000643702	0.00695144	0.0113709	0.0612481	0.0391228	0.093723	0.131604	0.27074	0.0752223	0.221604	0.0249133	0.0399745	0.0169712	0.00268045	0.00323096
b	0.000455614	0.000799979	0.000332998	0.000584185	0.00363783	0.0392674	0.0267047	0.249697	0.599726	0.0459329	0.00131303	0.0146949	0.00541064	0.00287672	0.00856572
ώ	8.52482e-05	0.000721605	0.00102818	0.00395185	0.00174651	0.0225782	0.0276111	0.149305	0.713704	0.0507189	0.000835366	0.0091182	0.00266879	0.00693691	0.00899026
n	6.39442e-05	0.000603519	0.00146246	0.00248629	0.00475095	0.0554044	0.0336493	0.138137	0.429381	0.236539	0.0120388	0.0451748	0.0159914	0.0112899	0.0130273
g	0.00208709	0.00219635	0.00303955	0.0435834	0.0538711	0.0533654	0.168369	0.219765	0.115403	0.148683	0.0454492	0.0395641	0.00833825	0.0074847	0.0888014
ω	0.000920189	0.000498159	0.000332205	0.0405193	0.0797559	0.0128183	0.032807	0.254171	0.382904	0.108908	0.0599394	0.0121363	0.000861617	0.000505998	0.0129225
y	0.000805025	0.0018983	0.00104503	0.00980404	0.0218308	0.0244521	0.0381244	0.167377	0.0373312	0.355602	0.0623571	0.177606	0.0737755	0.010412	0.0175798
é	0.0114582	0.00671421	0.00126808	0.00958567	0.0395127	0.0300668	0.059068	0.269607	0.102111	0.274732	0.0709153	0.0826222	0.0167448	0.00396768	0.0216263
é	0.001004	0.00501268	0.000856214	0.00454766	0.00479433	0.00486174	0.0130751	0.0385714	0.019829	0.295168	0.246644	0.199845	0.086956	0.0225569	0.0562775
b	0.000433468	0.00476392	0.0045803	0.00311776	0.00178716	0.00841142	0.0198123	0.00713753	0.00583764	0.0269842	0.0373451	0.190346	0.461186	0.135276	0.0929802
v	5.26997e-05	0.000618023	0.00408453	0.00082896	0.000256389	0.00678929	0.0125639	0.00255732	0.00550558	0.00839743	0.0021348	0.0347714	0.136262	0.718408	0.0667695
é	0.000111309	0.000681519	0.00369593	0.00128352	0.000347279	0.00808544	0.015221	0.00823714	0.00788611	0.0488892	0.0119835	0.12625	0.251324	0.433172	0.0828318
l	0.000183016	0.000854348	0.00204161	0.00234902	0.00124777	0.00259336	0.00759526	0.00544372	0.00793264	0.0447008	0.0870594	0.0923217	0.155848	0.230115	0.359714
a	9.52702e-05	0.000651221	0.0027805	0.00416883	0.000841146	0.00517496	0.0181177	0.00737386	0.0034131	0.0432056	0.0393076	0.116691	0.126261	0.0903672	0.541551
n	0.000286414	0.000838897	0.000388587	0.00587021	0.0035104	0.00489424	0.00997191	0.0239405	0.0249782	0.0879144	0.0953967	0.0792442	0.0947583	0.209634	0.358373
g	0.000166509	0.000166136	5.72875e-05	0.0105256	0.0193742	0.000524024	0.000979054	0.00778595	0.0142807	0.0112302	0.879729	0.0140037	0.00770356	0.0155165	0.0179577
á	0.00022686	0.0002417	8.73126e-05	0.00787692	0.0367853	0.000962153	0.00227032	0.0154243	0.0254988	0.01346	0.7614	0.0330372	0.0187018	0.0212614	0.062766
</S>	0.000389438	0.000640594	0.0002973	0.00258541	0.00129268	0.00544022	0.0156348	0.0305313	0.0059656	0.0847151	0.0206878	0.0956209	0.164102	0.0815017	0.490596
