 	la	mère	fait	pisser	l'	enfant	avant	de	le	mettre	au	lit	</S>
b	8.99614e-06	7.09435e-06	0.00620733	0.0137074	0.040298	0.00442629	0.333334	0.184787	0.225772	0.0983656	0.0462173	0.038482	0.00838647
o	1.1059e-05	3.77384e-06	0.00435124	0.00194965	0.00403447	0.00786716	0.791707	0.0285137	0.0489235	0.0549714	0.00649366	0.0455126	0.00566127
s	6.45363e-06	2.78206e-06	0.0015365	0.00361281	0.00527926	0.00294093	0.809486	0.0264058	0.0516036	0.0237337	0.0104957	0.0247886	0.0401082
ó	0.000175111	1.18766e-05	0.00157779	0.00752677	0.100799	0.00496508	0.295307	0.111173	0.186745	0.150568	0.0362928	0.0256606	0.079198
b	0.000256797	3.01699e-06	0.00216408	0.00141755	0.0165696	0.000231774	0.0156136	0.296784	0.217605	0.126736	0.191075	0.0283859	0.103158
í	0.000114536	2.39276e-06	0.00363642	0.00624144	0.00718989	0.000128238	0.0112836	0.0982722	0.158433	0.383247	0.125024	0.0856188	0.120808
b	0.00066695	1.62485e-05	0.00376123	0.00099561	0.00593169	0.000322811	0.00321358	0.088074	0.162244	0.383012	0.0992161	0.0905981	0.161947
v	0.000217285	2.66519e-05	0.00429619	0.00073498	0.00134418	0.00189657	0.0521834	0.0551222	0.153773	0.375891	0.0496568	0.265684	0.0391727
e	0.00037642	8.52414e-06	0.0015034	0.00711331	0.00403308	0.00258207	0.051898	0.0387558	0.162813	0.393315	0.0694218	0.209254	0.0589247
e	3.9019e-06	1.41479e-06	0.000361053	0.000313385	0.00124519	0.00038973	0.0277929	0.0552426	0.222115	0.199789	0.176838	0.209719	0.10619
s	4.24538e-05	1.1833e-07	0.000782343	0.000309791	0.00144425	0.000132335	0.00177214	0.0628457	0.109274	0.171515	0.301219	0.0839671	0.266696
a	1.67621e-05	3.42181e-07	0.00220001	0.00265513	0.0078657	0.000113945	0.00289227	0.0265358	0.0776889	0.16273	0.195425	0.123009	0.398868
l	0.000219435	1.33135e-05	0.00141559	0.000369245	0.0103103	0.000100569	0.000914647	0.039844	0.0673359	0.0892164	0.31754	0.112992	0.359728
á	0.000329525	2.14698e-05	0.00313418	0.00884879	0.00592023	0.000476193	0.00268175	0.039899	0.0591059	0.100106	0.198978	0.145832	0.434667
w	0.000336602	0.000121294	0.00597425	0.00119795	0.0156541	0.000756748	0.00224014	0.0407935	0.0471055	0.0923309	0.479558	0.118569	0.195362
a	0.000482188	8.40152e-05	0.00482118	0.00387378	0.0067164	0.0010669	0.005643	0.0567484	0.100564	0.154598	0.261427	0.277645	0.126331
f	2.64864e-05	3.91755e-06	0.000216734	0.000123618	0.00110994	7.36275e-05	0.000594613	0.0281382	0.0475608	0.0610511	0.229201	0.169142	0.462758
u	2.07943e-05	1.45702e-05	0.00108997	0.000564765	0.00208184	7.91948e-05	0.00298419	0.0269346	0.0791764	0.292791	0.171637	0.275038	0.147587
l	0.000153404	4.52478e-06	0.00141449	0.00024813	0.012211	0.000440462	0.00127382	0.0116873	0.0949944	0.0826642	0.070177	0.234086	0.490645
ú	0.000460779	4.29375e-06	0.000638042	0.000458929	0.00310556	7.38268e-05	0.00140382	0.027399	0.12802	0.0995728	0.193737	0.133772	0.411354
</S>	0.000131363	2.1781e-06	0.000773691	0.000382589	0.00146614	5.03174e-05	0.000602779	0.0256092	0.0321071	0.0285059	0.192911	0.0538097	0.663648
