 	beaucoup	de	voleurs	sont	prudents	mais	certain	d'	entre	eux	ne	sont	pas	intelligents	</S>
z	0.0039596	0.00628524	5.72e-05	0.00476943	0.0250459	0.284894	0.198015	0.205287	0.15463	0.0359269	0.0048731	0.00757383	0.0024712	0.00539917	0.0608117
á	0.00344259	0.00512234	4.34984e-05	0.00547911	0.029101	0.293938	0.291082	0.206633	0.076302	0.0218048	0.00308345	0.00471457	0.00185999	0.00192607	0.055467
á	0.00517697	0.00191645	0.000404299	0.0196253	0.0122897	0.0707928	0.144069	0.366379	0.100096	0.11048	0.0742731	0.0350823	0.0105984	0.000780346	0.0480354
a	0.0065143	0.0021358	0.000634529	0.0275994	0.014031	0.0176613	0.0109404	0.110368	0.150427	0.144486	0.191964	0.154394	0.0754239	0.035461	0.0579594
s	0.00172711	0.00347117	0.00313968	0.0432249	0.0331909	0.016966	0.0194428	0.0724862	0.0958042	0.0792591	0.213396	0.0925505	0.0675988	0.173039	0.0847032
ú	0.00507374	0.00380118	9.61515e-05	0.00610967	0.00594219	0.00973403	0.00335892	0.05843	0.0985156	0.136284	0.0734396	0.140722	0.0509901	0.223803	0.1837
s	0.000406097	0.000526202	2.56509e-05	0.00127819	0.00353707	0.071616	0.00874962	0.0911083	0.0542452	0.118441	0.0643432	0.121349	0.141072	0.263761	0.0595411
u	0.000865493	0.000999395	1.66687e-05	0.0014596	0.00583535	0.0513693	0.0107738	0.0630211	0.049252	0.0905891	0.0630065	0.114404	0.111031	0.378369	0.0590081
á	0.000122044	7.03504e-05	1.08668e-05	0.000277459	0.000734511	0.005418	0.000805653	0.0248185	0.0188416	0.127385	0.0692176	0.247927	0.239194	0.0792808	0.185897
d	0.00431906	0.00109743	0.00043366	0.00558374	0.00337694	0.00597276	0.00193111	0.0239982	0.0182082	0.1086	0.0699106	0.297592	0.234682	0.122409	0.101885
í	0.00112599	0.000462004	2.74551e-05	0.000836398	0.00101911	0.00248139	0.000909536	0.00781874	0.00528003	0.0859307	0.0368345	0.157914	0.0774378	0.0917007	0.530222
a	0.000320129	0.000432516	8.87264e-05	0.00129648	0.00070479	0.00171498	0.000965146	0.012822	0.0050919	0.0596844	0.0839264	0.157783	0.26001	0.0612225	0.353937
y	0.00160051	0.00213091	0.00145053	0.00740577	0.00497869	0.00706891	0.00183079	0.0102738	0.0116873	0.0312745	0.0491936	0.158016	0.270535	0.263119	0.179436
έ	0.000188692	0.000306251	1.85689e-05	0.000864391	0.000932227	0.00529917	0.000912481	0.00516737	0.00463551	0.0138982	0.00888394	0.0548618	0.0868488	0.679437	0.137746
l	0.00032233	0.00031998	5.95259e-05	0.000512306	0.000683174	0.00272984	0.000823469	0.00915123	0.0058801	0.0218235	0.0148102	0.0761419	0.0907457	0.26171	0.514287
i	0.000937579	0.000683001	4.45413e-05	0.00063242	0.00108894	0.00250161	0.00152219	0.0190837	0.0166857	0.0459771	0.0471395	0.16566	0.283331	0.115994	0.298719
k	0.000160604	0.000239378	6.38271e-05	0.000864529	0.000398419	0.00398052	0.000905879	0.0143619	0.00981324	0.0608751	0.027488	0.144952	0.134134	0.0917449	0.510019
a	0.000215139	0.000281343	4.89088e-05	0.000496437	0.00205024	0.00111921	0.0023689	0.0110818	0.00993652	0.0144125	0.0932906	0.0617456	0.260275	0.0312584	0.51142
á	0.000171708	0.000263499	2.52162e-05	0.000228357	0.000669829	0.000757511	0.00484984	0.0139762	0.0204051	0.0212813	0.149843	0.0565489	0.0906408	0.0258058	0.614533
</S>	0.00115248	0.000429183	0.000245204	0.00551203	0.00134062	0.00548811	0.0051698	0.0212814	0.0069782	0.076357	0.0279985	0.176561	0.153605	0.0636012	0.454281
