 	maman	a	mis	le	manioc	dans	un	panier	pour	faire	couler	l'	eau	</S>
í	6.62196e-07	0.00356625	0.00170983	0.0164204	0.000894288	0.0288141	0.0247048	0.033742	0.137462	0.0708238	0.0106911	0.178203	0.306766	0.186202
t	2.89842e-05	0.00266208	0.00093587	0.00319918	0.000854938	0.011448	0.00767892	0.00702273	0.0293609	0.0236287	0.0518011	0.154391	0.655861	0.051127
a	1.86666e-05	0.000324025	0.00107194	0.00490319	0.0109265	0.00243988	0.0166845	0.0422836	0.0199946	0.115287	0.0879157	0.0656169	0.533261	0.0992733
n	1.99106e-06	4.25042e-05	0.000301507	0.000569299	0.00182016	0.00147797	0.00494948	0.00644895	0.0114027	0.055548	0.0915576	0.0621713	0.26189	0.501819
g	4.62647e-06	0.001721	0.0124124	0.0151861	0.0035817	0.013947	0.0301623	0.0347189	0.040044	0.0769654	0.173792	0.204575	0.270235	0.122653
i	3.98932e-06	0.000891903	0.00205768	0.00622773	0.000580994	0.00804646	0.017305	0.0347418	0.0246816	0.0409262	0.182324	0.22438	0.324474	0.13336
s	2.98557e-06	0.00091875	0.00291312	0.00419064	0.00268175	0.0102401	0.00710523	0.0107198	0.0263971	0.0319126	0.0490056	0.344766	0.229849	0.279297
a	5.97268e-06	0.00106209	0.00557545	0.0139924	0.0012698	0.0241622	0.0223533	0.0250636	0.0274551	0.0497898	0.0608188	0.251173	0.352658	0.16462
l	5.75395e-05	0.00156978	0.00103096	0.00434768	0.000212245	0.0309531	0.00591884	0.00444969	0.0126839	0.012757	0.0120011	0.312154	0.394604	0.20726
á	5.64508e-05	0.00604689	0.00686165	0.0151238	0.0010961	0.040067	0.0190353	0.0166245	0.0306889	0.0193777	0.0230811	0.109085	0.48411	0.228746
b	8.70388e-06	0.00333525	0.00210346	0.00965303	0.000546373	0.0318153	0.00854047	0.00851682	0.0161715	0.0128385	0.0189977	0.325493	0.411325	0.150655
í	5.79825e-06	0.00699111	0.0228914	0.036532	0.00348328	0.0345203	0.024462	0.00506619	0.0412751	0.0486194	0.0370768	0.1336	0.560056	0.0454212
a	3.5643e-06	0.000452771	0.00192868	0.00194335	0.000954239	0.00294935	0.00163768	0.000813216	0.0043909	0.00893458	0.0129764	0.0415331	0.737687	0.183795
</S>	4.30191e-06	0.00248098	0.00665285	0.00782781	0.00213319	0.0137436	0.0108919	0.0118101	0.0225597	0.0198582	0.0219981	0.0818446	0.439991	0.358204
