 	quand	ils	n'	avaient	pas	encore	d'	enfants	la	femme	restait	toute	triste	dans	la	maison	</S>
i	0.0399529	0.00960048	0.0463192	0.0279791	0.553873	0.0669632	0.141847	0.018844	0.0476667	0.0173825	0.00362078	0.00216323	0.00114041	0.00436901	0.00356204	0.000450964	0.014265
á	0.0105745	0.0144111	0.0909928	0.0354349	0.273781	0.147296	0.191588	0.128808	0.031083	0.02744	0.0147296	0.00555064	0.003223	0.0076386	0.00241017	0.000454804	0.0145835
s	0.0013138	0.0026276	0.0342747	0.053171	0.0358551	0.564457	0.124383	0.0402449	0.0241729	0.0418194	0.0344923	0.0162212	0.00502263	0.00934912	0.00279619	0.000563067	0.00923644
á	0.00019715	5.95802e-05	0.00706649	0.0388282	0.00655302	0.836733	0.040766	0.00492542	0.0115443	0.015548	0.00288851	0.0102609	0.006718	0.00481782	0.00509656	0.000787005	0.00720965
a	0.000694176	0.000134869	0.0103895	0.0448326	0.0423305	0.445869	0.216882	0.0361826	0.0455858	0.0219588	0.00565218	0.0262788	0.0215271	0.0137784	0.0213025	0.00479161	0.0418097
b	0.00108838	0.00198493	0.0131546	0.00889039	0.0881015	0.136926	0.329687	0.0929898	0.196697	0.015812	0.0292886	0.0211067	0.00942771	0.0144437	0.010063	0.00460431	0.0257346
á	0.00224549	0.0160472	0.0033684	0.00138799	0.0169377	0.0208178	0.0627116	0.740961	0.0626071	0.00998523	0.0345892	0.00550007	0.00710306	0.00948277	0.00180812	0.000266905	0.00418063
n	0.00245512	0.040929	0.00428829	0.000439765	0.0376332	0.00705371	0.0577406	0.767885	0.0568411	0.00185992	0.00465932	0.00123121	0.00382694	0.00295077	0.00206473	0.000195423	0.00794586
a	0.00235796	0.000843437	0.00177508	0.00386856	0.0182439	0.0220165	0.143637	0.482641	0.0577591	0.00372043	0.00259349	0.00892706	0.0473199	0.0129118	0.0478194	0.0163049	0.12726
k	0.000356676	0.000123504	0.0138614	0.00469256	0.0988861	0.0619162	0.294913	0.0571301	0.273099	0.0374213	0.0498253	0.0371407	0.0147245	0.026901	0.0149592	0.000592233	0.0134571
a	0.00096125	0.000880998	0.00506313	0.00823207	0.0155249	0.00674563	0.142547	0.222148	0.220371	0.00460261	0.279525	0.0294934	0.0137015	0.029759	0.00237565	0.00169035	0.0163779
á	0.000385962	0.00182336	0.00283361	0.00322372	0.00980145	0.00894137	0.0869207	0.227472	0.110367	0.00495229	0.29254	0.0480004	0.0125588	0.0461078	0.00387679	0.000683864	0.139511
m	0.00121602	0.000312158	0.0180919	0.00508349	0.0192664	0.0125478	0.0369183	0.0291589	0.26381	0.159976	0.22071	0.119301	0.0257239	0.0346428	0.0145705	0.00252053	0.0361501
w	0.00314607	0.00161486	0.0204495	0.00507692	0.0513741	0.00856746	0.0327313	0.00340967	0.179993	0.21391	0.33688	0.0442516	0.00857903	0.0501542	0.0138257	0.000581039	0.0254554
á	0.00213345	0.00102042	0.00182166	0.0035489	0.0126533	0.0133883	0.082098	0.0912313	0.113317	0.362151	0.154024	0.0487607	0.0245732	0.0476694	0.0154867	0.00169272	0.0244298
s	0.00188778	0.00217546	0.00138075	0.000469855	0.0522343	0.00335185	0.112608	0.150627	0.492871	0.0182534	0.0471747	0.0155169	0.019638	0.0189452	0.0174107	0.00187583	0.0435802
í	0.00508321	0.000538884	0.00148843	0.0110294	0.0190136	0.00516685	0.0900482	0.110779	0.0855101	0.00900736	0.00694746	0.0252915	0.0808804	0.0368894	0.0881843	0.104461	0.319681
á	0.00166844	0.000189874	0.00575546	0.00174714	0.0207436	0.00470599	0.054162	0.0136908	0.258663	0.0406245	0.140538	0.22768	0.0767413	0.0853613	0.0366564	0.00404713	0.0270259
d	0.000291707	7.05534e-05	0.00721895	0.0102835	0.00388594	0.0154527	0.00808805	0.000609634	0.0206132	0.0216646	0.296048	0.392421	0.0667264	0.112055	0.0226968	0.00267844	0.0191951
z	0.000269596	1.50879e-05	0.00261254	0.00226206	0.00154346	0.0135492	0.00769888	0.00109649	0.0208265	0.0536009	0.232969	0.266445	0.0469062	0.103786	0.0491603	0.00171639	0.195541
a	0.00162686	0.000148681	0.00467122	0.00709203	0.0078084	0.0135586	0.0178926	0.00452341	0.0544329	0.343262	0.0460738	0.159374	0.0738235	0.0797153	0.0765561	0.0551992	0.0542408
l	0.000271962	3.3135e-05	0.000708507	0.00022767	0.00553649	0.00241079	0.0204015	0.00466628	0.0504088	0.00512271	0.107618	0.287635	0.176462	0.174029	0.102859	0.00637175	0.055237
á	0.00021795	0.000187028	0.00260709	0.00224012	0.00188338	0.00304166	0.00453897	0.00193079	0.00663985	0.00436853	0.0808245	0.337743	0.10375	0.162038	0.0669726	0.0204382	0.200578
a	0.000359291	0.00107297	0.00202665	0.000848564	0.00610756	0.000990695	0.00723321	0.00458193	0.0146791	0.00567407	0.0729271	0.176164	0.236516	0.237968	0.117658	0.0508343	0.0643583
b	0.00011253	0.000137328	0.00208515	0.00205321	0.00194546	0.00181322	0.00202374	0.000259105	0.0027158	0.00852812	0.184287	0.377906	0.117086	0.223488	0.0250919	0.0225353	0.0279326
v	1.27018e-05	1.95042e-05	0.000421797	0.000964608	0.000730289	0.00162543	0.00404919	0.000893053	0.00242025	0.00211087	0.395712	0.276488	0.0729576	0.204282	0.0152159	0.000401142	0.0216953
u	9.69874e-05	1.24533e-05	0.000513939	0.000241696	0.00120353	0.000338902	0.00336322	0.000636693	0.00258876	0.00104757	0.555557	0.182515	0.0491234	0.172562	0.012302	0.000791435	0.0171045
á	0.000465986	0.000141366	0.000328694	0.000140334	0.00128631	0.000453646	0.00459471	0.000559783	0.0089927	0.000265394	0.10696	0.33008	0.109312	0.321146	0.0389785	0.00547596	0.0708188
s	2.35194e-05	3.49333e-06	0.000262209	0.00022112	0.00179067	0.000295076	0.00241441	0.000188296	0.00142231	0.000147271	0.0108444	0.129598	0.179647	0.222694	0.221927	0.055674	0.172847
á	8.4123e-05	7.35359e-06	0.00018468	0.000552726	0.00107257	0.000765112	0.00331631	0.000188255	0.00238734	0.000150624	0.00991489	0.140651	0.189561	0.196907	0.246463	0.0700616	0.137733
n	0.000405728	0.000135808	0.000297244	0.000314954	0.00207231	0.000523188	0.00276443	0.00141606	0.00473117	0.000268571	0.00278294	0.0256559	0.121061	0.0605285	0.140049	0.602079	0.0349139
d	3.28689e-05	3.4266e-05	1.16882e-05	9.60031e-05	0.000116629	0.000124625	0.000502854	0.00113842	0.000489557	8.33077e-05	0.000216064	0.00869118	0.0897754	0.0132061	0.0656681	0.80704	0.0127726
é	9.38779e-05	1.69574e-05	2.72935e-05	0.000212993	0.000112397	0.000142415	0.000193118	0.000287821	0.000220989	0.000347773	9.29166e-05	0.00182018	0.019325	0.00379097	0.0298325	0.929761	0.0137217
e	1.00695e-06	3.77338e-07	5.50748e-06	0.000117555	7.7756e-05	0.00016851	0.00029845	0.000102834	0.000426666	0.00017404	0.00143052	0.0291695	0.111067	0.0473798	0.137825	0.396218	0.275537
b	0.000168865	9.21988e-06	0.000213833	0.000136816	0.00162404	9.76215e-05	0.00109989	7.90525e-05	0.00119696	0.000130712	0.00652707	0.0561641	0.0768173	0.163587	0.206143	0.0668183	0.419186
v	9.87777e-05	5.51835e-05	0.000665577	0.000581437	0.00365402	0.000679228	0.0123176	0.00289578	0.00902785	0.000131686	0.0331133	0.0723246	0.171161	0.273688	0.195927	0.0154597	0.208219
ε	0.000730303	7.68933e-05	0.000171971	0.000162428	0.00194071	0.000507273	0.00594993	0.00121169	0.00188407	0.000251385	0.0459429	0.111947	0.174099	0.378478	0.171133	0.042663	0.0628493
l	6.02827e-05	1.35476e-05	6.39893e-05	9.56681e-05	0.00035098	9.07279e-05	0.0014016	7.44776e-05	0.0015545	5.60954e-05	0.0124899	0.093875	0.0669911	0.211349	0.182684	0.0874142	0.341435
e	6.43467e-05	6.3321e-06	0.000301235	0.000507222	0.000534733	0.000224479	0.00147398	0.000373756	0.000767308	0.000223057	0.0174544	0.108825	0.0879952	0.165655	0.151613	0.199539	0.264442
b	8.45222e-05	9.08308e-05	0.000516751	0.000423441	0.00186641	0.000320395	0.00154899	0.000177058	0.00186607	0.000364234	0.00896943	0.0671032	0.0534382	0.127918	0.110552	0.144219	0.480541
v	0.000273715	0.00021166	0.000746367	0.000476955	0.00556677	0.00260464	0.0283842	0.0170601	0.0223254	0.000379714	0.0516911	0.0817993	0.197456	0.296127	0.198916	0.00914897	0.0868322
é	0.00110007	0.000126995	0.000317993	0.000105511	0.0043996	0.000372309	0.0108125	0.00883883	0.00403823	0.000104446	0.0512756	0.0712213	0.231382	0.301792	0.208695	0.028378	0.0770396
l	4.16758e-05	1.1144e-05	8.30512e-05	0.000229474	0.000341564	0.000296096	0.00199775	0.000227014	0.00180805	0.000121776	0.0404302	0.143257	0.132817	0.247096	0.144021	0.0592403	0.227981
e	8.11566e-06	4.22283e-07	3.49843e-05	0.000184896	0.000268444	8.22973e-05	0.00109407	0.000233748	0.000352931	1.79001e-05	0.00877058	0.0656844	0.130571	0.136776	0.167402	0.22113	0.267388
</S>	6.8597e-05	1.6572e-05	0.000303252	0.000240453	0.00145319	0.000283101	0.00183159	0.000122975	0.00230168	0.000107374	0.00737693	0.0705258	0.0544614	0.132965	0.185382	0.109681	0.432879
