 	il	a	allumé	son	briquet	pour	mettre	feu	à	la	brousse	</S>
í	0.000432162	0.000977753	0.000594043	0.00383112	0.0218906	0.167624	0.134098	0.375856	0.10486	0.0715875	0.00565986	0.112589
á	9.93443e-05	0.000710109	0.000231489	0.00290517	0.00734743	0.131803	0.16566	0.198458	0.17047	0.152342	0.0977688	0.0722052
m	0.000166406	0.00085195	0.000785848	0.00450706	0.00805564	0.0241718	0.0360565	0.128938	0.265897	0.221252	0.123304	0.186013
ó	0.000356421	0.00248271	0.000944709	0.00626945	0.0129762	0.0921292	0.0784774	0.401421	0.161996	0.144144	0.0161987	0.0826041
i	4.89995e-05	0.000629038	0.000649302	0.00548252	0.00472621	0.0296858	0.0567607	0.0689009	0.13784	0.15971	0.471376	0.0641911
t	1.70279e-05	0.000996047	0.00143294	0.0116537	0.00858748	0.0115095	0.0201065	0.0565188	0.244396	0.208523	0.306215	0.130044
u	4.29683e-05	0.00140339	0.000711824	0.0136633	0.019528	0.0410765	0.0294818	0.0365264	0.133265	0.147144	0.494852	0.0823048
m	7.73595e-05	6.24762e-05	0.00011931	0.00283373	0.00926846	0.0235118	0.00917432	0.00891879	0.0942319	0.189402	0.568822	0.093578
b	0.000149097	4.75617e-05	2.80234e-05	0.000899141	0.00135923	0.0257044	0.0134169	0.00765641	0.0994341	0.28415	0.310172	0.256983
a	0.000759791	9.35364e-05	2.71433e-05	0.000724368	0.00154221	0.068855	0.0439817	0.0118599	0.0924345	0.217506	0.353123	0.209093
l	3.0666e-05	0.000347924	0.000172161	0.006389	0.00208663	0.0174106	0.0225	0.0278216	0.142287	0.249034	0.129138	0.402782
á	6.44632e-05	0.000705473	0.000783419	0.00883767	0.0185867	0.0368562	0.0257621	0.0398654	0.198591	0.240391	0.136088	0.293469
n	0.00129382	0.00292157	0.000410842	0.00648171	0.00348835	0.0692416	0.0626388	0.0435702	0.110031	0.243246	0.287101	0.169575
g	0.00261639	0.00100699	0.000122494	0.00172583	0.00952709	0.0756229	0.0964507	0.0536284	0.141016	0.214756	0.184859	0.218669
o	0.000748993	0.00207757	0.00152815	0.00241541	0.00479376	0.023574	0.0487265	0.0317497	0.111592	0.165546	0.163131	0.444117
n	6.33079e-05	6.08879e-05	0.000134532	0.000177161	0.00243516	0.00853296	0.0164303	0.0125611	0.0451034	0.0438454	0.460338	0.410318
d	0.00386067	0.0015606	0.00153855	0.00308192	0.00933529	0.0104621	0.00534031	0.0117453	0.0785999	0.119774	0.252475	0.502227
a	0.000116233	4.23533e-05	0.000480703	0.000465681	0.00166579	0.00403018	0.00338044	0.00368779	0.0447329	0.0667302	0.373837	0.500831
</S>	0.000664682	0.00116447	0.000608322	0.00413705	0.00723879	0.0253656	0.0314262	0.0233658	0.142821	0.183166	0.321821	0.258221
