 	cette	femme	a	une	bonne	audition	car	elle	a	entendu	tout	ce	qu'	on	a	dit	</S>
ú	0.00137385	6.33737e-05	0.0619655	0.291057	0.0949204	0.39326	0.0856789	0.0192173	0.00220075	0.00560578	0.00506296	0.0101328	0.00730852	0.00549378	0.00220606	0.00279939	0.0116532
e	0.0190761	0.000169762	0.0414723	0.36854	0.15472	0.154187	0.0810851	0.00665398	0.00158601	0.000402911	0.0178361	0.0301855	0.0190581	0.00730457	0.00608781	0.00398565	0.0876493
t	0.00330412	6.22303e-06	0.030867	0.0496794	0.29741	0.110575	0.251221	0.0717956	0.0316841	0.0100351	0.043993	0.0178443	0.0162643	0.0184353	0.01169	0.00348855	0.0317069
s	0.00385175	1.29383e-05	0.0390912	0.096368	0.208205	0.208043	0.245836	0.042069	0.00504318	0.00571714	0.0538605	0.0286233	0.0308507	0.00806072	0.0033197	0.00144326	0.0196049
í	0.00115593	2.39106e-06	0.0060767	0.0348643	0.175718	0.170509	0.385462	0.0879353	0.00799703	0.0231771	0.0142856	0.0192229	0.0237229	0.0277148	0.00635896	0.00126977	0.0145271
n	0.00280691	5.54682e-05	0.0170302	0.0296089	0.0884073	0.333104	0.300191	0.106123	0.020999	0.0527024	0.00236806	0.00304278	0.00325724	0.00477834	0.00151002	0.000841377	0.0331737
a	0.00484341	9.03338e-05	0.00765277	0.0183956	0.0835571	0.385252	0.189511	0.104508	0.0306679	0.0630796	0.00294791	0.00504737	0.00973207	0.0187703	0.00815642	0.0057684	0.0620199
w	0.0010335	1.85195e-05	0.0170766	0.0174952	0.0504361	0.0927617	0.355044	0.243706	0.116724	0.0221217	0.0122941	0.0073406	0.00779848	0.0128937	0.0129382	0.00350559	0.0268127
a	0.00461994	1.68074e-05	0.0313224	0.0353298	0.169464	0.12552	0.248799	0.0765996	0.0383713	0.0306418	0.0516098	0.0318282	0.0726069	0.0408253	0.0167224	0.00738087	0.0183416
á	0.0012123	2.29687e-05	0.00993508	0.00542307	0.011846	0.0222488	0.210331	0.255263	0.273166	0.0743929	0.0230875	0.0158094	0.0163435	0.0205153	0.0136908	0.00632004	0.0403919
b	0.00493642	0.000418832	0.0185978	0.0113699	0.00542145	0.00422692	0.023582	0.14108	0.231211	0.317155	0.0394888	0.034544	0.0149416	0.0247	0.0246902	0.0223115	0.0813245
ó	7.85492e-05	8.64595e-06	0.00245794	0.00261933	0.00770557	0.00401431	0.0145229	0.0552442	0.053577	0.734259	0.0213071	0.0291983	0.019612	0.0259105	0.0102779	0.0100431	0.00916374
n	0.00019053	7.63162e-06	0.00438792	0.00626322	0.00677251	0.00605273	0.0350584	0.133911	0.170682	0.450346	0.0208953	0.0534182	0.0129953	0.0194027	0.0122757	0.0174302	0.0499109
d	0.00369761	1.36984e-05	0.00736983	0.00726753	0.0187383	0.0165118	0.07239	0.104054	0.0959944	0.180405	0.104331	0.106948	0.0736611	0.0488728	0.0270219	0.0184747	0.114248
i	0.00115725	1.35099e-05	0.0111705	0.020853	0.0291342	0.0610917	0.12895	0.0956069	0.0660385	0.103278	0.0786173	0.152393	0.087483	0.0216877	0.0141044	0.0126965	0.115726
p	0.000951056	5.22778e-06	0.00421957	0.00350118	0.0160941	0.00936105	0.0382874	0.055434	0.0811025	0.0200116	0.234347	0.125259	0.210215	0.124947	0.0569435	0.0110181	0.00830186
ώ	0.000133062	1.90574e-06	0.00198575	0.00444043	0.0167308	0.0752381	0.175785	0.133869	0.016753	0.0327543	0.0796771	0.142683	0.208999	0.0632731	0.0119759	0.00932382	0.0263761
ω	0.000142881	1.22891e-06	0.00097788	0.00211025	0.00970244	0.0189973	0.066895	0.0337397	0.0191047	0.0600795	0.100445	0.14254	0.26948	0.0996047	0.0213247	0.0340957	0.120759
é	0.000772704	7.57402e-07	0.00150131	0.00151393	0.00496191	0.00216505	0.011589	0.0171408	0.0167423	0.0024626	0.243004	0.141378	0.256252	0.179328	0.0962524	0.0149702	0.00996515
t	0.00052283	6.23424e-05	0.00775804	0.00565715	0.00295701	0.000824966	0.00632055	0.016769	0.0628424	0.00519225	0.0952193	0.082799	0.0599288	0.199361	0.258121	0.114045	0.0816194
s	2.37523e-05	3.04741e-06	0.00259256	0.00463384	0.00205753	0.00204114	0.0151662	0.0440082	0.0413866	0.0184937	0.0387466	0.149614	0.0776451	0.140904	0.112666	0.18131	0.168708
ω	0.000107155	6.54078e-07	0.00177233	0.00454569	0.00796205	0.00670786	0.0364922	0.074993	0.0392841	0.0386457	0.0892562	0.1753	0.144773	0.159229	0.0794688	0.0809449	0.0605181
y	0.0017168	6.40001e-06	0.00133797	0.00121506	0.00260489	0.00579756	0.0203882	0.0148298	0.0106825	0.00530752	0.0314849	0.0383239	0.117855	0.160061	0.105082	0.0391038	0.444202
é	0.00181416	3.28622e-05	0.0138614	0.0347556	0.0146378	0.00994516	0.0255618	0.0298484	0.0601237	0.00445057	0.0888196	0.1774	0.171058	0.0772179	0.0670288	0.142501	0.0809428
e	0.000286722	7.74793e-06	0.000715062	0.00258034	0.00758697	0.00283961	0.00927122	0.0109969	0.0191934	0.00363314	0.0409795	0.0753267	0.128382	0.219325	0.114246	0.21325	0.15138
t	7.48078e-05	6.2029e-05	0.00261801	0.00398307	0.00172167	0.000448229	0.00180128	0.00664859	0.0161775	0.00422511	0.014795	0.0257996	0.0118305	0.073494	0.0790409	0.398702	0.358578
i	2.94581e-05	8.52175e-05	0.00172957	0.00381151	0.00101928	0.001174	0.00776581	0.0214679	0.0171336	0.00873837	0.0266879	0.0962327	0.0351219	0.0943366	0.0974553	0.221636	0.365575
í	0.000131248	4.35131e-06	0.000711115	0.00187226	0.000887167	0.000525082	0.00466408	0.00525599	0.00539922	0.000999201	0.0410907	0.108816	0.0891291	0.0885987	0.0839989	0.0697366	0.49818
b	0.000322628	2.1218e-06	0.00285504	0.0041125	0.00680748	0.0014971	0.00551401	0.00513621	0.00716975	0.000935219	0.0378322	0.0222476	0.0463006	0.17713	0.212324	0.205926	0.263887
í	0.000114074	2.04625e-05	0.00187793	0.00162879	0.0126283	0.00423977	0.0110572	0.0605905	0.045533	0.0717286	0.0272415	0.0385244	0.0546639	0.386262	0.0960384	0.13425	0.0536013
s	0.000686154	0.000115564	0.00251856	0.00273637	0.0137462	0.0133586	0.0223348	0.0377163	0.0360717	0.0334315	0.0254407	0.0334074	0.115038	0.371129	0.0641343	0.0844002	0.143735
i	0.0013294	6.1819e-05	0.000386771	0.0013776	0.00509029	0.00120125	0.0034963	0.0087236	0.011347	0.012741	0.0193272	0.0693403	0.0605987	0.228613	0.0832917	0.33062	0.162454
</S>	0.000118728	9.08124e-06	0.000414284	0.000525233	0.00084665	0.000569796	0.00348329	0.0026788	0.00580066	0.00052718	0.00464088	0.00650987	0.0185669	0.114104	0.102424	0.0720396	0.666741
