 	la	manière	dont	il	est	toujours	présent	là	où	on	cuisine	exprime	sa	avidité	</S>
έ	0.000768112	0.000345727	0.00209169	0.00338641	0.0120076	0.0432418	0.757214	0.0644634	0.0235907	0.0193758	0.0631861	0.00140807	0.00126258	0.0012057	0.0064519
l	0.000598023	0.000891656	0.0102517	0.0457454	0.0764417	0.144123	0.345628	0.071687	0.0579003	0.0832422	0.0661207	0.0191204	0.0105161	0.00201541	0.0657189
έ	0.00196301	0.00117649	0.00541872	0.0736249	0.0713601	0.0991038	0.190873	0.0726008	0.0990452	0.162741	0.13401	0.0203179	0.0356262	0.00233222	0.0298065
έ	0.00157823	0.00360791	0.00854298	0.280667	0.19729	0.0801215	0.0189169	0.0681678	0.142624	0.126671	0.0234662	0.0200291	0.0107185	0.000823996	0.0167749
w	0.00108008	0.00171729	0.00378628	0.0359649	0.0702056	0.054403	0.05984	0.114378	0.32082	0.216148	0.0719671	0.0233445	0.0118835	0.00206194	0.0124008
a	0.00384045	0.00357947	0.00644679	0.0450909	0.0946106	0.0722381	0.0611422	0.101602	0.200185	0.169605	0.154037	0.0374456	0.0186203	0.00655889	0.0249973
e	0.00189292	0.00087384	0.00427213	0.0675815	0.0696705	0.0613191	0.0238215	0.123585	0.232033	0.265543	0.0809268	0.0353386	0.01467	0.00162459	0.0168478
b	0.00117914	0.000471835	0.00131515	0.00244338	0.0186181	0.0591862	0.127391	0.118669	0.234482	0.176195	0.171	0.0456683	0.0149574	0.00936873	0.0190547
é	0.000790829	0.000410306	0.000342471	0.00130278	0.0140571	0.0720449	0.0893378	0.0845879	0.211597	0.181457	0.256447	0.0558042	0.0193933	0.00249307	0.00993469
e	0.000245113	7.41524e-05	0.000448156	0.00477442	0.0274701	0.0518996	0.0320147	0.0501416	0.159792	0.222929	0.273872	0.0475358	0.0246595	0.00385496	0.100289
y	0.00115644	0.000569116	0.0024751	0.00623596	0.0280728	0.0425977	0.0244219	0.0803098	0.200216	0.198343	0.0990089	0.179481	0.107093	0.00654833	0.023471
é	0.0339863	0.00711258	0.0143175	0.00923189	0.0492831	0.0308671	0.0398632	0.0725619	0.137961	0.0823037	0.0865616	0.227149	0.085429	0.0896939	0.0336789
é	0.00600907	0.00272752	0.00470871	0.013158	0.0247141	0.0163134	0.00596989	0.0329153	0.0929558	0.083811	0.0745464	0.484895	0.116695	0.0237786	0.0168022
b	0.000871784	0.000773586	0.00116962	0.00181526	0.0149575	0.0318449	0.0258638	0.030399	0.0627846	0.0506177	0.0420515	0.410075	0.228728	0.0627643	0.0352833
ω	0.000340195	0.000404124	0.000276986	0.00145414	0.0110784	0.0822321	0.0498303	0.0350034	0.118299	0.121307	0.176186	0.157629	0.141252	0.0154099	0.0892982
n	6.73688e-05	2.97058e-05	0.000766332	0.00107738	0.00433341	0.0190347	0.0528615	0.0551755	0.0789985	0.0979559	0.186642	0.13873	0.0997065	0.0377614	0.22686
g	0.000265431	0.000129784	0.000579994	0.001756	0.00574309	0.0146563	0.01661	0.0277301	0.0726522	0.122457	0.261668	0.130324	0.136742	0.0750365	0.133649
ώ	0.000904527	0.000422479	0.00386467	0.00665772	0.0055054	0.00638672	0.00668897	0.0164672	0.0870451	0.149787	0.143695	0.303915	0.11957	0.0369948	0.112095
b	0.000267743	8.75281e-05	0.00165279	0.00235038	0.00335359	0.00544099	0.00285969	0.00929473	0.0258649	0.0372929	0.0140323	0.281697	0.454285	0.0298933	0.131627
á	0.0011223	0.0012785	0.000750331	0.0063534	0.0230293	0.0726429	0.00867538	0.019716	0.069317	0.140321	0.0918122	0.230777	0.218112	0.0204657	0.095626
a	0.00216577	0.00298813	0.00507633	0.0242346	0.0156048	0.0181946	0.00405597	0.014128	0.0700771	0.133576	0.0801903	0.21003	0.158076	0.0426963	0.218905
a	0.000110044	3.77865e-05	0.00101409	0.00112032	0.00520851	0.00644423	0.0022663	0.0051102	0.00847308	0.00932459	0.004039	0.10778	0.320631	0.0870437	0.441397
t	0.000215603	0.000334025	0.000859261	0.000912613	0.00558445	0.0184692	0.0123957	0.0132794	0.0162253	0.0181501	0.00747668	0.107286	0.351924	0.152117	0.294771
ú	3.50476e-05	4.97506e-05	0.000362871	0.000272025	0.00254776	0.0133849	0.0157724	0.00579775	0.00709261	0.0197831	0.0583314	0.0479959	0.138697	0.462736	0.227142
n	0.000566697	0.00011112	0.000173942	0.000183284	0.00108411	0.00318053	0.00554972	0.0076337	0.0110789	0.0229376	0.103567	0.0306225	0.0853803	0.161164	0.566766
g	0.00941816	0.000347769	0.000301812	0.000619527	0.00176635	0.0033055	0.0070232	0.0172035	0.0525032	0.0750455	0.0852049	0.0552763	0.243357	0.243431	0.205197
u	0.00128429	0.000608096	0.000798079	0.00449235	0.00483272	0.00509062	0.00327682	0.01069	0.0520569	0.107717	0.0770529	0.0864185	0.174817	0.359187	0.111677
é	0.000908612	9.90118e-05	0.000989991	0.00229663	0.00347575	0.0027032	0.00095746	0.00377713	0.00864234	0.0113415	0.00360384	0.0616462	0.246268	0.0850474	0.568243
d	0.000374844	0.000606031	0.00161871	0.00486311	0.0268023	0.0419791	0.00936576	0.0177483	0.0163324	0.0162711	0.00569832	0.0791831	0.304322	0.105143	0.369692
í	0.000121851	2.29551e-05	0.000117484	0.000368677	0.00903887	0.0151742	0.00260938	0.00524613	0.00754857	0.00585748	0.00105794	0.024348	0.130471	0.149333	0.648684
o	0.00105718	0.000422026	0.000693593	0.00209625	0.00723438	0.0123659	0.00160007	0.00281719	0.00655944	0.0109476	0.00213933	0.0629155	0.165483	0.0168563	0.706812
t	0.00011788	0.000163475	0.000734386	0.00102614	0.00591362	0.0146702	0.0144925	0.0131989	0.0104382	0.00943328	0.0100445	0.0133034	0.124249	0.323551	0.458664
é	2.61368e-05	6.5463e-05	0.000498483	0.000236832	0.00203778	0.00672036	0.0237212	0.00485397	0.00491137	0.0101282	0.0320898	0.0145892	0.0506843	0.458483	0.390954
m	2.93619e-05	8.45018e-06	0.000382501	0.000134091	0.00028085	0.00106645	0.00507463	0.00203354	0.00204327	0.00539852	0.0366785	0.0120805	0.0389764	0.349464	0.546349
a	0.00160358	0.000102778	0.000408184	0.000173775	0.000420828	0.00111776	0.00141662	0.00595849	0.00816366	0.00830773	0.0128976	0.0147605	0.12831	0.126051	0.690308
</S>	0.0157704	0.001335	0.0124979	0.0162937	0.00902674	0.00728685	0.00361898	0.0146048	0.0273904	0.0373334	0.0234941	0.0416751	0.204777	0.0356579	0.549238
