 	les	jeunes	ont	refusé	d'	aller	enterrer	mademoiselle	angondo	parce	qu'	elle	prononçait	des	malédictions	à	leur	endroit	de	son	vivant	</S>
k	0.00150437	0.000558194	0.000940038	0.0201609	0.056744	0.43621	0.206954	0.198949	0.0640537	0.00269685	0.0026095	0.00116884	0.000517042	0.000717733	0.00172221	0.000666557	0.000390078	0.000396326	0.000426003	0.000392947	0.000730752	0.00149121
u	0.000254101	0.000562162	0.000583158	0.00370936	0.0537751	0.50749	0.239716	0.0961331	0.0742434	0.00417449	0.00220347	0.000963494	0.00014773	0.00117825	0.00521108	0.00196772	0.00028784	0.00106053	0.00121014	0.000407786	0.000642773	0.00407778
n	0.000478674	0.000520277	0.000550285	0.00444379	0.0353844	0.444987	0.315345	0.0928864	0.0311288	0.00203907	0.00356074	0.00234252	0.000963919	0.00122618	0.00298206	0.00272618	0.000702357	0.00241733	0.00397806	0.0035975	0.000639218	0.0471002
d	0.00491825	0.00276717	0.00233432	0.016489	0.0677299	0.352533	0.347752	0.0588983	0.00620929	0.00886742	0.0219737	0.0280061	0.00959722	0.00468656	0.00874005	0.00802286	0.00295178	0.0062212	0.00902403	0.00570395	0.00206128	0.0245125
á	0.00971431	0.00345014	0.00325365	0.00918584	0.0531662	0.162451	0.429403	0.112033	0.0167877	0.00899694	0.0424228	0.0498702	0.020937	0.0120474	0.0145868	0.0119908	0.00456302	0.0059584	0.0061359	0.00300453	0.000992741	0.0190478
e	0.00990705	0.00384162	0.00265552	0.00929482	0.0306924	0.0488984	0.303743	0.306024	0.125964	0.0604545	0.01698	0.0158121	0.00884655	0.00826102	0.00598671	0.00771107	0.00604457	0.00583017	0.00465403	0.00406167	0.00341665	0.0109203
b	0.00158478	0.00112749	0.00322782	0.00226942	0.00672144	0.0814815	0.0429803	0.133928	0.345462	0.185297	0.0784942	0.0123002	0.00722492	0.0123338	0.0306874	0.00664993	0.00166163	0.00634355	0.00584399	0.00495997	0.00252377	0.026897
e	0.000163698	0.00107828	0.00177129	0.00108081	0.0069315	0.00836147	0.00982151	0.107763	0.81284	0.00727452	0.00450505	0.0033692	0.000355308	0.00189557	0.00708213	0.00221696	0.000682265	0.00140631	0.00155327	0.000348558	0.0165268	0.0029732
m	5.98114e-05	0.000101848	6.98517e-05	0.00024523	0.0044068	0.0351986	0.0277776	0.22758	0.670253	0.00587785	0.00452429	0.00164366	0.000216388	0.000842887	0.00163255	0.00151149	0.000259118	0.00124623	0.00196305	0.000981739	0.00260204	0.011006
b	0.00348548	0.00141177	0.000459588	0.000126947	0.00288957	0.0114319	0.0109488	0.369293	0.477667	0.0173563	0.0220035	0.0250904	0.00127075	0.0142511	0.00388789	0.0138883	0.00690125	0.00344655	0.00146957	0.0010423	0.00392343	0.00775454
e	0.00230008	0.0016918	0.000540124	0.000916827	0.00109766	0.010743	0.0168004	0.329005	0.43538	0.0180681	0.0513043	0.0381551	0.00656184	0.013614	0.0109492	0.00846977	0.00440118	0.00356426	0.00252066	0.00231807	0.0025209	0.0390779
y	0.00100567	0.000380496	0.000690128	0.000623674	0.00383575	0.00235796	0.00766535	0.0178615	0.0772788	0.352231	0.152698	0.103714	0.0359994	0.078393	0.0489193	0.0268838	0.0117546	0.0212072	0.0160619	0.00735884	0.00583522	0.0272445
á	0.00219352	0.000437677	0.000495085	0.000415915	0.0012647	0.00340162	0.0038866	0.00430842	0.00948901	0.340713	0.172696	0.0576429	0.11752	0.114564	0.0668313	0.0356587	0.0116545	0.010031	0.00754353	0.00873964	0.000589675	0.0299221
n	0.00300706	0.00192071	0.000675815	0.00203625	0.00152212	0.000899263	0.003736	0.00810417	0.010999	0.347442	0.127858	0.0801389	0.149362	0.0907595	0.0752462	0.034722	0.0250308	0.0102994	0.00762868	0.00671607	0.00356227	0.00833434
y	0.00204365	0.000282989	6.40312e-05	0.000699323	0.000169268	0.000303293	0.000553243	0.00233734	0.0030533	0.0434623	0.0556079	0.0396309	0.79587	0.0216356	0.0129313	0.00495928	0.00732143	0.00161587	0.0017238	0.0015075	0.00147528	0.00275202
á	0.000842953	0.000219542	3.02863e-05	0.000575096	4.27458e-05	0.000140985	0.000522487	0.000524424	0.000684076	0.00836179	0.0266843	0.020306	0.88794	0.0105723	0.020903	0.0031728	0.00329781	0.00277569	0.00444623	0.00220514	0.00343825	0.00231352
a	6.782e-05	1.10156e-05	1.89589e-05	0.000152258	0.00035379	0.00343505	0.00279241	0.0123819	0.0397	0.187355	0.251345	0.076982	0.127719	0.0529721	0.0971129	0.030347	0.0143367	0.0135202	0.0238344	0.0128231	0.00417633	0.0485641
n	0.000197374	7.95656e-05	0.000172102	8.91322e-05	0.000743325	0.000476511	0.00145193	0.00335389	0.00916025	0.201087	0.149244	0.204787	0.0941131	0.137523	0.0468772	0.0433885	0.0334392	0.0288762	0.0175222	0.00952586	0.00792378	0.0099689
g	0.00233177	0.000683768	0.000203946	0.000391438	0.000659415	0.00276	0.00347104	0.00577441	0.0059416	0.144097	0.261277	0.139152	0.215958	0.0678194	0.0750881	0.015393	0.0106366	0.00525873	0.00413807	0.00263004	0.00109044	0.0352442
ω	0.000158001	0.000139284	2.61317e-05	9.2359e-05	2.27421e-05	7.52411e-05	0.000282291	0.000186944	0.000190319	0.00567274	0.0150397	0.0101288	0.944275	0.00717244	0.0109583	0.00120107	0.000903341	0.000729983	0.000984526	0.000408203	0.000207699	0.00114537
n	6.80961e-05	3.03897e-05	1.46218e-05	6.50369e-05	4.21535e-05	0.000168365	0.000312294	0.000333342	0.000714612	0.0126687	0.0236282	0.0162056	0.887488	0.0220376	0.0116187	0.0037765	0.00212709	0.002435	0.00446287	0.00255887	0.0005935	0.00865095
d	0.0006897	0.000345298	0.000111297	0.000238481	0.000436688	0.00182475	0.00215377	0.00202859	0.00346239	0.108271	0.140571	0.0628251	0.497172	0.0568124	0.052927	0.0102105	0.00392047	0.00587406	0.00760264	0.00476732	0.000343733	0.0374117
ω	0.000139873	0.000102318	1.34419e-05	2.87967e-05	8.26158e-05	0.00148435	0.00272032	0.00261447	0.00171543	0.0499388	0.157732	0.0723978	0.542139	0.0421638	0.0710873	0.0100227	0.00407586	0.00327029	0.00338524	0.00180211	0.000404487	0.0326791
t	0.00072851	0.000243264	0.000424806	0.000168677	0.000876108	0.000422571	0.00158519	0.00211121	0.00362932	0.0897865	0.0799367	0.164726	0.0675413	0.216816	0.0654267	0.0883257	0.087306	0.0537008	0.0294542	0.016231	0.00702982	0.02353
s	0.00655372	0.00309658	0.000600974	0.000321944	0.000764268	0.000788938	0.00710112	0.0020443	0.00225781	0.078899	0.0548553	0.0425938	0.062029	0.123068	0.440327	0.0704426	0.016623	0.0378566	0.0179574	0.00434451	0.00656518	0.0209083
í	0.000130441	5.21375e-05	1.90479e-05	9.03536e-05	0.000202617	0.000127938	0.00188379	0.000756952	0.00122543	0.0384756	0.0572436	0.0557828	0.023611	0.0855102	0.571107	0.0642455	0.0234799	0.0317421	0.0192175	0.00410689	0.0102513	0.0107376
n	0.00455553	0.00192466	0.000632979	0.00262048	0.000898769	0.000318767	0.00182391	0.00293994	0.00880127	0.0508386	0.119636	0.0899114	0.058586	0.150928	0.31735	0.0472191	0.0469879	0.0224904	0.0157617	0.00419416	0.0173707	0.0342102
a	0.0010672	0.000274216	0.000141755	0.000363087	0.000373086	0.000266122	0.00226655	0.00201216	0.00161071	0.0261649	0.108336	0.186017	0.145943	0.146554	0.221938	0.0388611	0.0353005	0.0217202	0.0139299	0.00774539	0.0125562	0.0265589
w	0.000216075	7.40451e-05	0.00018309	6.36678e-05	0.000135953	9.48699e-05	0.000323862	0.000118694	0.00049449	0.0708968	0.0662316	0.0703242	0.0343019	0.223436	0.077037	0.107965	0.0677139	0.0882454	0.0555646	0.0340164	0.0082217	0.0943404
a	0.00264769	0.000967684	0.000537123	0.00046584	0.00135074	0.000496551	0.00298062	0.00146971	0.00160585	0.0434128	0.0372231	0.0700835	0.0915684	0.19031	0.106302	0.116933	0.115743	0.0728422	0.0605122	0.0294565	0.0215936	0.0314978
á	0.000665241	0.000231609	0.000218148	0.000123111	0.000389031	9.49257e-05	0.000303818	9.23524e-05	0.000256132	0.0258111	0.0232445	0.0481048	0.0287231	0.183541	0.0699274	0.131459	0.123258	0.10688	0.0964191	0.0561009	0.0192716	0.0848852
d	0.000570708	0.000282627	0.0023546	0.00545892	0.00545427	0.00155621	0.00126318	0.000708122	0.00380909	0.0269047	0.0333708	0.0238909	0.00699748	0.0261323	0.0315949	0.0469984	0.0293795	0.105378	0.157047	0.212553	0.109014	0.16928
z	4.76205e-05	2.78058e-05	0.000129346	0.000884455	0.0012714	0.0010606	0.000319423	0.000223786	0.0022419	0.0344025	0.0559706	0.0333977	0.00516247	0.0390533	0.0501291	0.0811798	0.0218482	0.0824741	0.0961899	0.103009	0.0288169	0.36216
a	0.000433037	0.000188449	0.00024443	0.000616192	0.00103006	0.00467705	0.000898861	0.000941949	0.00216967	0.0812688	0.121803	0.0882503	0.0213971	0.0431538	0.0744749	0.0876278	0.0131801	0.0466486	0.0502008	0.0887103	0.0020775	0.270007
l	0.000141448	1.97149e-05	2.98719e-05	4.17923e-05	0.00010035	9.75411e-05	0.000179809	6.67924e-05	0.000718444	0.025901	0.0315515	0.0373976	0.0161556	0.0639325	0.041236	0.0791424	0.0622107	0.113273	0.103414	0.124279	0.10482	0.195291
á	7.0833e-05	5.49395e-05	0.000168294	0.000393116	0.0001441	0.000293912	0.000282275	0.00011304	0.000924156	0.0402893	0.0710144	0.0532812	0.00990662	0.0454841	0.0870956	0.0785961	0.0334048	0.0753744	0.111184	0.104521	0.0319131	0.255491
a	0.000146022	0.000126372	0.000275851	0.000162573	0.000343327	0.000525658	0.000649781	0.000413187	0.000935417	0.017324	0.0324844	0.161996	0.0287699	0.0418875	0.0579676	0.0899686	0.0865122	0.061125	0.0979265	0.0953669	0.12956	0.0955328
b	0.000126304	0.000361091	0.00173958	0.00224231	0.00269582	0.00243784	0.00120738	0.000717638	0.00429635	0.0148164	0.0279203	0.028837	0.0122461	0.0131536	0.0924711	0.03913	0.0188216	0.0605817	0.166651	0.149959	0.197949	0.161639
έ	7.80733e-06	4.40385e-05	0.000248607	0.000348015	0.000924259	0.00170973	0.00145696	0.00161318	0.0108955	0.00597148	0.0201908	0.0514656	0.00339895	0.0111881	0.0306386	0.0502344	0.0268934	0.0652543	0.166414	0.0752763	0.429548	0.0462777
r	4.25982e-05	2.04331e-05	5.37117e-05	4.06084e-05	0.000297774	0.000467277	0.000288385	0.000222403	0.00326678	0.0244397	0.0551009	0.0306375	0.00463426	0.01578	0.085822	0.0607208	0.0147902	0.0913837	0.16172	0.131228	0.12437	0.194673
έ	0.000317741	9.75122e-05	4.35383e-05	6.72279e-05	0.000205285	0.000709486	0.00135487	0.000470538	0.00206059	0.033725	0.0901211	0.0572305	0.0307902	0.0474516	0.190939	0.0698877	0.0314738	0.104063	0.0967969	0.0652196	0.0452907	0.131685
b	0.000156574	1.27578e-05	1.83376e-05	2.72419e-05	0.000112537	0.000189344	0.000242556	0.00022798	0.000623934	0.0106251	0.0290079	0.0628042	0.0094111	0.0231079	0.0162588	0.0538474	0.0399614	0.0614548	0.0969985	0.179812	0.11182	0.30328
á	0.000253725	0.000429706	0.00011991	0.000175935	0.000195075	5.05984e-05	0.000540281	0.000392587	0.00083079	0.00902576	0.0315985	0.131135	0.0118561	0.0459106	0.0600183	0.0680202	0.0840325	0.0324657	0.0280825	0.0226281	0.451178	0.021061
a	0.00116977	0.00143736	0.000488673	0.000414226	0.000548097	0.000113674	0.000348619	0.000352132	0.000682085	0.00920245	0.0212282	0.101311	0.00779729	0.0514718	0.0427587	0.0909885	0.177122	0.0400868	0.045093	0.0330698	0.332208	0.0421076
a	0.000210423	3.59326e-05	0.000119331	6.08452e-05	0.000225052	0.000215717	0.000200645	0.000183333	0.00059118	0.0100855	0.0163943	0.0333601	0.00243191	0.0224717	0.0147518	0.0683897	0.0570079	0.0815192	0.118331	0.24276	0.200617	0.130038
b	5.68878e-05	3.03489e-05	0.000357511	0.000770327	0.00243943	0.000427847	0.000561968	0.000334018	0.00309627	0.0228719	0.0188156	0.0341642	0.00123351	0.0159188	0.00595684	0.0414323	0.0256146	0.0523874	0.0941949	0.27708	0.242457	0.159798
v	3.53201e-05	0.000128159	0.000176981	0.000531611	0.00123463	0.000521992	0.00117575	0.000349158	0.00205592	0.00822125	0.0186928	0.0409765	0.00507887	0.0183086	0.0252935	0.0520548	0.0277155	0.0679227	0.125869	0.109038	0.436194	0.058425
ú	9.11034e-05	2.57647e-05	1.47489e-05	9.22173e-05	0.000172745	0.000159528	0.000394024	0.000600198	0.00196489	0.00416254	0.0117066	0.0259877	0.0013796	0.0164113	0.0223147	0.0552057	0.0389141	0.051159	0.0676543	0.043245	0.6378	0.0205442
</S>	0.000193656	0.000143957	3.54841e-05	8.80081e-05	0.000256085	8.33069e-05	0.000262654	0.000151084	0.000525976	0.00688487	0.0202934	0.0827188	0.0100659	0.0258034	0.0138097	0.0650734	0.0394856	0.0619222	0.109152	0.245418	0.141869	0.175764
