 	le	pêcheur	est	en	train	de	chercher	sa	machette	qui	est	tombée	dans	l'	eau	</S>
a	0.129552	0.00433048	0.0625217	0.220806	0.033057	0.186531	0.156133	0.0799029	0.0207863	0.0265928	0.0101322	0.0068999	0.0118734	0.012116	0.0165551	0.0222092
d	0.0115576	0.00982561	0.0117525	0.0161512	0.00653998	0.100799	0.176281	0.0183455	0.53156	0.0210061	0.015366	0.038351	0.00486959	0.00135996	0.0014459	0.0347897
í	0.00968565	0.0164561	0.00615168	0.0212055	0.00296423	0.0326473	0.210126	0.0319105	0.310933	0.0504243	0.0396497	0.102056	0.0530461	0.00650766	0.00664903	0.099588
b	0.0110952	0.00084008	0.00638444	0.0169931	0.000291479	0.0474278	0.339496	0.0688331	0.149466	0.0852013	0.0733535	0.0616216	0.0599072	0.00771474	0.00283055	0.0685441
h	0.0139099	0.0014204	0.0120723	0.0270655	0.00166483	0.0268984	0.235847	0.115791	0.0806247	0.0788415	0.0833018	0.109041	0.163324	0.0262482	0.00927051	0.0146793
á	0.00621098	0.00621278	0.0146476	0.21328	0.0288689	0.0594349	0.0534476	0.0856864	0.107248	0.0957885	0.0378425	0.0340137	0.064369	0.034645	0.0190119	0.139291
o	0.00378356	0.000510398	0.0112124	0.0361193	0.00153007	0.0497045	0.0616812	0.363556	0.0269496	0.187411	0.0831212	0.029056	0.0461218	0.0504294	0.0256719	0.0231416
k	0.00203954	0.0118761	0.00135051	0.000442828	0.000815387	0.00213856	0.0118326	0.00667941	0.413862	0.122054	0.0986286	0.226042	0.0737217	0.00609737	0.0149059	0.00751293
w	0.000304877	0.0127381	0.00107093	0.000286456	0.000771926	0.00102477	0.00912964	0.00534907	0.42915	0.153503	0.0607742	0.235761	0.0623966	0.00934174	0.00217889	0.0162194
á	0.00082523	0.00296273	0.001129	0.00276781	0.00441947	0.0016434	0.012921	0.0042941	0.0542336	0.0745911	0.0581845	0.411191	0.251581	0.0291774	0.0144243	0.0756541
í	0.00272729	0.00057601	0.00271567	0.00968797	0.000392286	0.00710568	0.0143253	0.0363032	0.0273996	0.11542	0.144782	0.185158	0.192074	0.12139	0.05743	0.0825143
m	0.00111193	0.000409414	0.00558388	0.00458133	0.000199906	0.00547705	0.00656141	0.0120197	0.00173706	0.0335474	0.123324	0.132333	0.29439	0.278313	0.0519635	0.0484477
á	0.00154048	0.00143408	0.00304093	0.00181965	0.000854543	0.0025534	0.000885448	0.00131277	0.00283249	0.0101746	0.0370874	0.0830703	0.0605937	0.0538608	0.450885	0.288055
w	0.00129887	0.000373801	0.00210242	0.00425472	0.000590568	0.00242636	0.00325554	0.0114778	0.0015009	0.0127541	0.0291472	0.0365046	0.181043	0.204202	0.463859	0.0452093
a	0.00113307	0.000532364	0.00384463	0.00863819	0.000881261	0.0100734	0.0179706	0.0227037	0.00422438	0.0462483	0.0802654	0.12488	0.153283	0.268984	0.180934	0.0754037
m	0.000117863	9.51847e-05	0.000398271	0.000718905	0.000525165	0.000759395	0.00233517	0.00287033	0.00227157	0.0318095	0.0714105	0.108294	0.217322	0.298319	0.0721623	0.19059
ó	0.00406984	0.000877891	0.00512841	0.00223497	0.000292355	0.00807904	0.00406022	0.00599146	0.00559022	0.0296039	0.0617418	0.0824533	0.073293	0.188297	0.238707	0.28958
o	0.00132402	0.00150225	0.003816	0.00254219	0.000926496	0.00253021	0.00465554	0.00744898	0.00253781	0.0150972	0.0210838	0.0533583	0.15794	0.22536	0.254562	0.245316
p	0.000304682	0.00223326	0.00312471	0.000741455	9.7804e-05	0.000736574	0.00460542	0.00138586	0.00796459	0.00915934	0.0296866	0.175444	0.203208	0.100521	0.0853086	0.375478
á	0.000339066	0.0158461	0.00350302	0.00314147	0.00368778	0.00167822	0.0109084	0.00199105	0.0421818	0.0324543	0.0396031	0.384288	0.147259	0.0585549	0.0231823	0.231382
s	0.0010526	0.00305869	0.00186752	0.00298782	0.0107774	0.0013122	0.00815666	0.00187786	0.0121437	0.0152881	0.0380991	0.292189	0.213643	0.0854566	0.0799139	0.232176
í	0.000177289	0.000598428	0.000385623	0.00051266	0.000126738	0.000354165	0.00186628	0.000747095	0.0015376	0.00424268	0.00956362	0.149606	0.364865	0.18862	0.05966	0.217136
s	0.000251469	0.000151322	0.000651204	0.000924453	0.000418856	0.00119273	0.00234743	0.00125493	0.00132815	0.00893348	0.0260804	0.0657463	0.126555	0.222857	0.179602	0.361705
á	0.00123333	0.00183253	0.00315852	0.00388245	0.000262658	0.00307794	0.0106022	0.00914166	0.00212591	0.00637061	0.00703228	0.0397975	0.134996	0.2193	0.15407	0.403115
m	0.0096382	0.00275324	0.00262069	0.0120225	0.00305312	0.00362314	0.00900572	0.0417161	0.00333806	0.00919775	0.00714726	0.00632258	0.0518871	0.24526	0.478671	0.113743
á	0.0011738	0.000460706	0.00124494	0.00308119	0.000958735	0.0010345	0.000789886	0.00122564	0.00101888	0.00175954	0.00201408	0.00199075	0.00681986	0.0247507	0.883843	0.0678338
a	0.000650402	0.000492883	0.00246036	0.00401029	0.000382767	0.00143115	0.00199482	0.00828298	0.000658724	0.00531207	0.00764251	0.0074986	0.0445574	0.234402	0.426518	0.253705
</S>	0.000867824	0.000278691	0.00252291	0.000945699	0.000161364	0.00314022	0.0046665	0.00284674	0.00240851	0.0120126	0.0202725	0.0254597	0.0584542	0.168218	0.16825	0.529495
