 	le	sous-préfet	n'	est	pas	venu	faire	le	recensement	personnellement	mais	il	a	envoyé	son	représentant	</S>
o	0.0158133	0.00443142	0.110552	0.181656	0.171674	0.173302	0.117817	0.0775332	0.018176	0.00647066	0.00510055	0.0159309	0.0125049	0.0144365	0.0113665	0.0141222	0.0491118
y	0.00392748	0.0141562	0.0580214	0.251162	0.0503819	0.203956	0.210899	0.093217	0.0194389	0.00483746	0.00443662	0.00107361	0.00431705	0.061063	0.000392574	0.00311836	0.0156017
a	0.00328723	0.00346389	0.0434833	0.0714429	0.0373513	0.435776	0.144967	0.0585316	0.0119581	0.00927582	0.00513116	0.00109885	0.00508924	0.128043	0.00198316	0.0145967	0.0245209
á	0.00289692	0.00159606	0.0421465	0.0870423	0.0677158	0.229858	0.194571	0.086101	0.0222766	0.00969481	0.00856447	0.00300697	0.0131238	0.0757179	0.00345334	0.0101526	0.142082
o	0.00235042	0.0010243	0.0416249	0.0884659	0.24007	0.217527	0.107755	0.101098	0.048575	0.0335419	0.0104434	0.0219582	0.0197251	0.00687061	0.0131377	0.0101277	0.0357048
k	0.00101969	0.00269202	0.00813792	0.025848	0.0156437	0.0689606	0.365902	0.347909	0.116901	0.0189882	0.00750995	0.000362042	0.00136928	0.0147144	0.000138891	0.00175923	0.00214332
y	0.000384611	0.00754752	0.00461539	0.0163904	0.00985825	0.0224215	0.346245	0.310953	0.219868	0.0083677	0.00465933	0.000924494	0.00087658	0.0357452	0.000595444	0.00213217	0.00841516
á	0.00158587	0.00809597	0.0114265	0.0444447	0.0215097	0.0524291	0.329652	0.25321	0.178637	0.0212039	0.0105022	0.00573894	0.00356196	0.0354854	0.000881986	0.000753127	0.0208823
o	0.00144096	0.00163953	0.0159512	0.0633103	0.110102	0.0622064	0.184633	0.148627	0.213103	0.0498964	0.0191565	0.0169157	0.00754366	0.0116438	0.00403075	0.00296641	0.0868338
b	0.00181331	0.00138334	0.00944755	0.0194361	0.0210107	0.0383711	0.186969	0.211327	0.274757	0.142152	0.0548199	0.00979112	0.00852102	0.00802344	0.000409598	0.00384963	0.00791808
a	0.00164521	0.00459137	0.00759807	0.0170004	0.00944644	0.00887	0.0878162	0.122934	0.559957	0.123598	0.0171581	0.0133788	0.00442231	0.00457629	0.000406	0.00615137	0.0104506
é	0.000860637	0.00130766	0.00288448	0.0120914	0.00723487	0.00846692	0.0833898	0.167971	0.531004	0.0738366	0.0233063	0.00888167	0.00249084	0.00883584	0.00076405	0.0062712	0.0604023
w	0.00295926	0.0016964	0.0181296	0.0165794	0.0559992	0.0472069	0.0902369	0.103484	0.156241	0.240585	0.090764	0.0848627	0.0362529	0.00817013	0.00858777	0.00449564	0.0337501
a	0.0035926	0.00616558	0.00994984	0.0158815	0.0353597	0.0227691	0.0416591	0.051313	0.11271	0.211347	0.0915093	0.138	0.0338298	0.013694	0.0581865	0.00862469	0.145409
m	0.00222399	0.000799012	0.00287576	0.00331628	0.0103299	0.0111242	0.0165819	0.0306476	0.0525216	0.306097	0.26294	0.174523	0.0277281	0.00618019	0.0332042	0.0110061	0.0479007
έ	0.00858257	0.00567144	0.0247506	0.0195264	0.0203732	0.00565829	0.0134771	0.0297607	0.0909932	0.378165	0.144844	0.114506	0.0270837	0.00161836	0.00384149	0.077263	0.033886
n	0.000565835	0.00067655	0.00433639	0.00535688	0.0110352	0.00227964	0.0133703	0.0308028	0.0711468	0.276183	0.375351	0.11508	0.0434082	0.00232715	0.00326562	0.0279173	0.0168967
έ	0.000760503	0.000193638	0.00117748	0.00217429	0.00328635	0.00259398	0.00389236	0.010692	0.0163785	0.704719	0.184399	0.00870395	0.00453311	0.00227999	0.018923	0.0163839	0.0189083
k	0.000248417	0.000121858	0.00222359	0.00288242	0.0144941	0.0204163	0.0153247	0.0197101	0.0258387	0.15945	0.347377	0.101821	0.135892	0.0388661	0.0231556	0.0134112	0.0787675
a	0.000863323	0.00403281	0.00712225	0.0111239	0.00978539	0.00530163	0.0613938	0.0707748	0.27503	0.172295	0.155518	0.0923222	0.0235792	0.0733057	0.00157966	0.00176059	0.0342117
á	0.000711153	0.000746467	0.00119964	0.00332317	0.00362993	0.00380784	0.0180861	0.0347486	0.129061	0.094703	0.170172	0.24419	0.0501176	0.0585734	0.00330951	0.0135159	0.170104
n	0.000408087	0.000212046	0.0014963	0.00176462	0.00299586	0.00186732	0.00169898	0.00181726	0.0032958	0.0204478	0.0766924	0.338496	0.427063	0.0185229	0.0267538	0.0120368	0.0644309
d	0.00601651	0.00039283	0.00369749	0.0042333	0.0106961	0.00281714	0.00243294	0.00554883	0.00856135	0.444345	0.192183	0.0652745	0.0325146	0.00993869	0.0802291	0.0515783	0.0795412
z	0.00144625	0.00056486	0.00148446	0.0023975	0.00584979	0.0149641	0.00764773	0.00915528	0.0103273	0.220552	0.387755	0.03265	0.0464713	0.0815351	0.0471561	0.0158432	0.1142
á	0.000170745	0.000203863	0.00103759	0.00378665	0.016944	0.0329089	0.0646627	0.117821	0.0364715	0.182291	0.330695	0.00782913	0.0132459	0.0944572	0.0166139	0.0229308	0.0579304
á	0.000598939	0.000220653	0.00377345	0.0205467	0.0226274	0.0200279	0.0852626	0.100337	0.0405433	0.0394738	0.108334	0.0158825	0.0354903	0.132357	0.00556278	0.0191264	0.349836
á	0.000210061	0.000188755	0.00136649	0.00122297	0.00874019	0.00470701	0.00462104	0.00528308	0.00666771	0.0448179	0.119569	0.346901	0.268918	0.0141322	0.0896291	0.0238411	0.0591849
t	0.00089361	0.00104043	0.0028379	0.00476125	0.00182431	0.00296518	0.0042702	0.00245763	0.00279278	0.0032835	0.0103116	0.0168701	0.223376	0.569983	0.0114355	0.0399932	0.100904
í	3.24922e-05	4.86355e-05	0.000357279	0.000638233	0.000654442	0.00138699	0.00324512	0.000893989	0.00091986	0.00113435	0.00474352	0.00974638	0.0553977	0.874021	0.00703724	0.00510843	0.0346345
n	6.78523e-05	3.06294e-05	0.000235786	0.000482684	0.00162265	0.00253691	0.00717314	0.00292964	0.00352258	0.00319061	0.00835584	0.0369973	0.0902998	0.670808	0.0342141	0.0144338	0.123098
d	0.000188413	0.000123365	0.000409186	0.00104665	0.00246766	0.00188151	0.00480672	0.00337222	0.00736355	0.0159861	0.0279459	0.0594835	0.11336	0.528642	0.0533891	0.0254685	0.154066
i	0.000555518	0.000674899	0.00195498	0.00288784	0.00606343	0.0116328	0.0114891	0.0109269	0.0147164	0.0545405	0.108104	0.0790661	0.0906499	0.336174	0.0795621	0.0544693	0.136532
e	0.000159832	0.000147027	0.000768611	0.00114281	0.00326133	0.00172481	0.00176596	0.00251222	0.00464348	0.0268987	0.0271519	0.117403	0.0585449	0.0225062	0.538353	0.113024	0.0799925
m	0.00060082	0.000299638	0.00126726	0.00233026	0.00132035	0.000605185	0.00171007	0.00200098	0.00423449	0.0091025	0.00758471	0.0128488	0.0240825	0.359081	0.0365411	0.214533	0.321857
ώ	3.07958e-05	0.0001172	0.0019432	0.00241236	0.00168118	0.000424439	0.00216288	0.00751779	0.00510394	0.00967857	0.00296498	0.00658203	0.0132753	0.0104665	0.0180335	0.877409	0.0401964
n	5.06288e-05	0.000225268	0.000922859	0.0020452	0.00233474	0.00189016	0.00395374	0.00454057	0.0104231	0.0107631	0.0115293	0.0312641	0.0621588	0.0644337	0.0712576	0.253203	0.469005
í	0.000484995	0.00107607	0.00101682	0.00151389	0.00122015	0.00184833	0.00526504	0.0115219	0.0120945	0.0259244	0.0151617	0.0355903	0.0251881	0.422662	0.0827033	0.210387	0.146342
</S>	0.000160826	4.3291e-05	0.000373361	0.000591558	0.000945594	0.000530871	0.000586378	0.000971182	0.00170658	0.0100835	0.0110444	0.0499984	0.0372739	0.0453918	0.399054	0.124929	0.316315
