 	la	carpe	que	nous	avons	mangée	était	cuit	à	la	braise	la	vôtre	est	cuite	dans	un	bouillon	</S>
é	0.0266083	0.00188134	0.00796124	0.00897082	0.0853753	0.698843	0.107509	0.00596667	0.00722787	0.00107414	0.00374098	0.00196154	0.000145027	0.001144	0.0221791	0.00214378	0.000583646	0.0132237	0.00346023
b	0.0052087	0.00135082	0.046172	0.206921	0.0983318	0.107522	0.0342675	0.0251699	0.0422555	0.0236186	0.00330638	0.0361337	0.0365116	0.0261189	0.021741	0.0785558	0.0465275	0.0125468	0.147741
í	0.00256151	0.000785096	0.024277	0.646667	0.0535739	0.0382429	0.0325835	0.0256735	0.022979	0.00988487	0.00121911	0.0073876	0.10458	0.00414139	0.00405309	0.00803206	0.0033988	0.00194633	0.0080132
s	0.00515221	0.00201023	0.0444521	0.637281	0.0975563	0.00920967	0.00433428	0.0147491	0.00661248	0.00526071	0.00220519	0.0068063	0.138926	0.00269163	0.000494004	0.00328158	0.0026138	0.00126424	0.0150992
í	0.0115108	0.00756425	0.0459555	0.42322	0.100235	0.0453652	0.0281592	0.0270975	0.0319052	0.0174449	0.000499704	0.0312994	0.179356	0.00777533	0.000993212	0.0107638	0.00996429	0.00244131	0.0184498
a	0.00447616	0.000993154	0.030453	0.214588	0.159348	0.170347	0.113297	0.0854856	0.0426213	0.0311259	0.00514366	0.0144955	0.0225249	0.0129782	0.00648461	0.020133	0.0162738	0.00868168	0.0405493
d	0.00864241	0.00437671	0.00922183	0.0286097	0.0513736	0.199084	0.279185	0.141437	0.0812189	0.0279078	0.0497218	0.00889902	0.00471873	0.0132449	0.0453115	0.0189529	0.00510958	0.0148327	0.00815229
z	0.00354998	0.000349593	0.00128803	0.00895704	0.0214879	0.419544	0.364784	0.0456771	0.0558519	0.0099447	0.00558627	0.00625701	0.000345633	0.00273565	0.0198515	0.0123922	0.00210791	0.00653712	0.0127529
e	0.00359766	0.00102039	0.00171682	0.00558307	0.0386352	0.464908	0.364156	0.0420255	0.0380387	0.0067293	0.00687348	0.00333962	0.000187695	0.000979004	0.00842422	0.00169401	0.00087293	0.0046635	0.00655512
o	0.00640653	0.000265949	0.00779955	0.123141	0.0514297	0.102607	0.136823	0.176529	0.125425	0.0663492	0.0112423	0.0331824	0.0207322	0.0153997	0.0106907	0.0412775	0.0234066	0.00400754	0.0432862
t	0.00398525	0.00157923	0.00184248	0.00484598	0.00785765	0.0843346	0.331325	0.157026	0.0997961	0.0446104	0.153818	0.00795862	0.00174412	0.00513091	0.0318857	0.00773498	0.00154735	0.0379883	0.0149898
u	0.000236901	0.00152668	0.00105291	0.00572472	0.00570565	0.0133222	0.0712883	0.0815616	0.0801588	0.0417281	0.520262	0.0152116	0.00122075	0.00146544	0.058517	0.00477201	0.00140382	0.049558	0.0452832
m	0.00835137	0.00198809	0.000829062	0.0153752	0.00928228	0.036532	0.1028	0.10113	0.123281	0.102912	0.215853	0.0240736	0.00350495	0.00378932	0.0632339	0.0273721	0.00933533	0.0127875	0.137568
b	0.0190909	0.000846245	0.00416584	0.0469566	0.0213667	0.0154885	0.0257144	0.13841	0.176706	0.0948843	0.0999233	0.142571	0.040465	0.0324696	0.0242312	0.0585859	0.0431845	0.00167821	0.0132616
á	0.044148	0.00428678	0.0203789	0.131388	0.0316675	0.0502214	0.0629321	0.109156	0.103529	0.0517219	0.124446	0.108438	0.0549361	0.00656756	0.010052	0.0247709	0.0114218	0.00112437	0.0488143
t	0.00164872	0.000506607	0.00305619	0.00970666	0.0132959	0.00349063	0.00655223	0.0668782	0.146058	0.154281	0.0741067	0.172387	0.154364	0.113032	0.0151071	0.0361632	0.0178514	0.00104529	0.0104693
u	0.00120552	0.00169443	0.00351313	0.0183611	0.00901328	0.00202228	0.00348995	0.01898	0.0261228	0.0273331	0.709296	0.0737906	0.0317839	0.0130832	0.0304748	0.00962642	0.00417469	0.00234353	0.0136916
m	0.0021356	0.000474539	0.000159855	0.00548413	0.00311392	0.0136065	0.0456314	0.0537887	0.100136	0.102151	0.441719	0.0662023	0.0187056	0.0123209	0.0917699	0.0211482	0.00381046	0.00422728	0.0134151
b	0.00389451	0.00177487	0.00157453	0.00217764	0.00471861	0.00444369	0.00384722	0.0138599	0.0480223	0.0916348	0.132565	0.218954	0.0192923	0.0653836	0.0198312	0.104575	0.209179	0.0039718	0.0502994
a	0.0664119	0.0111029	0.00324483	0.0155808	0.00712691	0.00247852	0.00993008	0.061412	0.0667422	0.101273	0.20619	0.205945	0.159854	0.0180034	0.0121182	0.0199027	0.0158089	0.00134909	0.0155248
y	0.000642642	9.27915e-05	0.00122063	0.00132462	0.00152887	0.000426079	0.00183759	0.0130241	0.0572329	0.139029	0.027655	0.250561	0.0956374	0.190869	0.0171135	0.119199	0.0580576	0.00298592	0.0215616
a	0.00175306	0.000809784	0.00890564	0.00361875	0.00589341	0.00250754	0.00862201	0.0137256	0.0492798	0.0621338	0.0563378	0.185503	0.0248987	0.126139	0.220554	0.0923454	0.0955798	0.0212871	0.0201062
b	0.00140512	0.00157818	0.00946828	0.0304349	0.0138873	0.00174968	0.00681977	0.00876646	0.0259743	0.0420384	0.00787333	0.215551	0.157076	0.11302	0.0521667	0.089435	0.193231	0.0127374	0.0167878
í	0.00149873	0.00450927	0.00775935	0.236453	0.0225434	0.00194206	0.00405632	0.0164133	0.0294946	0.0206169	0.0220134	0.0490701	0.445471	0.0266537	0.0266909	0.0378373	0.027333	0.0140404	0.00560309
n	0.000522854	0.00424526	0.0042861	0.187471	0.0122166	0.000394163	0.000759901	0.00582262	0.00966914	0.0127272	0.0186475	0.0359236	0.657067	0.0143824	0.00543401	0.0134508	0.00915276	0.00271735	0.00510879
í	0.0091769	0.00655231	0.00287289	0.012936	0.00284353	0.00109313	0.00246491	0.00956924	0.0223536	0.0304056	0.0124026	0.129806	0.42605	0.0480378	0.0110133	0.0546663	0.0255942	0.00593022	0.186231
a	0.000206939	7.69526e-05	0.000832981	0.000678577	0.000919515	0.000471403	0.00153769	0.00548703	0.0214933	0.0364535	0.0117543	0.139087	0.108621	0.173826	0.085371	0.194028	0.125587	0.0234988	0.0700692
d	0.000342066	2.50764e-05	0.000678189	0.000396834	0.000837233	0.00160694	0.0020091	0.00155474	0.00815006	0.00966053	0.00341162	0.01378	0.00626089	0.0794761	0.255974	0.329421	0.157871	0.0519459	0.0765984
i	6.22807e-05	4.769e-05	0.000170098	0.000607713	0.000506099	0.00330881	0.00610588	0.00130417	0.0129427	0.00433651	0.00186296	0.0127592	0.00383364	0.0179301	0.312751	0.277209	0.0535953	0.0834308	0.207236
o	8.62814e-05	8.68262e-06	0.000206204	0.000204282	0.000328474	0.00156453	0.00386681	0.00226135	0.020177	0.00697144	0.00342364	0.0124821	0.00408114	0.0317019	0.172072	0.456387	0.147325	0.0581715	0.0786802
l	0.000120345	8.27712e-06	0.000187837	0.000262326	0.000328037	0.000954428	0.00165613	0.000806147	0.00453665	0.00475818	0.00123982	0.00676516	0.00406377	0.0225207	0.170159	0.27751	0.14464	0.135176	0.224308
á	0.000243103	7.50049e-05	0.000866552	0.00326694	0.00211832	0.00280684	0.00420324	0.00183458	0.00805026	0.00640204	0.00390058	0.00833751	0.00469605	0.0101997	0.28964	0.122117	0.0636182	0.279318	0.188307
m	0.000227557	0.000127392	0.00237305	0.00807347	0.00273793	0.000493399	0.000945099	0.00227558	0.00688949	0.00747486	0.00362275	0.0244003	0.0548671	0.0290807	0.0426226	0.0753242	0.435405	0.19317	0.10989
b	0.000302547	0.000473807	0.00137954	0.00419417	0.00479378	0.00206185	0.00118768	0.00239248	0.0067241	0.00628321	0.00755459	0.00878506	0.0120597	0.0181493	0.0401832	0.0552188	0.108205	0.623276	0.096775
á	0.00211598	0.00423471	0.00056238	0.00505402	0.00223402	0.000865125	0.0011141	0.00433638	0.00857146	0.0214856	0.0367073	0.0363612	0.127186	0.00901391	0.0336251	0.0534388	0.0468121	0.228301	0.37798
l	0.00206777	0.00138891	0.00171862	0.00531658	0.00493019	0.000594024	0.000628789	0.0034941	0.00726832	0.0110185	0.0150372	0.03125	0.0820137	0.0414871	0.0611404	0.127579	0.221241	0.0804527	0.301374
a	0.000133413	0.000114943	0.000549928	0.00131424	0.00113094	0.000782212	0.00102485	0.00201497	0.00498334	0.00598501	0.00530184	0.0115305	0.0173351	0.0129297	0.0735418	0.0870429	0.0816235	0.336374	0.356287
m	0.000204709	6.77258e-05	0.000224827	0.000343174	0.000359115	0.000225895	0.000295824	0.000314535	0.00109406	0.00285534	0.00509774	0.00686725	0.00205292	0.00542948	0.0349243	0.0291484	0.091341	0.4651	0.354054
b	0.000162617	0.00120459	0.00126708	0.000896191	0.00145741	0.00427556	0.0023299	0.000836329	0.00419061	0.0040783	0.00754493	0.00582927	0.000741652	0.00545454	0.057119	0.0286975	0.0986369	0.669061	0.106217
a	0.00050387	0.00141275	0.000196543	0.000643581	0.000572187	0.00180058	0.00268607	0.0016218	0.00611924	0.00786647	0.0140816	0.00835864	0.00357538	0.00301896	0.0564524	0.0532368	0.0754942	0.590459	0.1719
</S>	0.000556287	0.0010603	0.000320786	0.00061609	0.000959146	0.000651414	0.00106375	0.00215365	0.00616714	0.00849812	0.0412932	0.0200655	0.00846247	0.0115241	0.0719542	0.0459715	0.0561803	0.263267	0.459235
