 	garde-	toi	d'	attraper	le	silure	par	la	queue	de	peur	qu'	il	ne	te	pique	</S>
í	0.0572224	0.0628394	0.174077	0.562965	0.0299323	0.0267001	0.0230397	0.0134766	0.00415118	0.00220422	0.00174393	0.00149438	0.00224578	0.00653872	0.00322448	0.00508231	0.023063
n	0.010265	0.0822	0.149059	0.0877066	0.420306	0.0570449	0.087381	0.0265566	0.00991541	0.0113464	0.0152678	0.0178657	0.00894745	0.00431515	0.00565464	0.00164235	0.00452585
g	0.00534664	0.155868	0.0375566	0.054574	0.188745	0.374951	0.040128	0.0177896	0.0319351	0.00811747	0.00208559	0.00716408	0.00746968	0.00671922	0.0222993	0.0189618	0.0202891
ω	0.000837207	0.0575403	0.0180597	0.0145228	0.0584263	0.741744	0.0120614	0.0158283	0.033247	0.00317004	0.00108233	0.000771796	0.00207887	0.00298643	0.023801	0.00807271	0.00577042
l	0.00104383	0.0158406	0.0107585	0.0113265	0.0514064	0.664223	0.0360846	0.0641531	0.0512602	0.018415	0.00219261	0.00513435	0.00807197	0.0126481	0.028448	0.0078094	0.0111841
ω	0.002498	0.00779214	0.0141304	0.129802	0.0864328	0.274604	0.191012	0.097131	0.0179227	0.0316775	0.00649335	0.00468181	0.00421894	0.0142379	0.0060118	0.0159982	0.0953558
m	0.00220234	0.00996565	0.0331829	0.052487	0.137684	0.0498246	0.360863	0.176937	0.0608838	0.0556691	0.0107271	0.0142298	0.0126567	0.0071238	0.00300949	0.00220996	0.0103439
é	0.000635609	0.00101048	0.00304021	0.00515207	0.026026	0.00150371	0.0903259	0.252106	0.173181	0.248687	0.10389	0.0434837	0.00901106	0.00314977	0.00186879	0.000846459	0.0360828
s	0.0038781	0.00295099	0.00736262	0.0287441	0.0626921	0.011883	0.152169	0.255781	0.180921	0.174341	0.0550552	0.020475	0.0127323	0.0116471	0.00433364	0.00492556	0.010108
a	0.000351119	0.00315529	0.00299581	0.0215759	0.0161468	0.00884889	0.0584718	0.142614	0.578338	0.0897485	0.00368478	0.0062079	0.0154215	0.00998934	0.00631245	0.012576	0.0235613
n	0.000187956	0.000678438	0.0019313	0.0121372	0.047375	0.0101987	0.0979995	0.284375	0.309429	0.154383	0.00671084	0.0116572	0.0153936	0.015465	0.004752	0.00543552	0.0218896
d	0.000256843	0.00265434	0.00360369	0.00800174	0.0363306	0.0166046	0.0982296	0.290389	0.372743	0.102122	0.00319612	0.00677006	0.00578401	0.00671953	0.00699069	0.00711479	0.0324894
z	0.00018288	0.000996876	0.00105097	0.00536401	0.0215774	0.0480805	0.0939415	0.225593	0.389111	0.0451637	0.00193185	0.00887149	0.0178738	0.0196811	0.0183133	0.0460797	0.0561871
á	0.000239042	0.000740726	0.000611135	0.0114715	0.0241423	0.0446227	0.0677603	0.148366	0.272789	0.0637874	0.00427776	0.0113273	0.0259074	0.0324339	0.0153546	0.111853	0.164316
p	0.000227715	0.000941879	0.00192896	0.00475871	0.0240501	0.00308532	0.164111	0.170636	0.0581958	0.216627	0.122713	0.119902	0.0362054	0.0207786	0.00873699	0.00963358	0.0374679
e	0.00286701	0.0014751	0.00206387	0.00855871	0.0259036	0.026113	0.0319252	0.0315981	0.0206432	0.140163	0.0582531	0.0938551	0.128015	0.0701593	0.00332185	0.29714	0.0579449
n	0.00020872	0.000240631	0.000446295	0.00239766	0.0036985	0.00363382	0.0208284	0.0283309	0.02742	0.0828038	0.0969158	0.169456	0.27127	0.0926383	0.00859215	0.117215	0.0739035
á	0.00308923	0.0033357	0.00157378	0.00513307	0.0112476	0.0172604	0.0519867	0.0560424	0.0479563	0.171196	0.126149	0.15958	0.0760114	0.0428998	0.0125127	0.125768	0.0882579
w	0.000215868	0.00137234	0.00287597	0.00146432	0.0113573	0.00106597	0.0207595	0.0292078	0.031372	0.0990539	0.0809947	0.2216	0.197013	0.0905993	0.114952	0.018879	0.0772179
a	0.000363882	0.00137659	0.00148883	0.00378952	0.0129465	0.0100416	0.0410046	0.0603245	0.0204213	0.113463	0.0967239	0.199255	0.217321	0.070668	0.0186712	0.0736065	0.0585339
a	0.00016786	0.000470556	0.000994445	0.000347186	0.00501561	0.000842077	0.00729581	0.0156103	0.0123736	0.0723303	0.072108	0.183341	0.269442	0.13381	0.0888272	0.0389604	0.0980628
t	0.0011208	0.00304794	0.014357	0.00984364	0.0133677	0.000817419	0.0145236	0.0214139	0.0160927	0.0311718	0.0218507	0.0178945	0.104834	0.288859	0.160696	0.0550065	0.225103
έ	0.000223751	0.000311426	0.00139115	0.00522798	0.00695334	0.000648181	0.00287131	0.0103805	0.00865898	0.00749581	0.00367617	0.00491425	0.0536942	0.498317	0.0890328	0.172936	0.133267
n	0.00011681	0.00031988	0.00128825	0.00379573	0.0122749	0.00177754	0.0171752	0.033471	0.0242811	0.0188535	0.0208666	0.0187685	0.0754952	0.16854	0.088807	0.14819	0.365979
ω	0.000280703	0.00153566	0.00117784	0.00115007	0.0110086	0.00875458	0.0100589	0.0251346	0.0277513	0.0333413	0.0235082	0.0281066	0.0460515	0.127342	0.264989	0.275336	0.114474
</S>	0.000123335	0.00113917	0.00231002	0.000650043	0.00721658	0.000448117	0.00856642	0.0205771	0.0340314	0.0520001	0.0820341	0.128668	0.116972	0.065141	0.294572	0.0385506	0.146999
