 	c'	est	une	chance	si	quelqu'	un	vient	épouser	votre	fille	aujourd'	hui	</S>
m	0.000415957	0.00117685	0.0126338	0.0247493	0.0664968	0.126484	0.216622	0.143862	0.0298102	0.277537	0.0269213	0.0383965	0.000338046	0.0345553
w	0.0209886	0.0144405	0.0175265	0.00792096	0.0107099	0.00745914	0.0426861	0.0998565	0.0747513	0.0316586	0.42225	0.177405	0.0101936	0.0621537
á	0.000820964	0.000445354	0.00110502	0.000667594	0.00203451	0.00633718	0.0159712	0.0349349	0.0852723	0.0100573	0.836895	0.00275122	0.00051535	0.00219173
n	0.0112744	0.0116722	0.0289636	0.0166797	0.0132618	0.0207165	0.0888068	0.130554	0.102721	0.0922715	0.417129	0.0422718	0.000300093	0.023378
a	0.00228047	0.00267333	0.00901346	0.0269039	0.0299967	0.0217893	0.0132151	0.0367729	0.0438977	0.0398841	0.74915	0.00433561	0.000393042	0.0196944
o	0.00220767	0.00349966	0.0326871	0.0267697	0.0926825	0.162491	0.198892	0.114598	0.045803	0.240003	0.0118222	0.0516293	0.00840295	0.00851117
y	0.00381131	0.0144491	0.0249115	0.00919413	0.0197479	0.0616418	0.146567	0.0572132	0.248888	0.129428	0.0143863	0.0309975	0.208732	0.0300323
ú	0.00128182	0.00346394	0.0262404	0.0425195	0.00537459	0.0688606	0.180093	0.0320508	0.0338647	0.524613	0.0578764	0.00784874	0.00573057	0.0101824
r	0.00246629	0.00302894	0.026736	0.0251124	0.0103811	0.0499775	0.184518	0.0414678	0.0249829	0.330017	0.0187293	0.0475619	0.0074979	0.227523
u	0.00362703	0.00277458	0.0278075	0.00831163	0.024723	0.121063	0.148667	0.081048	0.177157	0.122917	0.0234016	0.118256	0.013838	0.126409
p	0.000340152	0.000566539	0.00336195	0.00104807	0.0140442	0.0337344	0.0417488	0.0294229	0.0128123	0.372703	0.0103463	0.360783	0.0206913	0.0983963
á	0.00144835	0.00198864	0.0033492	0.000289132	0.00517296	0.0177599	0.0121973	0.00297154	0.00871859	0.0549217	0.00677964	0.0256544	0.811446	0.0473028
b	0.000234199	0.000318308	0.000384429	5.7587e-05	0.00179017	0.00426051	0.00326498	0.0011596	0.00239987	0.0248134	0.00605314	0.049636	0.836333	0.0692947
h	5.74378e-05	9.03804e-05	0.000146307	1.15883e-05	0.000762472	0.00594806	0.00191279	0.000757754	0.00418975	0.061815	0.00216553	0.223292	0.340075	0.358776
a	0.00123281	0.00265099	0.0087306	0.00114969	0.0163422	0.0548482	0.0539591	0.0126113	0.0571389	0.205219	0.014357	0.123297	0.0875529	0.360911
b	0.000713681	0.00126687	0.00465754	0.00169248	0.00359648	0.012508	0.0214599	0.00609654	0.00211516	0.201197	0.00529364	0.38803	0.030517	0.320855
h	0.00289572	0.00641147	0.0030539	0.000699626	0.00279105	0.0106342	0.0197619	0.00429801	0.00553747	0.174405	0.0150221	0.126506	0.152913	0.47507
á	0.00102617	0.00151281	0.001932	0.000434474	0.00581236	0.0119591	0.014322	0.00952003	0.0343518	0.24969	0.023371	0.0809262	0.176702	0.38844
é	0.00206625	0.000981781	0.00197999	0.000976039	0.00659019	0.00266646	0.00337312	0.00344283	0.000647423	0.130148	0.0469959	0.418994	0.0647531	0.316385
d	0.0074896	0.0139348	0.016974	0.00840535	0.0140361	0.0217327	0.0303018	0.016301	0.00880172	0.101203	0.00852714	0.219757	0.104932	0.427604
i	0.00089589	0.00265962	0.00260647	0.00310396	0.00156462	0.00234561	0.00509302	0.00435627	0.00681217	0.0399436	0.023042	0.0326256	0.00822264	0.866728
m	0.000366929	0.00047648	0.00276314	0.00112284	0.000789292	0.00309309	0.0131366	0.00548957	0.00221931	0.0578235	0.0184475	0.142399	0.0776028	0.67427
ó	0.00184953	0.00396486	0.00936439	0.0034024	0.00328732	0.00300679	0.0125299	0.0119721	0.00789995	0.0645076	0.135374	0.352236	0.0396468	0.350958
n	0.000729433	0.0012563	0.015466	0.00351855	0.00268249	0.00696131	0.0291448	0.00464213	0.00786498	0.331465	0.0216295	0.217027	0.0509428	0.30667
g	0.000269959	0.00040282	0.0033069	0.00610574	0.00292513	0.0124555	0.00992493	0.00538039	0.00542661	0.503747	0.0514796	0.0782973	0.00536196	0.314916
ó	0.000140182	0.000622386	0.00297519	0.0244392	0.00195881	0.00505303	0.00410422	0.00224452	0.00207034	0.48172	0.0519278	0.0960325	0.0233194	0.303392
</S>	2.48552e-05	5.2082e-05	0.000582266	0.000623929	0.000294567	0.00303278	0.00629763	0.00162455	0.00466919	0.291667	0.034564	0.171257	0.0180429	0.467267
