 	le	chauffeur	tourne	le	volant	pour	garer	sa	voiture	</S>
i	0.104545	0.0108641	0.015278	0.079971	0.645802	0.044126	0.063163	0.00339744	0.022208	0.0106452
á	0.0119511	0.0106069	0.0609659	0.206324	0.426198	0.0845882	0.106344	0.00805809	0.0720393	0.0129249
y	0.000864917	0.00134687	0.00964297	0.171511	0.375334	0.267675	0.0874868	0.0245566	0.0128435	0.0487392
i	0.00245618	0.000697839	0.0109439	0.0662399	0.337181	0.345158	0.113546	0.0420592	0.016553	0.0651652
n	0.00182926	0.000470736	0.00185442	0.03459	0.176693	0.336076	0.271915	0.0820003	0.0214618	0.0731099
d	0.00345478	0.00128711	0.00273386	0.0435985	0.434309	0.167479	0.244383	0.0260793	0.0449285	0.0317471
a	0.0012039	0.00113812	0.00238442	0.0163389	0.414091	0.255408	0.21257	0.0129167	0.0264458	0.0575038
m	0.000327297	0.000296312	0.00222766	0.0304381	0.189176	0.192712	0.240831	0.0910978	0.125878	0.127016
í	0.00239447	0.00132442	0.00153265	0.0168829	0.0607114	0.138822	0.0168763	0.0969021	0.0607174	0.603836
k	0.00288008	0.00096815	0.0034184	0.0138566	0.0389039	0.124082	0.243973	0.295236	0.102044	0.174638
a	0.000319611	0.000132341	0.00398926	0.00459603	0.00855522	0.308242	0.207057	0.200185	0.233432	0.0334918
l	0.0034443	0.000976269	0.00525713	0.0135664	0.0104302	0.20586	0.266023	0.219033	0.217374	0.0580362
i	0.000462446	0.000387314	0.00970315	0.00631326	0.0164383	0.206927	0.291378	0.147739	0.124683	0.195969
s	0.000803894	0.000707029	0.00279238	0.0107147	0.00988543	0.0489711	0.164206	0.369154	0.111464	0.281302
a	0.00216536	0.000411207	0.00160932	0.00659381	0.0164433	0.0598956	0.196243	0.162311	0.285376	0.268952
l	0.00946914	0.00115849	0.000603879	0.0048948	0.0082373	0.0303246	0.203271	0.369118	0.0576024	0.31532
ó	0.00869703	0.00539289	0.00950072	0.0141532	0.0296011	0.0464289	0.14338	0.125813	0.356563	0.260471
t	0.00234318	0.000648177	0.00030448	0.00169512	0.00852815	0.0079742	0.021109	0.031134	0.843352	0.0829114
ω	0.000170506	0.000230355	0.00161031	0.0040811	0.0077233	0.0446992	0.0750513	0.198054	0.604862	0.0635184
m	0.000125968	4.33324e-05	0.000342301	0.0010094	0.00331902	0.00968421	0.029132	0.0473802	0.900832	0.00813214
b	0.00140307	0.00115676	0.000875422	0.00310508	0.00815227	0.0351424	0.0166489	0.129731	0.651881	0.151904
í	0.0110643	0.00583017	0.002351	0.0081989	0.0107129	0.0854049	0.0313438	0.101933	0.229489	0.513672
l	0.00879444	0.00100504	0.00189893	0.0030821	0.00165731	0.0185777	0.0170431	0.115616	0.0570693	0.775257
i	0.00825251	0.00154937	0.00314438	0.00477682	0.00794367	0.0304094	0.0762152	0.285358	0.318182	0.264169
</S>	0.00676758	0.00128734	0.00045616	0.00463102	0.00461405	0.0139703	0.0466476	0.251394	0.0197721	0.65046
