 	la	manière	dont	ils	ont	bourré	ma	hotte	de	maïs	me	fait	souffrir	</S>
m	0.00551244	0.0027517	0.00562938	0.00832196	0.0610567	0.0604402	0.247479	0.0440047	0.403304	0.0726248	0.0130355	0.0292161	0.010824	0.0357999
á	0.0126348	0.000705026	0.00274094	0.00258974	0.0827228	0.00738112	0.139859	0.406234	0.219345	0.0260264	0.00780801	0.0187714	0.00455825	0.0686242
s	0.00470769	0.00480806	0.00446589	0.0312512	0.0977162	0.0653193	0.154757	0.116639	0.224616	0.149422	0.0537321	0.0491255	0.0262419	0.0171984
á	0.00695048	0.000642286	0.00170339	0.00129742	0.0155644	0.0205295	0.125747	0.0403037	0.0757834	0.440182	0.237365	0.0226359	0.00271576	0.00857976
n	0.0138749	0.00298367	0.0100072	0.0146401	0.0281895	0.0168952	0.171791	0.0645564	0.318128	0.223552	0.0691264	0.0387032	0.00967367	0.0178782
g	0.00183776	0.00061634	0.00423775	0.00107159	0.00115109	0.00299272	0.0341014	0.00338528	0.0212162	0.498582	0.422538	0.00528734	0.0010842	0.00189837
í	0.000211508	0.000482246	0.00679746	0.00258536	0.00238721	0.00361806	0.0352015	0.0056527	0.0438849	0.473542	0.407801	0.00825019	0.00202608	0.00755964
y	0.001101	0.00160399	0.0038653	0.00326294	0.0102421	0.00553418	0.0786892	0.0175981	0.29653	0.194098	0.114996	0.176859	0.0450364	0.0505839
é	0.126299	0.0489963	0.0448588	0.00198791	0.0232341	0.0127663	0.084417	0.0459949	0.240111	0.189165	0.0905808	0.0608891	0.0169817	0.0137178
e	0.0265677	0.00782054	0.00998494	0.00280942	0.0141201	0.00583513	0.0365681	0.0299812	0.188338	0.127592	0.131987	0.217382	0.082247	0.118767
p	0.000481808	0.00102879	0.00038417	0.00125884	0.0289386	0.0332392	0.0166053	0.00528829	0.0124777	0.0271807	0.0923902	0.291581	0.331703	0.157443
έ	5.00147e-05	0.000516556	7.69896e-05	0.000478615	0.00585041	0.0633495	0.0115239	0.00319856	0.0137871	0.00546458	0.00632769	0.195708	0.438447	0.255221
n	0.00431837	0.00323527	0.00520239	0.0128159	0.0222843	0.0861626	0.199573	0.0154306	0.153256	0.106455	0.0559427	0.134585	0.0745965	0.126142
g	0.00236604	0.00168822	0.00211591	0.0188668	0.0298316	0.0535149	0.1287	0.0140297	0.0818169	0.104438	0.198937	0.217342	0.0968016	0.0495521
á	0.00568127	0.00528774	0.0126549	0.034004	0.0189154	0.0610752	0.165144	0.00930105	0.0948725	0.229011	0.241079	0.0671852	0.0368321	0.0189572
p	0.00196867	0.000979992	0.00117625	0.000550594	0.00131569	0.00338998	0.0177052	0.00554604	0.0315394	0.0436107	0.10102	0.11414	0.324293	0.352765
á	0.00227709	0.00676502	0.00318732	0.00778489	0.00478292	0.0155703	0.0111924	0.000896654	0.0114054	0.00826722	0.0119053	0.106098	0.650436	0.159432
s	0.001016	0.00204426	0.00287004	0.0057951	0.00699963	0.0310601	0.018453	0.0019364	0.0196825	0.0235337	0.0292608	0.0857947	0.604464	0.167089
i	0.000309352	7.10407e-05	4.17642e-05	0.000456469	0.000313642	0.00556382	0.00280088	0.000406133	0.00441998	0.00728149	0.0152736	0.0890946	0.550155	0.323812
i	0.000580044	0.000380715	0.00101032	0.000459882	0.00183867	0.0019653	0.00670625	0.00255267	0.0126407	0.030977	0.0997723	0.179955	0.206859	0.454302
</S>	0.00403479	0.00181021	0.00114709	0.000791984	0.0119556	0.0128694	0.00869159	0.0026863	0.0105196	0.00535911	0.023262	0.121195	0.210596	0.585081
