 	la	manière	dont	cette	huile	s'	est	fondue	il	ya	certainement	quelqu'	un	qui	l'	a	chauffée	</S>
m	0.000537195	0.00211118	0.000660883	0.0127922	0.0323188	0.0376135	0.0290015	0.0401393	0.205598	0.116681	0.230633	0.149225	0.061754	0.0296555	0.015425	0.0100608	0.0182933	0.00750053
o	0.00298665	0.00956587	0.00112006	0.036669	0.0744006	0.0499529	0.02394	0.0370127	0.220659	0.107677	0.227318	0.0620786	0.0497106	0.0128414	0.0122416	0.00500229	0.0555526	0.0112711
r	0.000153301	0.00025206	0.000291931	0.00682628	0.00825041	0.0254011	0.0395013	0.0362648	0.379917	0.0242161	0.0627513	0.255757	0.116841	0.0251858	0.00670862	0.00214337	0.00388412	0.00565394
o	0.00532032	0.00700185	0.00282686	0.00521046	0.00250108	0.0152262	0.0211624	0.0983733	0.109236	0.192719	0.191456	0.129282	0.0935027	0.0616188	0.0407393	0.00327806	0.00747111	0.0130741
á	0.000420536	0.000520021	0.00123198	0.00608216	0.00984085	0.0198123	0.0219794	0.0366941	0.127068	0.145237	0.215018	0.16125	0.106707	0.0780511	0.0386123	0.0149445	0.00488213	0.0116476
k	0.000495493	0.00117681	0.00041432	0.00207141	0.00406229	0.00894474	0.00881329	0.0166496	0.0680974	0.0123048	0.336033	0.232514	0.095287	0.0499577	0.0248434	0.0208614	0.0607059	0.0567669
a	2.24017e-05	3.17166e-05	1.98992e-05	0.000121201	0.000359998	0.0051687	0.0120191	0.0097048	0.0631197	0.00810761	0.00764671	0.442818	0.14105	0.108774	0.0436986	0.00255826	0.0278499	0.126929
n	7.68137e-05	0.000110473	8.91466e-05	0.000345348	0.00131886	0.00672647	0.0135154	0.00941767	0.0745047	0.00987182	0.00764674	0.276183	0.177487	0.138671	0.0520371	0.00851754	0.0145018	0.208978
i	0.00146417	0.000949855	0.000860772	0.00316084	0.00621386	0.0165668	0.0161204	0.0234161	0.0885051	0.0786435	0.115007	0.211451	0.153146	0.120087	0.0597153	0.0203021	0.0184886	0.0659017
m	0.000305917	0.000406956	0.000919524	0.00435926	0.00755244	0.00750697	0.00712937	0.00193109	0.0341868	0.0500129	0.0937903	0.0899589	0.107344	0.160857	0.14521	0.254614	0.00913732	0.0247774
á	0.00314795	0.0108691	0.00172524	0.0233201	0.022966	0.00973715	0.00420698	0.00196909	0.0879017	0.0326903	0.0832563	0.0521959	0.11667	0.0602973	0.114843	0.0438922	0.250885	0.0794266
a	0.000495798	0.00252626	0.00125186	0.00893293	0.0106862	0.00558456	0.00279025	0.00197239	0.018037	0.0332014	0.0552161	0.0398994	0.0788297	0.117446	0.227673	0.166764	0.151675	0.0770182
ó	8.10513e-05	0.000309614	0.000236422	0.00109973	0.00135251	0.00237796	0.00200879	0.00301475	0.00661779	0.00567247	0.0623452	0.0457694	0.0303501	0.0372509	0.069243	0.0796716	0.460155	0.192443
m	0.00016959	0.000415713	0.000231474	0.00193934	0.00223663	0.00555712	0.00530791	0.00425166	0.00752742	0.00214448	0.0274272	0.0231935	0.0135405	0.0115199	0.0232467	0.0226544	0.826687	0.0219493
í	0.000409077	0.000888559	0.000550218	0.00254948	0.00215189	0.00543363	0.00609089	0.0020467	0.0187795	0.0070413	0.0686536	0.0318249	0.0692825	0.0513936	0.138161	0.148391	0.304849	0.141503
á	6.40084e-05	0.000207467	0.000125139	0.00140724	0.00170805	0.00277311	0.00293987	0.00211707	0.0154533	0.00320144	0.0319431	0.0500375	0.0382982	0.0400147	0.0575795	0.0808602	0.442281	0.228989
</S>	0.000385613	0.00115683	0.000707184	0.00246484	0.00448433	0.00447562	0.00345341	0.00195225	0.00787091	0.00256952	0.0337262	0.0317969	0.0162341	0.0243204	0.0761793	0.22239	0.171491	0.394342
