 	ma	grand-mère	a	pris	de	la	latérite	noire	pour	fabriquer	une	casserole	</S>
o	0.00146139	0.00102903	0.0342117	0.145515	0.135291	0.301101	0.256087	0.0672322	0.0137438	0.0252704	0.00546512	0.000567967	0.0130253
b	0.00927479	0.000925105	0.0275368	0.143286	0.135179	0.183615	0.376769	0.089939	0.00890669	0.0159536	0.00311495	3.79282e-05	0.00546242
h	0.00664088	0.00154317	0.0243852	0.0973323	0.107173	0.188067	0.339675	0.122532	0.0421107	0.020678	0.0138446	0.000238938	0.0357792
i	0.00623213	0.0022764	0.0293094	0.0408889	0.116028	0.140074	0.42792	0.150026	0.0301006	0.016313	0.0126036	0.00101047	0.0272172
l	0.0160082	0.00159466	0.0295433	0.00462985	0.0438022	0.102745	0.207368	0.312332	0.170741	0.0411461	0.018214	0.0328271	0.0190498
e	0.00614855	0.00133127	0.00874112	0.00917388	0.0217122	0.0761868	0.275564	0.231829	0.101267	0.0400833	0.0262357	0.00205445	0.199672
m	0.00680252	0.00129673	0.00771329	0.00587787	0.0230752	0.0542919	0.194388	0.365082	0.223705	0.0556094	0.0222256	0.00384387	0.0360885
b	0.000417402	0.000468214	0.00270882	0.0013674	0.00820872	0.024469	0.0618853	0.370435	0.267494	0.0759018	0.014345	0.114057	0.0582417
ω	2.78073e-05	1.99329e-05	0.000424552	0.00125487	0.00600411	0.0442897	0.135871	0.489898	0.199175	0.0622428	0.00685045	0.0453438	0.00859727
ω	9.67786e-06	6.24155e-05	0.000710564	0.00363364	0.00664449	0.0223613	0.169837	0.548243	0.175799	0.0564539	0.0049776	0.000464506	0.0108031
m	0.000607533	0.000111063	0.00137007	0.0009399	0.0061884	0.0120276	0.0799682	0.212215	0.464337	0.132154	0.0633604	0.00273569	0.0239844
í	0.00035607	0.000149196	0.000855979	0.000227213	0.00112279	0.00227856	0.0154567	0.152066	0.340538	0.0764073	0.110148	0.0944405	0.205953
b	0.0010599	0.000381262	0.00251667	0.0013806	0.00417116	0.00621928	0.0221514	0.0815681	0.434568	0.34577	0.0467111	0.022924	0.0305787
ω	0.000321193	0.000111742	0.00393485	0.00192785	0.00421442	0.00677437	0.0716754	0.183824	0.268777	0.424358	0.0147312	0.00692727	0.0124227
n	5.16937e-05	3.99754e-05	0.000413048	0.00114592	0.00372729	0.00977134	0.172444	0.358238	0.154095	0.274915	0.0188329	0.00138453	0.00494182
g	0.00157436	0.00138657	0.00370048	0.00370897	0.00647002	0.0200833	0.125841	0.153068	0.262473	0.250843	0.0738014	0.00222545	0.0948247
ω	0.00168896	0.000508097	0.00192435	0.00116524	0.00420246	0.0129737	0.234357	0.225069	0.251133	0.188462	0.0459761	0.000868342	0.0316709
l	0.0015613	0.000956368	0.00307862	0.00189899	0.00723543	0.00942289	0.0355962	0.0569784	0.264288	0.2422	0.285758	0.0120993	0.078927
á	0.00719555	0.00120489	0.00634849	0.00407976	0.00753969	0.00726465	0.024442	0.0430693	0.250127	0.26515	0.224826	0.0056932	0.15306
m	0.00748301	0.00116653	0.00588605	0.00146509	0.00528466	0.00469998	0.00761395	0.00966032	0.0853592	0.0999878	0.53745	0.175758	0.0581854
b	6.98944e-05	0.000216855	0.00252952	0.000504016	0.00143338	0.00169884	0.00222219	0.0185559	0.078222	0.103612	0.0538144	0.697864	0.0392573
e	2.33457e-05	2.11716e-05	9.49564e-05	0.000132455	0.000499351	0.001854	0.0157699	0.0489295	0.128053	0.204195	0.0445262	0.530415	0.0254865
á	1.50567e-05	6.3106e-05	0.000269765	0.000225919	0.000876901	0.00290207	0.0066015	0.0256803	0.0576366	0.0881345	0.0386011	0.751481	0.0275125
</S>	0.00528991	0.000778112	0.00595527	0.00136623	0.00451626	0.00575527	0.00399299	0.00528	0.0562533	0.0628381	0.315807	0.333234	0.198934
