 	l'	embonpoint	qu'	a	la	chèvre	de	monsieur	oko	cache	sa	grossesse	</S>
ó	0.00135944	0.00282753	0.0173968	0.046469	0.117323	0.688192	0.0293019	0.025241	0.0153175	0.0179236	0.00599396	0.00189506	0.03076
s	0.00767115	0.00293048	0.0221718	0.0234121	0.135437	0.662568	0.0646514	0.0129871	0.00295389	0.0329073	0.00747133	0.000998731	0.0238405
i	0.0233329	0.0436482	0.064826	0.0736072	0.133098	0.348172	0.0516377	0.0775764	0.0780755	0.0103349	0.00959729	0.00673597	0.0793582
y	0.0306444	0.0113159	0.086397	0.0967363	0.0896437	0.0439231	0.413569	0.109944	0.0512108	0.0330882	0.013746	0.00243854	0.0173434
a	0.0228341	0.014693	0.0733769	0.122255	0.33189	0.0208571	0.119283	0.137823	0.0789529	0.00901476	0.0297939	0.023315	0.0159105
d	0.0101426	0.00278443	0.0174578	0.0314164	0.250418	0.00916029	0.0794387	0.375964	0.146568	0.0115396	0.0343018	0.0121381	0.0186706
á	0.00285969	0.00252463	0.00538878	0.0479559	0.128092	0.0159503	0.0650321	0.491717	0.130566	0.0288719	0.00976811	0.0303476	0.040926
o	0.000947416	0.000366976	0.00272568	0.00653201	0.0124276	0.000547198	0.0309081	0.208739	0.458053	0.0547663	0.0513116	0.0456706	0.127004
k	0.00022452	0.00275521	0.00043523	0.00363886	0.0128502	0.00362428	0.00751844	0.0734568	0.739072	0.0577675	0.014988	0.0774028	0.00626669
o	3.25485e-05	0.0015097	0.000124188	0.00137788	0.000675132	8.66671e-05	0.000570379	0.0240658	0.938713	0.0198512	0.00743893	0.00358953	0.00196539
y	5.82589e-05	0.000911189	0.000121528	0.00132753	0.000966246	0.000414812	0.000547211	0.0199136	0.92694	0.0282821	0.00896202	0.00564976	0.00590549
é	0.000597296	0.00186715	0.000309299	0.00217751	0.0139362	0.000666571	0.00639261	0.0420882	0.862558	0.0156497	0.0212843	0.0148275	0.0176455
e	0.00385005	0.0013426	0.0110062	0.0115147	0.01942	0.000905617	0.156951	0.0244156	0.0532266	0.367159	0.278311	0.0252606	0.0466371
b	0.00374131	0.00192041	0.00597681	0.0212917	0.012283	0.0005429	0.025961	0.01731	0.140361	0.22643	0.21836	0.0668537	0.258967
h	0.000449555	0.00100383	0.00294861	0.0217385	0.0089424	0.000461604	0.00946159	0.0286162	0.07637	0.596679	0.133613	0.0150475	0.104668
í	0.000519385	0.000695304	0.00102957	0.00777991	0.00587614	0.000372089	0.00723998	0.0334362	0.0952859	0.627569	0.0852544	0.0149532	0.119989
s	0.000762597	0.000434911	0.00144072	0.00370821	0.00565609	0.000238643	0.0188696	0.0399187	0.169626	0.282891	0.243522	0.0628502	0.170082
á	0.00119987	0.00206403	0.00359204	0.0140252	0.0213496	0.00183675	0.0221463	0.0339056	0.124327	0.0600943	0.147688	0.227363	0.340408
d	0.00766593	0.00195713	0.00448624	0.00325149	0.0358428	0.0014904	0.0129828	0.0137652	0.0286761	0.05585	0.229913	0.499787	0.104332
z	0.000466052	0.000338929	0.00115426	0.00278011	0.00444809	0.00100526	0.0014549	0.00192953	0.00421737	0.0066356	0.0227696	0.829165	0.123635
é	0.0011641	0.000528211	0.00133439	0.00160956	0.0124342	0.00117551	0.00233776	0.00747544	0.0100924	0.00433775	0.0278646	0.897118	0.032528
m	9.40184e-05	4.22676e-05	0.000311603	0.00078914	0.00169935	6.2249e-05	0.00267992	0.0148024	0.06421	0.0651142	0.0761295	0.473881	0.300185
i	0.000892555	0.00035828	0.000939811	0.00103375	0.0118098	0.000711289	0.00749162	0.00380179	0.00575307	0.0463658	0.185184	0.370904	0.364754
</S>	0.000503041	0.00017284	0.000945966	0.00190444	0.00413644	0.000103961	0.00391801	0.001853	0.0167113	0.0714511	0.123884	0.0613876	0.713029
