 	les	enfants	de	cette	femme	jetaient	les	écorces	d'	arachide	dans	la	poubelle	</S>
a	0.000243887	0.000180163	0.0012243	0.000176233	4.47502e-05	0.00440277	0.0102586	0.895902	0.0293818	0.0345678	0.00322519	0.00223988	0.00888749	0.00926555
a	0.000512224	0.000252581	0.000781401	0.000401982	0.000122403	0.00908258	0.023007	0.764133	0.074723	0.0455526	0.0328406	0.0137392	0.00865227	0.0261989
b	0.000993667	0.000180647	0.00653774	0.00288842	3.00998e-05	0.00676676	0.0405702	0.0168661	0.299197	0.0577555	0.305742	0.18788	0.00850142	0.0660907
á	0.0031235	0.00150728	0.032873	0.00252217	5.0678e-05	0.0176358	0.0557531	0.0292238	0.10634	0.00574307	0.320152	0.179912	0.00266818	0.242495
n	0.00428169	0.00192986	0.0144836	0.00377346	0.000124406	0.020185	0.0271997	0.0459134	0.104757	0.0375247	0.265525	0.0992089	0.0811873	0.293907
d	0.0334599	0.0188188	0.0098513	0.0201713	0.00174748	0.00415084	0.0242409	0.00210594	0.0953837	0.184766	0.364145	0.0789546	0.00367563	0.158528
z	0.00204612	0.00327171	0.00273345	0.00665374	0.00243139	0.00103029	0.00690662	0.00642236	0.0260964	0.859897	0.0385636	0.0145473	0.00471718	0.0246825
o	3.4347e-05	4.50222e-05	0.000266583	0.000227139	0.000103383	0.000765571	0.00480799	0.0389972	0.0218545	0.779703	0.0188045	0.0074903	0.0704799	0.0564205
ó	0.000612225	0.000563288	0.0010044	0.00120186	0.000369165	0.00618252	0.0486932	0.0435607	0.0613987	0.387264	0.0719839	0.0223221	0.0545062	0.300338
s	0.00018128	8.72751e-05	0.00193389	0.000481975	8.97559e-06	0.00261412	0.0127889	0.0019688	0.0582506	0.0160612	0.373252	0.254116	0.0208886	0.257365
á	0.000692039	0.000156073	0.00823423	0.00322199	3.70055e-05	0.00609729	0.0126063	0.00227802	0.0394237	0.0332116	0.321253	0.228675	0.139622	0.204491
d	0.00153928	0.000363552	0.00850784	0.0135592	5.5698e-05	0.00207893	0.00528278	0.00525471	0.0212826	0.033482	0.147462	0.235125	0.418364	0.107642
z	0.000503468	0.000266655	0.000874864	0.00269719	0.000473823	0.000271825	0.00062089	0.00178426	0.00260829	0.0792753	0.0749994	0.0171268	0.716737	0.10176
a	0.000121928	6.84308e-05	0.000448762	0.00153446	0.0006925	0.000192672	0.0008221	0.00781476	0.00652081	0.0310823	0.0227505	0.0185628	0.881889	0.0274988
l	0.000120712	1.19545e-05	0.000208244	0.000499063	0.000279257	0.000673967	0.00225653	0.0195468	0.0123182	0.0333896	0.0811703	0.0275457	0.712004	0.109976
a	5.6569e-05	2.18587e-05	0.000255702	0.000328722	0.000116203	0.00164891	0.00375182	0.00793807	0.0123963	0.0272302	0.171854	0.0782839	0.319141	0.376976
l	0.000139794	1.84275e-05	0.00117147	0.00107528	2.79095e-05	0.00196758	0.00534631	0.00261372	0.0243343	0.00885294	0.233987	0.151295	0.155017	0.414154
a	0.000411403	8.38828e-05	0.00198367	0.000947132	6.52664e-05	0.00366965	0.0112328	0.00392793	0.0162477	0.0125481	0.0618074	0.0685534	0.457769	0.360753
</S>	0.000599416	0.000119608	0.00559106	0.00664108	2.93155e-05	0.00158647	0.00468115	0.00271067	0.0211687	0.0140713	0.0860456	0.137518	0.413661	0.305577
