 	maintenant	il	gagne	sa	vie	sans	avoir	besoin	de	personne	</S>
i	0.000193703	0.00104688	0.0119632	0.0217277	0.0173829	0.0673222	0.130152	0.393525	0.102	0.0366378	0.218049
k	0.0019081	0.0019646	0.0026618	0.0073236	0.0159827	0.0163615	0.0813181	0.394364	0.123411	0.0681505	0.286554
á	0.000107668	5.80386e-05	0.0026918	0.00193897	0.00707263	0.0781544	0.0949058	0.536104	0.0858884	0.0764588	0.11662
m	0.00165087	0.000330413	0.0155633	0.00638894	0.00727144	0.0515899	0.0702045	0.558234	0.0407226	0.0926204	0.155424
b	0.00018423	0.000344672	0.00279709	0.00956721	0.024335	0.0486759	0.0598402	0.294378	0.190891	0.199916	0.169071
í	0.0011342	0.00339494	0.00953151	0.016161	0.065433	0.155715	0.0696839	0.250757	0.0349878	0.0961861	0.297015
m	0.00635966	0.00549978	0.0119313	0.0218121	0.0181135	0.0699523	0.122632	0.194697	0.264416	0.11214	0.172447
ó	0.00479791	0.0219945	0.0137896	0.0526168	0.0656488	0.0575674	0.0963074	0.10088	0.161203	0.228715	0.19648
m	0.002501	0.00796199	0.0030621	0.0143357	0.0252558	0.0476947	0.0847752	0.061199	0.368544	0.24375	0.14092
o	0.00118626	0.0144278	0.00336501	0.0307781	0.184104	0.036491	0.0470515	0.0747801	0.0767675	0.382095	0.148953
r	0.000275022	0.000808231	0.000705595	0.00610633	0.136791	0.0427779	0.057916	0.171948	0.175196	0.27138	0.136097
o	0.000879829	0.00221088	0.00105079	0.00950931	0.351534	0.0534066	0.0164068	0.13613	0.0622213	0.224559	0.142091
k	0.000180351	0.000674844	0.0018305	0.00448219	0.018027	0.0250246	0.0250426	0.0975155	0.129528	0.159305	0.53839
a	0.00389984	0.00132258	0.0435681	0.0166496	0.00474258	0.0591422	0.072343	0.066954	0.288148	0.109463	0.333767
á	0.00127355	0.00188319	0.0177997	0.0062927	0.00282257	0.023486	0.0492096	0.105632	0.0869246	0.144546	0.56013
</S>	0.0010843	0.00212219	0.00233256	0.00609123	0.00601929	0.00919358	0.043106	0.0337657	0.220963	0.0511255	0.624196
