 	le	féticheur	lui	avait	tout	expliqué	à	propos	du	pouvoir	mystique	d'	être	invisible	</S>
z	0.00320379	0.00470692	0.0138473	0.073179	0.209452	0.638353	0.0112062	0.00158781	0.0185035	0.00201982	0.00340792	0.00299453	0.000195571	0.00506629	0.0122768
ω	0.0135219	0.0207308	0.0613531	0.0781169	0.20232	0.511467	0.0471371	0.00428571	0.0300116	0.00467969	0.00366044	0.00322513	0.000354091	0.00211876	0.0170178
m	0.015363	0.0197355	0.0902443	0.0410722	0.16322	0.344779	0.123901	0.0134947	0.104087	0.00989398	0.0256844	0.0186371	0.00284087	0.00141466	0.0256326
b	0.0312466	0.0069674	0.0947646	0.0353418	0.0727	0.345677	0.253638	0.0536993	0.0396818	0.00381373	0.0333921	0.00911191	0.00296671	0.000348984	0.0166501
i	0.125463	0.00672835	0.137736	0.0330244	0.0597588	0.221654	0.0930808	0.0578301	0.0634687	0.111172	0.0297694	0.0337342	0.00828211	3.67042e-05	0.0182613
n	0.00906143	0.000143994	0.0693315	0.0586176	0.0387167	0.0236116	0.313826	0.172291	0.130965	0.0195397	0.114872	0.0238359	0.0189156	0.000161999	0.00610984
g	0.0198449	0.00505476	0.0732764	0.17282	0.103866	0.24636	0.158048	0.048031	0.0891471	0.00269744	0.0296843	0.016772	0.0030323	0.00134337	0.0300223
a	0.00134395	0.00604587	0.0129955	0.0366764	0.0759449	0.713712	0.0572999	0.0102564	0.0450056	0.0019911	0.0156203	0.0106134	0.00183094	0.0034232	0.00724082
n	0.0016615	0.00010236	0.0362462	0.071142	0.0663722	0.0663021	0.217906	0.0529109	0.272912	0.00200327	0.131861	0.0423032	0.00780623	0.00353707	0.0269335
g	0.038364	0.00957358	0.0592921	0.0860047	0.0629401	0.116692	0.130509	0.0642119	0.233315	0.00629699	0.0815675	0.0356375	0.00449971	0.00308837	0.0680078
a	0.00242785	0.00453719	0.0150792	0.0442003	0.0778382	0.53686	0.0911131	0.0202587	0.0988572	0.00473561	0.0462653	0.0293354	0.0031165	0.0124994	0.0128761
á	0.000858764	2.95752e-05	0.0252561	0.0332896	0.0347561	0.0270015	0.148811	0.105293	0.20361	0.0104502	0.273464	0.076383	0.0378829	0.00772953	0.0151853
l	0.00106022	0.000125251	0.00363814	0.00824363	0.00394807	0.00167579	0.00592277	0.0337243	0.0619764	0.0129004	0.192547	0.157506	0.109084	0.378965	0.0286826
a	0.000436225	1.58702e-05	0.001532	0.021906	0.00612778	0.00112969	0.00574862	0.0372959	0.0611608	0.00594531	0.167218	0.15037	0.0522592	0.389059	0.0997957
a	0.000304638	0.000171905	0.00452038	0.0366504	0.0354934	0.00855493	0.0247386	0.040277	0.19304	0.0229254	0.0718387	0.123747	0.0645979	0.265213	0.107927
n	0.00119566	5.28612e-05	0.00242409	0.00911384	0.00501279	0.00138607	0.0135959	0.0297267	0.0459674	0.00322814	0.135773	0.261417	0.238151	0.102769	0.150187
á	0.00478742	0.00181226	0.00467476	0.013428	0.0131035	0.0166638	0.0139964	0.0172007	0.0493996	0.00169249	0.0954281	0.313351	0.0581938	0.316835	0.0794331
l	0.000455733	3.54111e-05	0.00132201	0.00461792	0.00317735	0.00128842	0.00908759	0.0216949	0.0211203	0.0027809	0.0906323	0.212111	0.191462	0.14829	0.291924
a	0.00242518	4.36466e-05	0.0023764	0.00944162	0.00815597	0.00207428	0.0113837	0.0332856	0.0379986	0.00315303	0.0945207	0.16611	0.0815541	0.359016	0.18846
w	0.00200277	0.000197815	0.00224095	0.00891212	0.0127382	0.0037873	0.0106485	0.018732	0.0453736	0.00497062	0.0680025	0.162496	0.098553	0.277515	0.28383
a	0.00134134	0.000126532	0.00456265	0.00697001	0.0068814	0.000610694	0.00928807	0.0594268	0.0359287	0.0152192	0.0608896	0.275424	0.408577	0.0654239	0.0493304
ó	0.000237905	1.69187e-05	0.000668903	0.00114048	0.00269737	0.00167616	0.00447341	0.00862751	0.0200249	0.00271953	0.0530877	0.118396	0.141081	0.156445	0.488708
t	0.00304081	0.000346234	0.0100906	0.042175	0.0244322	0.00387907	0.0107556	0.0138568	0.07254	0.00893432	0.048307	0.0619613	0.0498635	0.417126	0.232691
s	0.000211245	9.3777e-05	0.0016996	0.00502014	0.0221687	0.00229112	0.00232247	0.0169779	0.0247131	0.0218514	0.0346003	0.124293	0.111993	0.447854	0.183911
ω	0.000766633	5.21823e-05	0.000694672	0.00219565	0.00584973	0.00192082	0.00297251	0.018229	0.011636	0.0238912	0.0379519	0.169173	0.173634	0.44695	0.104082
</S>	0.000267675	2.26647e-05	0.00084364	0.00140559	0.0022056	0.00058584	0.00444995	0.0115048	0.0140789	0.00316309	0.0344124	0.119006	0.086367	0.0361574	0.685529
