 	il	n'	y	a	pas	assez	de	travailleurs	pour	déplacer	cet	arbre	abattu	</S>
s	0.00256952	0.00102754	0.00463265	0.0105165	0.0529655	0.0548934	0.0477636	0.00223252	0.132098	0.170768	0.188123	0.196126	0.0638379	0.0724447
ε	0.000376356	0.00124966	0.00418735	0.00398199	0.0123502	0.0146142	0.021311	0.00777954	0.0503013	0.344949	0.347736	0.0692839	0.0358809	0.0859979
l	0.000381859	0.000422131	0.00324887	0.00462187	0.0205042	0.0261564	0.0313325	0.00642798	0.0476417	0.193381	0.343046	0.150311	0.0301239	0.1424
á	0.00228239	0.00329867	0.00545708	0.00720477	0.0103835	0.00924768	0.0145201	0.0162106	0.048315	0.267231	0.290503	0.077841	0.0523343	0.19517
i	0.0023638	0.00124353	0.00730974	0.0165208	0.0315359	0.0277245	0.0242404	0.0194239	0.0392772	0.154735	0.318286	0.167178	0.0693886	0.120772
b	0.000883428	0.00632909	0.00623282	0.0124792	0.0147059	0.00930975	0.0148031	0.0288219	0.0652707	0.101115	0.160221	0.101073	0.301468	0.177287
v	0.00041449	0.00563819	0.00251218	0.00737285	0.00708543	0.00504525	0.0086176	0.0141168	0.0686895	0.0608614	0.0899246	0.48836	0.180914	0.0604477
ú	0.000245016	0.0023858	0.00173436	0.002955	0.00855136	0.00432467	0.00642448	0.00468647	0.0401685	0.0918239	0.100609	0.440127	0.212039	0.083926
a	0.000498611	0.002258	0.0112204	0.00763455	0.0842421	0.161978	0.135632	0.0114036	0.0197294	0.210918	0.106165	0.124187	0.0768831	0.0472502
l	0.000267567	0.000366584	0.00189951	0.00387707	0.012598	0.00930026	0.00687338	0.000583722	0.0267097	0.0568955	0.169469	0.267163	0.00866457	0.435332
í	0.00464498	0.00563644	0.00796268	0.010345	0.0205989	0.0151467	0.0144853	0.0048759	0.0251747	0.109866	0.13645	0.101213	0.0396309	0.503969
í	0.00193388	0.00123091	0.00669046	0.00942585	0.0225456	0.0148526	0.0137268	0.00465662	0.0198627	0.0791838	0.165545	0.141586	0.0648006	0.45396
d	0.00107223	0.00903003	0.0138978	0.0167963	0.0290693	0.0160584	0.0208773	0.0171114	0.0657707	0.0718422	0.15573	0.190142	0.032931	0.35967
í	0.000281095	0.00203178	0.00209922	0.00331931	0.00940157	0.010029	0.00660045	0.0156142	0.0281151	0.103171	0.201209	0.0625752	0.0437142	0.511839
b	0.000147746	0.000282747	0.00184787	0.00200982	0.00692235	0.00572012	0.00476292	0.00178489	0.00930012	0.0528153	0.119493	0.142266	0.00987282	0.642774
ω	0.00121786	0.00436996	0.00612119	0.0159742	0.0249616	0.0170997	0.0233982	0.00958402	0.0150266	0.110868	0.180825	0.275095	0.139678	0.175781
d	5.06024e-05	0.000203056	0.000996752	0.00111513	0.00382268	0.00250067	0.00203361	0.00107102	0.0192622	0.0787089	0.132305	0.128839	0.176848	0.452243
í	0.000160897	0.00130592	0.00240886	0.00401515	0.0139664	0.0116072	0.00622008	0.00163614	0.0215331	0.0862801	0.189686	0.119182	0.0563792	0.485619
</S>	0.00028094	0.000424587	0.0022203	0.00238847	0.0128859	0.00983531	0.00510235	0.00116248	0.0110511	0.0266517	0.0552049	0.0657814	0.00863936	0.798371
