 	les	jeunes	ont	déjà	troué	le	barrage	que	j'	avais	construit	dans	le	ruisseau	</S>
i	0.313257	0.252124	0.0583987	0.0649897	0.0727133	0.0610173	0.00523218	0.012539	0.0166201	0.00326757	0.0112097	0.016655	0.0117184	0.0227673	0.0774908
á	0.0329113	0.0674423	0.407466	0.283621	0.103607	0.0297642	0.0107581	0.0169591	0.0157379	0.00753377	0.00269849	0.00968252	0.00540298	0.00118375	0.00523133
m	0.00186118	0.00201332	0.0169286	0.358022	0.499153	0.0504406	0.00669267	0.00297657	0.00418846	0.0162396	0.0175856	0.0102727	0.00500619	0.00126467	0.00735445
i	0.0025046	0.00110253	0.0102971	0.208418	0.329664	0.258263	0.0742216	0.0295979	0.00849097	0.0277197	0.00966438	0.01302	0.00820021	0.00169122	0.017145
s	0.000712761	0.000205402	0.00139746	0.275281	0.615268	0.0597005	0.013564	0.00376736	0.00146468	0.00822458	0.0134799	0.00210116	0.00110223	0.000449742	0.0032816
á	0.00164225	0.000179514	0.000309815	0.154556	0.73711	0.0717299	0.00295068	0.00217449	0.00697211	0.00232046	0.0105811	0.00212883	0.000799728	0.000437686	0.00610763
á	0.0122657	0.0011397	0.00729558	0.13438	0.252364	0.159993	0.0248146	0.0575892	0.0383458	0.0330863	0.0158397	0.0325695	0.0174652	0.00445721	0.208395
o	0.00323736	0.00258429	0.00897341	0.0196346	0.0585391	0.285232	0.171586	0.27664	0.105467	0.0302646	0.0124542	0.0109515	0.00902627	0.00325412	0.00215559
k	0.00396514	0.000612679	0.000386773	0.0106515	0.119899	0.492924	0.256246	0.0366566	0.00558513	0.021518	0.0358312	0.00575683	0.00156328	0.0044347	0.00396881
ú	0.0002351	0.000146324	0.000154545	0.00340094	0.0126202	0.27411	0.519892	0.0225923	0.000963745	0.0262881	0.0959977	0.0097299	0.00518284	0.0168218	0.0118651
b	0.00100475	0.00220843	0.000927115	0.00646278	0.0154506	0.513805	0.327884	0.0167527	0.00125894	0.0230825	0.0337232	0.00990272	0.00731522	0.0115683	0.0286535
h	0.270724	0.0735316	0.00616099	0.00988455	0.0162072	0.135937	0.214876	0.0733071	0.0027865	0.0946286	0.0114146	0.0316874	0.0122516	0.0171589	0.0294441
á	0.00527532	0.0103734	0.00315279	0.00580313	0.00647167	0.19945	0.406694	0.140596	0.00431279	0.0433811	0.0247954	0.0636398	0.0181011	0.00993147	0.0580217
o	0.00274009	0.000759026	0.00264082	0.00204292	0.00572701	0.0485792	0.0395621	0.451722	0.116818	0.180203	0.0577728	0.0619695	0.0133709	0.00300142	0.0130907
k	0.00145184	0.000607538	0.00177474	0.00573681	0.00695933	0.0169379	0.00989929	0.0350123	0.0369437	0.456444	0.257363	0.110544	0.0264609	0.0245432	0.00932122
y	4.22779e-05	7.98828e-05	9.83667e-05	0.00104925	0.00139926	0.0159378	0.015716	0.00577505	0.00125289	0.0997078	0.752461	0.0315094	0.0161826	0.0444422	0.0143463
ε	0.000551058	0.000963411	0.000309387	0.000920815	0.000706511	0.0174782	0.0258649	0.0116839	0.00194722	0.0541227	0.758627	0.0199411	0.0137024	0.0717007	0.0214805
s	0.000540516	0.00030746	0.000207412	0.000351019	0.0015937	0.0524151	0.0390047	0.0960127	0.00637319	0.241939	0.227265	0.130288	0.0531294	0.0424652	0.108108
í	0.00185647	0.00116786	0.000227256	0.000263107	0.000658362	0.0238898	0.0547093	0.0639839	0.00514534	0.124676	0.242285	0.0768334	0.069521	0.135407	0.199376
m	0.00249963	0.000935482	0.00210368	0.00122494	0.000929687	0.00537754	0.00746621	0.0692162	0.0842468	0.0902155	0.0458569	0.358507	0.165996	0.0666127	0.0988115
ó	0.0238799	0.00433349	0.00715301	0.00159373	0.00185623	0.0193816	0.0122234	0.0697587	0.0128456	0.0376883	0.00856872	0.147556	0.199087	0.094087	0.359987
ó	0.00143833	0.000671293	0.00210429	0.000793679	0.00138614	0.00557284	0.00460815	0.0252317	0.0230357	0.0460587	0.0196022	0.135999	0.204726	0.467773	0.0609993
k	0.000857569	0.000237579	0.00102546	0.00625396	0.00653735	0.00604258	0.00421157	0.00473187	0.00589367	0.0233496	0.0724707	0.270519	0.225792	0.295918	0.0761585
a	3.67291e-05	7.89216e-05	0.00022883	0.00235841	0.00190961	0.0130631	0.00492009	0.00309622	0.000513115	0.0417896	0.223878	0.110904	0.151111	0.35941	0.0867011
n	0.000622008	0.000434685	0.000241756	0.000532772	0.000323474	0.00396361	0.0121336	0.00235595	0.00088226	0.0203578	0.220743	0.0699419	0.0937277	0.496586	0.0771535
g	0.000912021	0.000396744	0.000273172	0.00121736	0.00173273	0.0132204	0.011718	0.00803329	0.00171172	0.0860535	0.332935	0.103441	0.0929172	0.126803	0.218634
í	0.00371431	0.00850407	0.00336155	0.000769423	0.00260085	0.019241	0.0302892	0.045576	0.0239985	0.0537183	0.303814	0.0278549	0.0396361	0.213171	0.223751
n	0.00243533	0.00145883	0.00158486	0.000897827	0.00118953	0.00560339	0.00521299	0.0167312	0.00794313	0.0243823	0.0173581	0.118722	0.21048	0.196999	0.389002
g	0.0310375	0.0116633	0.00185433	0.00134284	0.00447085	0.0119693	0.00346115	0.0130306	0.0704031	0.0135576	0.0191092	0.0471544	0.150412	0.393561	0.226974
á	0.00707911	0.0128251	0.000532982	0.000480632	0.00358641	0.00267284	0.000641489	0.00367685	0.535655	0.00511546	0.0156964	0.0201212	0.0487371	0.188611	0.154569
</S>	0.000346941	0.00011524	0.000331947	9.97266e-05	0.000175154	0.00242359	0.00365976	0.0103831	0.00478697	0.00623184	0.00606297	0.0483214	0.133404	0.414554	0.369103
