 	c'	est	par	un	anneau	que	cette	femme	a	porté	au	doigt	que	j'	ai	su	qu'	elle	est	mariée	</S>
á	0.0278714	0.0209726	0.0982691	0.227086	0.125523	0.0919782	0.0415239	0.00260704	0.0161096	0.00228693	0.015713	0.0179455	0.076997	0.0402575	0.0572357	0.0103493	0.0462911	0.0454006	0.00635099	0.00100213	0.0282297
r	0.0110396	0.0168578	0.0877047	0.140676	0.319821	0.186399	0.0764643	0.0534306	0.0168677	0.00815825	0.00580333	0.00582738	0.00703314	0.00710885	0.00844317	0.00304306	0.00621255	0.00809382	0.00534557	0.000390954	0.0252792
e	0.016315	0.0157523	0.0816843	0.151144	0.487645	0.087378	0.0367816	0.00916049	0.00913586	0.00468748	0.00506586	0.00460876	0.00793202	0.039088	0.0158518	0.00155283	0.00136196	0.00325873	0.000908091	0.000421432	0.0202668
w	0.00286284	0.00975616	0.0536116	0.144909	0.14237	0.23514	0.208092	0.114442	0.0514608	0.014259	0.00443894	0.00291791	0.00257993	0.00142459	0.00294446	0.00149245	0.000925126	0.00128498	0.00204993	0.000322944	0.00271573
a	0.00437077	0.0136393	0.122722	0.209204	0.132903	0.166197	0.0916709	0.0250016	0.0844669	0.00629737	0.0226556	0.0156323	0.0173627	0.00659077	0.0157248	0.0102551	0.0197922	0.0216418	0.00450747	0.00109204	0.008272
a	0.00340169	0.00337333	0.0313482	0.0948264	0.051517	0.252605	0.274361	0.101656	0.0813713	0.0100568	0.00861426	0.00692992	0.00851445	0.00379583	0.00970458	0.00691828	0.0117949	0.0115941	0.0139337	0.000958733	0.0127243
d	0.00251848	0.0055465	0.017416	0.0154217	0.0111726	0.173339	0.0781655	0.0398706	0.251479	0.285226	0.0485802	0.0104754	0.00168791	0.00202157	0.00311291	0.00625001	0.00332218	0.0112831	0.0135558	0.00091806	0.0186379
í	0.00591557	0.00323739	0.0129231	0.0166556	0.00894323	0.253328	0.177277	0.0423773	0.211704	0.122212	0.0579057	0.0355052	0.00512068	0.000506393	0.00244239	0.005702	0.00217752	0.00611091	0.00594893	0.00103025	0.0229772
o	0.00303509	0.00164733	0.0094677	0.0370767	0.0163079	0.119419	0.285369	0.0424263	0.178934	0.150423	0.0451093	0.0234331	0.0113538	0.00279121	0.0072823	0.00685319	0.0054009	0.00657247	0.0205498	0.00386854	0.0226788
y	0.00129667	0.00597721	0.00539489	0.00386966	0.00362276	0.0252119	0.0345979	0.0187155	0.0440544	0.756098	0.0706796	0.0132942	0.0014195	0.000363821	0.000388203	0.00840391	0.000651694	0.000703496	0.000476598	0.00271609	0.00206383
ú	0.00162705	0.00393033	0.0163749	0.0262855	0.0431431	0.0747488	0.262775	0.0734877	0.0721801	0.327495	0.0423733	0.0154508	0.00220006	0.00316271	0.00157736	0.00366666	0.000367956	0.00131852	0.00110684	0.0100207	0.0167074
r	0.00804824	0.00223275	0.0116187	0.0510116	0.00870475	0.0220735	0.257174	0.00319332	0.0601462	0.0511153	0.0465988	0.0158738	0.00776327	0.00325689	0.00484001	0.0303963	0.00668031	0.00734838	0.0121088	0.0407991	0.349016
u	0.00204333	0.00288572	0.0277168	0.125756	0.0164125	0.0572929	0.158813	0.00257141	0.173556	0.0526858	0.102727	0.032246	0.0382282	0.00882928	0.0148056	0.0149202	0.0213751	0.0372284	0.0240032	0.0103036	0.0755996
y	0.000337986	0.000628132	0.00623951	0.0370018	0.0107751	0.105285	0.0908757	0.0142059	0.232373	0.137823	0.215768	0.020524	0.0446233	0.0167738	0.0142765	0.00554843	0.0108956	0.00608576	0.0117743	0.000376812	0.0178088
i	0.00442109	0.00434531	0.0151313	0.0287057	0.0199783	0.116307	0.166269	0.0237317	0.186441	0.0323201	0.149924	0.0950219	0.064904	0.0135825	0.0120007	0.0192518	0.0101468	0.00613808	0.00430507	0.00809886	0.0189773
b	0.00153899	0.00173478	0.00637507	0.0249764	0.00778903	0.119996	0.339783	0.0143488	0.112831	0.0103501	0.12093	0.0516856	0.114238	0.020295	0.0185882	0.0111211	0.00840132	0.00367331	0.00367998	0.00212392	0.00554036
á	0.000797285	0.00636817	0.0104033	0.0232158	0.00505586	0.278942	0.102301	0.00344589	0.0253487	0.0695619	0.123024	0.205922	0.0709715	0.00367667	0.00974487	0.0386316	0.00254912	0.00441943	0.00154195	0.00295729	0.0111216
a	0.000828557	0.00484428	0.0132038	0.0341381	0.0210683	0.277654	0.14626	0.0106938	0.0365138	0.0643126	0.109744	0.0673054	0.0529617	0.0229343	0.0142927	0.0283275	0.00838709	0.0255882	0.00472209	0.00074656	0.0554737
m	0.000226875	0.00031989	0.00106784	0.00185366	0.0004522	0.00930705	0.00425819	0.00055289	0.0122215	0.0209177	0.247642	0.17765	0.150862	0.0282393	0.0211964	0.116559	0.0660298	0.0484369	0.0274534	0.00243121	0.0623212
í	0.00379661	0.00362567	0.0130986	0.0124219	0.00133033	0.0234255	0.0137053	0.000730759	0.0110174	0.0021576	0.19073	0.30427	0.12941	0.0139714	0.0221337	0.114047	0.0332169	0.0282044	0.0142795	0.00175662	0.0626712
b	0.000477108	0.000855054	0.00285004	0.00746542	0.00210559	0.0183576	0.0268506	0.00119391	0.0117845	0.00629574	0.0644266	0.221214	0.161597	0.0556644	0.0403579	0.286499	0.0301433	0.0179914	0.0166956	0.004445	0.0227312
h	0.000631003	0.00476193	0.00502218	0.00779262	0.000611549	0.0216855	0.010254	0.000253173	0.00313198	0.00580759	0.0560512	0.636938	0.068573	0.00537856	0.0132559	0.112201	0.0101883	0.0122531	0.00602798	0.00478534	0.0143964
a	7.02452e-05	0.000215941	0.000771554	0.00206207	0.000583684	0.0132727	0.00382999	6.98555e-05	0.00415379	0.0191734	0.0933443	0.483265	0.108576	0.0120246	0.0124617	0.148239	0.0129717	0.0154463	0.00361578	0.00139049	0.0644613
e	0.000471541	0.000458355	0.00101553	0.00441886	0.00189778	0.0111147	0.0202529	5.45304e-05	0.00327103	0.00617089	0.0827581	0.223907	0.36743	0.0224505	0.0273084	0.102575	0.0554574	0.0197581	0.00857972	0.0025565	0.0380937
l	0.000453193	0.000389348	0.00100219	0.00157841	0.000301546	0.00399219	0.00219072	0.000173145	0.00321334	0.00507871	0.0549189	0.122573	0.101153	0.0362145	0.0484824	0.249614	0.148907	0.0711526	0.0751607	0.003539	0.0699124
í	0.000789349	0.00117494	0.00191233	0.00246933	0.00160301	0.0128914	0.00473889	0.000473653	0.00477849	0.0260161	0.0670535	0.198881	0.0887693	0.0466824	0.0530218	0.162404	0.0512334	0.0543401	0.022782	0.00809612	0.189889
í	9.74133e-05	0.000195514	0.000584945	0.00194644	0.00124209	0.00632609	0.010767	0.000467296	0.00355181	0.00316688	0.0171023	0.101499	0.186691	0.113804	0.148326	0.136897	0.0937555	0.0613046	0.0357125	0.00710473	0.0694573
l	0.00115587	0.00140333	0.00215955	0.0017163	0.000409671	0.00603748	0.00388965	0.00120557	0.00601181	0.0309557	0.0468705	0.0705812	0.0426178	0.0463655	0.0780782	0.0988542	0.0911676	0.0960321	0.261214	0.00757774	0.105696
á	0.000401643	0.00133913	0.00277562	0.00217129	0.000869006	0.00799383	0.0053881	0.000458225	0.00504999	0.0338834	0.0479095	0.190529	0.0357518	0.0399024	0.037691	0.158047	0.0194798	0.0591575	0.048771	0.0205876	0.281843
r	0.000122997	0.000294643	0.00112529	0.00344287	0.00186476	0.00952347	0.0110252	0.000353813	0.00348394	0.00132579	0.0102096	0.0692034	0.12185	0.115945	0.230961	0.0448918	0.0653263	0.122574	0.0994512	0.0176249	0.0694
í	0.000734972	0.00193871	0.00282281	0.00712969	0.000427587	0.0103211	0.00946653	7.82701e-05	0.00110645	0.0019786	0.01843	0.226049	0.170518	0.0785263	0.133829	0.0970594	0.0400244	0.0685856	0.0522424	0.0106803	0.0680507
w	0.000120895	0.000185137	0.000472432	0.00136481	0.00102082	0.0074121	0.00464294	0.000295678	0.00145542	0.00133329	0.00832752	0.098366	0.149617	0.104156	0.134371	0.0937996	0.110229	0.167411	0.0342386	0.00710923	0.0740728
a	0.000493467	0.000504102	0.000813376	0.00170711	0.000323339	0.00478697	0.00125276	9.5472e-05	0.00216086	0.000538999	0.00515023	0.016664	0.093443	0.0723568	0.121639	0.055936	0.171834	0.264441	0.046014	0.00298245	0.136863
m	0.000114428	0.000120111	0.000242039	0.000653082	0.000237271	0.000860895	0.00143508	0.000133171	0.000790894	0.000571857	0.00210499	0.00996915	0.0553441	0.0608227	0.178148	0.0447657	0.186263	0.143511	0.150256	0.0117043	0.151952
ó	0.00145112	0.00232054	0.00618875	0.00979568	0.000734469	0.00369261	0.0156367	0.00092977	0.00337158	0.000289204	0.0259076	0.0795648	0.0762398	0.0244788	0.046457	0.252877	0.0801539	0.10646	0.126355	0.0209554	0.11614
o	0.000108814	0.00010592	0.000489439	0.00154018	0.000555383	0.00239827	0.00307019	0.000106721	0.00297542	0.000753484	0.0107201	0.0327597	0.0624794	0.0527018	0.106599	0.12108	0.0681331	0.0653286	0.154796	0.224503	0.0887957
s	5.85396e-05	0.000242289	0.000667956	0.000756646	0.000219009	0.00190972	0.00198247	7.91529e-05	0.00143131	0.00698732	0.0147603	0.0227577	0.00766168	0.00691512	0.0209168	0.125118	0.0280792	0.0640739	0.200353	0.137875	0.357155
a	0.000185931	0.000251941	0.00143655	0.00180641	0.000700653	0.00287173	0.00702425	0.000190992	0.00439887	0.00835382	0.0254564	0.0822593	0.00786427	0.007305	0.0120063	0.0327352	0.00281351	0.0185406	0.0685635	0.569423	0.145812
b	4.15568e-05	2.82926e-05	0.000215281	0.000378356	0.000300617	0.000596877	0.00181308	5.05857e-05	0.00115064	0.00132367	0.0158733	0.0559952	0.0113468	0.00250068	0.0110273	0.0444398	0.00941219	0.0192883	0.0679199	0.483047	0.27325
h	5.31096e-05	0.000117129	0.000334717	0.00062307	0.00010124	0.00206267	0.00112287	8.11364e-06	0.00034469	0.000991213	0.00515132	0.0230448	0.0360507	0.00479328	0.0478869	0.0335769	0.0756899	0.142982	0.134311	0.127698	0.363057
i	0.000265758	0.000154982	0.0007217	0.00284451	0.000694046	0.0013883	0.00163806	8.33215e-06	0.000458144	0.00357747	0.0106128	0.0664633	0.0744765	0.00762018	0.0115087	0.116353	0.0565614	0.0418037	0.00780413	0.1817	0.413344
</S>	0.000133187	0.000139868	0.000484745	0.0014081	0.000206944	0.00115977	0.00143772	2.38062e-05	0.000699788	0.000565088	0.00667536	0.0130371	0.0318519	0.00726142	0.0424116	0.047949	0.0925005	0.107807	0.0820532	0.0784945	0.4837
