 	tout	le	bois	de	chauffe	que	j'	ai	acheté	est	déjà	rongé	par	les	termites	</S>
e	0.000621131	0.00130498	0.00280031	0.0103117	0.000548144	0.00654181	0.0136823	0.0257271	0.00157643	0.0995938	0.0978606	0.125478	0.199462	0.142209	0.0915382	0.180744
i	0.000773814	0.000594345	0.00274026	0.00303175	0.000523728	0.00297696	0.00195783	0.00399025	0.000741174	0.0509014	0.0624165	0.127353	0.249894	0.31749	0.0653969	0.109217
p	0.000420062	0.00045956	0.00118778	0.00048209	0.000584506	0.000764816	0.00055662	0.00107322	0.000279773	0.0304051	0.0367726	0.0552124	0.188253	0.256355	0.0970791	0.330114
f	0.000379831	0.00113319	0.00510711	0.00210189	0.00430606	0.000464682	0.000114662	0.00045971	9.59778e-05	0.00574416	0.00884616	0.53185	0.0808836	0.0862853	0.130072	0.142156
u	0.000352706	0.000791999	0.00227092	0.00226764	0.00350384	0.000372746	4.32022e-05	0.000119042	5.4905e-05	0.00697734	0.00653373	0.45707	0.0848755	0.0923405	0.198528	0.143898
l	0.000660786	0.000377622	0.00121901	0.000963252	0.00321125	0.00114535	0.000620827	0.000936674	9.32439e-05	0.0186709	0.00797424	0.323106	0.144119	0.132312	0.0948383	0.269751
u	0.000226385	0.000274482	0.000888202	0.000837161	0.000588878	0.000507603	0.000352714	0.000456366	1.13207e-05	0.00807957	0.00890248	0.0846862	0.120939	0.422963	0.227221	0.123066
p	0.000340486	0.000340963	0.00108021	0.00105045	0.00023115	0.00142628	0.000450499	0.000578939	1.94814e-05	0.0144513	0.00808039	0.00923003	0.135749	0.221783	0.0262196	0.578968
f	0.00851465	0.00865556	0.0362407	0.0181557	0.0277038	0.00966663	0.00414892	0.00490502	0.000153879	0.00862607	0.00667612	0.184847	0.0527902	0.125699	0.214961	0.288256
u	0.00185872	0.00284068	0.0113871	0.00842854	0.0247331	0.00204878	0.000240795	0.000338128	0.000173551	0.00728697	0.00725186	0.31691	0.0690709	0.0841276	0.231062	0.232242
s	0.0008891	0.000569984	0.00168826	0.00235341	0.00427916	0.000729187	0.000349405	0.000541904	0.000139479	0.0160224	0.0109921	0.293186	0.0757036	0.0796673	0.112125	0.400764
u	0.00279656	0.00311645	0.00386853	0.00464603	0.00140018	0.00162577	0.0030875	0.00216617	1.69277e-05	0.00867239	0.00516374	0.234384	0.0703755	0.21705	0.266386	0.175244
</S>	0.00166588	0.00106243	0.00305353	0.00127082	0.000868235	0.00352975	0.00170875	0.00167498	0.000169701	0.022581	0.0149921	0.00461164	0.103075	0.190881	0.0133674	0.635488
