 	la	mère	enfonçait	son	doigt	dans	la	bouche	de	l'	enfant	pour	le	faire	vomir	</S>
á	0.00486625	3.22441e-05	0.845499	0.0480371	0.00850502	0.00902395	0.00785092	0.00663166	0.0116385	0.00701856	0.00399124	0.0128978	0.0109833	0.00509252	0.000259694	0.0176723
m	0.124126	0.000283777	0.261586	0.345012	0.0553957	0.0799416	0.0235237	0.00343338	0.0177592	0.00877744	0.0342095	0.0139982	0.00692787	0.00579227	0.000313417	0.0189201
w	0.0129838	4.14243e-05	0.00728815	0.317526	0.189283	0.124199	0.0619967	0.00708157	0.0181467	0.0124385	0.211679	0.00803336	0.00618272	0.00584792	0.00010242	0.0171698
á	0.0159864	0.000840234	0.0286513	0.127975	0.103151	0.0459992	0.0587262	0.0159508	0.0287084	0.0303228	0.465268	0.0135534	0.0156365	0.00444991	0.00103847	0.0437424
n	0.35366	0.00023854	0.00875964	0.0976253	0.0202766	0.038889	0.0309662	0.00493653	0.0108357	0.0119134	0.390986	0.00807808	0.00633403	0.0046409	0.000145051	0.0117145
a	0.0803354	0.0102704	0.0185175	0.123932	0.0668519	0.0460854	0.0368412	0.0252087	0.0268452	0.0279309	0.417936	0.0130576	0.0120059	0.0105274	0.000467437	0.0831868
o	0.0107676	0.000331905	0.0497205	0.299859	0.22125	0.182643	0.0750414	0.0465711	0.0276459	0.0262997	0.00853593	0.0123857	0.0106948	0.0119672	0.00228819	0.0139979
s	0.000155737	0.000153716	0.0280597	0.137113	0.595456	0.118345	0.0620674	0.0250342	0.0128093	0.00641283	0.00111941	0.00411557	0.00208018	0.0013384	0.00258594	0.00315289
a	0.000152825	9.80319e-05	0.0049437	0.044026	0.806377	0.0921201	0.020186	0.00661292	0.0082501	0.00422949	0.00032065	0.00073125	0.000869263	0.000309589	0.00313764	0.00763566
b	0.000262752	8.61817e-05	0.00971126	0.096372	0.505828	0.258746	0.0482951	0.0113829	0.0207672	0.00728619	0.00118989	0.00156204	0.00189126	0.00132305	0.00368344	0.0316124
h	0.000535009	3.40887e-05	0.0508113	0.219249	0.165926	0.148682	0.10894	0.0683609	0.0930372	0.0349468	0.003043	0.0356258	0.0259848	0.00673178	0.00144805	0.0366449
i	0.000803869	8.95879e-06	0.0698685	0.0998951	0.0720215	0.16637	0.155445	0.0371833	0.0798162	0.0511835	0.0114173	0.0363193	0.0359992	0.0168257	0.00851107	0.158331
s	0.000316331	3.04457e-06	0.00982737	0.0545668	0.0784174	0.302463	0.261305	0.0620055	0.104253	0.0521703	0.0098194	0.0221755	0.0112281	0.00587271	0.0004341	0.0251431
ó	0.000369694	3.49475e-06	0.0052492	0.0336009	0.123915	0.277008	0.239712	0.0905899	0.0867599	0.0719682	0.0111593	0.0221008	0.0140164	0.00486757	0.00191896	0.0167603
n	0.00154925	0.000188272	0.00214148	0.0199464	0.060685	0.177603	0.24622	0.18097	0.0892405	0.130078	0.0289701	0.0237173	0.0106932	0.00724443	0.00638569	0.0143667
ω	0.0037325	0.000852945	0.00139329	0.0128937	0.043909	0.0832791	0.0954736	0.541721	0.033666	0.0921044	0.0593779	0.00999643	0.00812361	0.00528851	0.000450275	0.00773848
ω	0.000621099	0.000115959	0.000592898	0.0168764	0.0711094	0.0598403	0.122185	0.489477	0.0669111	0.0969687	0.0436677	0.010393	0.00605615	0.00430182	0.0012568	0.00962707
b	0.00205384	2.5274e-05	0.0116436	0.0297062	0.0299128	0.0881498	0.125806	0.108433	0.221751	0.171709	0.0237235	0.108269	0.0410202	0.0214671	0.00648131	0.00984853
a	0.00037113	4.25476e-05	0.0225521	0.0293505	0.0653606	0.0550629	0.101775	0.0249723	0.136297	0.152036	0.0417486	0.197541	0.117316	0.0255802	0.00759894	0.0223957
á	0.000520887	0.000348057	0.00429792	0.00633384	0.0266856	0.0534125	0.0944596	0.0586289	0.124971	0.159458	0.15452	0.139661	0.0458391	0.0113783	0.00364543	0.11584
á	0.00198307	0.000102268	0.00177922	0.00430726	0.0092883	0.042291	0.0333227	0.0385532	0.212735	0.120103	0.120222	0.181663	0.0664613	0.0870764	0.0149025	0.0652104
l	0.00029173	0.00026531	0.0129127	0.0114041	0.0336868	0.0223155	0.0162831	0.018152	0.0740295	0.0587445	0.0198208	0.159857	0.138165	0.129232	0.249407	0.0554322
ó	2.41434e-05	8.71593e-06	0.00339795	0.0040622	0.0360802	0.0228477	0.0191689	0.0215672	0.0754117	0.0816598	0.00918111	0.080574	0.107124	0.0588345	0.286546	0.193512
a	1.00213e-05	8.7493e-07	0.00102479	0.0040017	0.0225439	0.0201595	0.0181417	0.0180187	0.0527465	0.0732682	0.00825037	0.0825662	0.128541	0.0678177	0.410184	0.0927246
</S>	0.000121064	2.30632e-06	0.000468797	0.00232966	0.00238389	0.00942646	0.0102763	0.0124241	0.0510585	0.0637824	0.0456481	0.157244	0.201622	0.21856	0.100894	0.123757
