 	avec	la	manière	dont	il	se	bat	pour	creuser	le	trou	il	n'	ira	pas	loin	</S>
á	0.00695022	0.0244127	0.063042	0.119773	0.28769	0.137275	0.161107	0.0795143	0.0308063	0.0390412	0.00652853	0.0051878	0.00276746	0.00130075	0.00243262	0.00501905	0.0271521
w	0.00150089	0.0023204	0.00762302	0.0484736	0.401648	0.0326344	0.073748	0.241009	0.108818	0.0400094	0.0159382	0.00942372	0.00465813	0.00352199	0.00198141	0.00151608	0.00517632
a	0.00204937	0.00628841	0.00871827	0.00704692	0.356895	0.124165	0.0512954	0.122448	0.157267	0.0522603	0.0465274	0.0356549	0.00957228	0.00508811	0.00388533	0.0018435	0.00899427
l	0.000256008	0.00108681	0.00421686	0.010861	0.111724	0.0315218	0.0804198	0.413776	0.208534	0.066134	0.0311617	0.0153659	0.00584356	0.00517625	0.00436203	0.00269317	0.00686728
o	0.00201717	0.00393955	0.0103191	0.015565	0.0299746	0.0550038	0.0633484	0.251877	0.208868	0.169796	0.0273449	0.0140393	0.0211865	0.0134173	0.019704	0.0197087	0.0738908
t	0.00320645	0.00379086	0.0035009	0.00446759	0.0266481	0.00897347	0.104365	0.383734	0.119585	0.257393	0.0378594	0.00641741	0.0043235	0.00458656	0.000730434	0.0200309	0.0103875
í	0.000314773	0.00179285	0.00151604	0.000982482	0.00478553	0.0468622	0.0888004	0.175147	0.263474	0.283073	0.0674643	0.0130211	0.00829282	0.0208147	0.00304527	0.0102931	0.0103201
m	0.000129104	0.000603568	0.000793032	0.00192609	0.0275435	0.0258314	0.0360335	0.133286	0.362529	0.20413	0.118593	0.0338974	0.0107791	0.0150055	0.00479157	0.00648098	0.0176463
á	0.00271849	0.00381264	0.00102857	0.000506341	0.00270925	0.00994037	0.0573671	0.21168	0.223997	0.267012	0.143232	0.0515319	0.0200717	0.00116544	0.00103482	0.000826442	0.00136671
i	0.00187331	0.00266587	0.00383461	0.00681311	0.0241365	0.00769699	0.00664291	0.0834822	0.143821	0.312185	0.224394	0.117041	0.0437776	0.00701181	0.00778869	0.00377792	0.0030558
b	0.00041685	0.000752693	0.00135152	0.000621485	0.000855049	0.0124094	0.0177692	0.0667232	0.112767	0.326586	0.204668	0.0622221	0.0832741	0.0594009	0.0135297	0.0174849	0.0191669
é	0.000155967	0.0016931	0.00093714	0.000130484	0.000406252	0.0127333	0.0479048	0.030461	0.196131	0.227058	0.35241	0.0453919	0.0291266	0.0317486	0.00998846	0.00696994	0.00675417
á	2.74198e-05	0.000218827	0.000182677	0.00023154	0.00122671	0.00608779	0.0168757	0.0277311	0.223431	0.167207	0.287407	0.114854	0.03982	0.0460959	0.0198051	0.0073141	0.0414848
y	0.000465353	0.000962522	0.00172723	0.00766339	0.0166747	0.00351098	0.00150776	0.0178803	0.0317342	0.0815804	0.186132	0.379047	0.198476	0.0259555	0.024711	0.00834588	0.0136262
é	0.0293892	0.0662784	0.045065	0.142718	0.0243427	0.00829266	0.0105318	0.0308264	0.0267079	0.147471	0.0809982	0.125979	0.0886336	0.0540623	0.013894	0.065165	0.0396444
a	0.000792535	0.00643785	0.00301794	0.0129118	0.00489069	0.00112462	0.00105513	0.0068046	0.0156403	0.0489294	0.0930139	0.261433	0.268545	0.0690489	0.107461	0.0551741	0.0437194
d	0.000394869	0.00181335	0.00216414	0.0016182	0.00104079	0.0285176	0.0168844	0.0225195	0.0408772	0.0584023	0.0650954	0.0913782	0.216168	0.152569	0.141853	0.100316	0.0583874
í	6.12887e-05	0.000538843	0.000651194	0.00122858	0.000885284	0.0132956	0.00577631	0.01592	0.0643296	0.0681475	0.0236419	0.0206845	0.101398	0.169863	0.0738587	0.219165	0.220555
o	0.000109188	0.00132419	0.00191502	0.00566367	0.00373683	0.00101886	0.000797033	0.00715488	0.0215027	0.018993	0.0206035	0.046828	0.163802	0.252768	0.232399	0.0716792	0.149705
d	4.183e-05	0.000271285	0.000388236	0.000436358	0.000174433	0.00285032	0.00542809	0.00272727	0.0067186	0.0129965	0.0103536	0.013508	0.0696478	0.260497	0.124403	0.341707	0.147851
z	2.11147e-05	0.000198277	0.000251357	0.000269991	7.55773e-05	0.00142345	0.00201867	0.00255836	0.00852588	0.00795569	0.00394828	0.0049867	0.0392984	0.328606	0.0440495	0.358982	0.196831
w	0.000312529	0.000581611	0.000830933	0.00305027	0.00410393	0.00165996	0.00316542	0.00749306	0.0117851	0.0226061	0.0109369	0.0206321	0.0575615	0.557665	0.00785469	0.240685	0.0490759
á	0.000910631	0.000861966	0.000469156	0.000377894	0.000740394	0.000731819	0.00249698	0.00629888	0.0210167	0.0318198	0.0252356	0.0275273	0.0740348	0.622881	0.0238159	0.0846719	0.0761097
o	0.0010569	0.00055076	0.000613104	0.0023337	0.00211111	0.000760864	0.00136079	0.0025216	0.00431542	0.00799341	0.0115756	0.0462588	0.108705	0.31343	0.100888	0.246516	0.149008
s	6.95344e-05	0.000368725	0.000704836	0.000430894	0.000195288	0.00249197	0.00398315	0.00366791	0.00389891	0.00573718	0.00510304	0.00685549	0.0409298	0.128807	0.127374	0.453971	0.215411
í	9.97788e-05	0.000957518	0.00193032	0.00235761	0.000565983	0.00417018	0.00847207	0.00476978	0.00571355	0.0061066	0.00154579	0.00257053	0.0155064	0.113439	0.0494373	0.629258	0.153099
á	2.01714e-05	0.000152109	0.000238241	0.000480736	0.000172747	0.00031233	0.000421017	0.000761029	0.00168161	0.00227418	0.00211671	0.00830236	0.0310757	0.26185	0.05809	0.257485	0.374566
k	0.00218082	0.0014459	0.00303815	0.0169109	0.0225054	0.00229533	0.00147359	0.00644308	0.00552448	0.00623057	0.0108716	0.0574256	0.0975085	0.0733388	0.0930958	0.167817	0.431894
a	3.37114e-05	0.000647235	0.00103758	0.000860381	0.000626173	0.00130755	0.0013994	0.00135906	0.0138003	0.00770154	0.0132573	0.0158044	0.039493	0.29284	0.314038	0.133621	0.162172
á	3.57656e-05	0.000379449	0.00040101	0.00191134	0.00404751	0.000501545	0.00155217	0.000819586	0.00295272	0.00431123	0.0185615	0.0400876	0.0473655	0.246034	0.0674898	0.103991	0.459558
</S>	0.000312235	0.000208971	0.000668969	0.00351933	0.00826948	0.00169585	0.000592334	0.00577716	0.0054252	0.00513348	0.0151749	0.0764466	0.109904	0.0542613	0.10304	0.139077	0.470494
