 	dans	leur	parcelle	il	y	a	un	chiot	dodu	</S>
v	0.00745487	0.0242769	0.00443749	0.0208955	0.0487506	0.254245	0.122283	0.112659	0.00879153	0.396206
u	0.0234579	0.00383867	0.00244687	0.00643925	0.025314	0.179304	0.117941	0.354458	0.0446331	0.242167
n	0.00581532	0.00120989	0.00556433	0.00484717	0.0395519	0.0809386	0.216995	0.110449	0.314172	0.220456
d	0.0024037	0.00104192	0.00239516	0.00155111	0.00790186	0.0200099	0.0775698	0.186552	0.629819	0.0707561
z	0.000135368	0.000154121	0.00112225	0.0010068	0.00799136	0.0146457	0.0415839	0.0634488	0.804938	0.0649742
έ	8.54164e-05	0.000135721	0.000592132	0.000457667	0.00332766	0.00356804	0.0193695	0.0301647	0.918576	0.0237235
ε	0.000976036	0.000952862	0.002893	0.00709773	0.0491953	0.0597258	0.0892727	0.0794386	0.0732725	0.637175
b	0.010977	0.00843417	0.0397043	0.0255719	0.0509108	0.0673053	0.1927	0.0971506	0.190498	0.316748
v	0.000711848	0.00231147	0.00597687	0.0201333	0.039792	0.132186	0.190548	0.426503	0.0393449	0.142493
u	0.00315915	0.00122108	0.00175264	0.00462798	0.0173166	0.100194	0.142286	0.559581	0.0227931	0.147069
n	0.00250635	0.00402903	0.00143245	0.00159248	0.015738	0.029633	0.0622405	0.0608947	0.710286	0.111648
d	0.00827528	0.00235577	0.00315805	0.00239806	0.0091753	0.0156821	0.0458242	0.166965	0.656403	0.0897638
z	0.000362082	0.000254348	0.000807916	0.000933296	0.00489252	0.00947135	0.0325571	0.0532858	0.800603	0.0968323
έ	0.000231635	0.000124215	0.000231949	0.000167855	0.000753919	0.00107176	0.00727836	0.0308109	0.868363	0.0909665
ε	0.00372242	0.00166779	0.00383935	0.00533821	0.0237501	0.0407934	0.0788353	0.0700943	0.0661018	0.705858
</S>	0.0047223	0.005225	0.030324	0.0226415	0.057668	0.066575	0.109999	0.063299	0.100285	0.539261
