 	le	cabri	broute	l'	herbe	mais	moi	je	ne	mange	pas	les	cabris	</S>
i	0.00152518	7.02345e-05	0.000697065	0.00877503	0.0284992	0.0358249	0.114509	0.0661611	0.412638	0.0862942	0.106331	0.0874861	0.0172789	0.0339106
d	0.00151362	5.45337e-05	0.00263556	0.00462674	0.0059734	0.00790566	0.0117824	0.0224182	0.172069	0.391496	0.191343	0.0648838	0.0388487	0.0844488
i	0.000570436	0.000161333	0.000785817	0.00105966	0.0018336	0.00409428	0.0215984	0.0165417	0.100765	0.706368	0.0471935	0.0219296	0.00587481	0.0712246
í	0.000280244	1.49971e-05	0.000196298	0.00106445	0.00304064	0.00367688	0.0103496	0.00383864	0.133926	0.415125	0.176199	0.171457	0.0239366	0.0568949
a	0.00110492	8.59569e-05	0.000700507	0.00368323	0.0051713	0.00231618	0.0113284	0.0167685	0.0743396	0.156443	0.168169	0.238607	0.119138	0.202145
m	0.00045916	0.000278615	0.00151381	0.0050184	0.00451184	0.00161617	0.00298896	0.00501369	0.0336802	0.175504	0.0890113	0.0887095	0.475798	0.115896
b	0.000439998	0.000710802	0.000514933	0.00421986	0.00401646	0.00107253	0.0136458	0.0135274	0.036793	0.105584	0.0571321	0.362506	0.226351	0.173487
ó	0.000343185	0.00334282	9.64376e-05	0.00203752	0.00370213	0.000906774	0.000546353	0.0024061	0.0022896	0.0402278	0.00892531	0.0232479	0.866441	0.0454871
s	5.05235e-05	0.000545407	0.000265904	0.0011448	0.00346826	0.00140822	0.000610799	0.00119598	0.00766927	0.0829912	0.0370998	0.0796232	0.645576	0.13835
i	0.00285324	0.000843376	0.0039609	0.00895709	0.0216954	0.0301405	0.00360823	0.00609898	0.0314697	0.0611878	0.0756434	0.120553	0.444456	0.188533
o	0.000713682	2.79987e-05	0.000289156	0.00271079	0.00597146	0.00392913	0.0206412	0.00982689	0.0495467	0.0265526	0.0945695	0.147827	0.0847206	0.552673
d	0.000165843	0.000843091	0.00231394	0.00782444	0.0055693	0.00192965	0.00266502	0.00275482	0.0333973	0.0559326	0.090984	0.23197	0.2337	0.329949
z	0.000304647	0.00170284	0.00280521	0.0062243	0.00243631	0.000892758	0.00462315	0.00149081	0.0446938	0.206958	0.0623954	0.213591	0.104957	0.346925
á	0.00166377	0.0291021	0.00906016	0.00987829	0.0115414	0.00817868	0.0207686	0.0116841	0.116875	0.197461	0.108107	0.175486	0.0876305	0.212564
a	0.0036304	0.000276816	8.06314e-05	0.000987057	0.00171343	0.00168403	0.0113942	0.00384313	0.0207202	0.0477942	0.142531	0.143332	0.0434377	0.578576
έ	0.00364674	0.000143327	0.00151237	0.0103176	0.0133273	0.00369399	0.0103614	0.0084053	0.0339856	0.0266958	0.0583591	0.109314	0.0641832	0.656054
</S>	0.00047508	0.00037413	0.00169783	0.010496	0.00861468	0.00267743	0.00489529	0.00310026	0.0467019	0.0270791	0.0862836	0.239085	0.0304132	0.538107
