 	la	manière	dont	il	m'	a	découragé	je	n'	arrive	même	plus	à	travailler	</S>
g	0.0250671	0.0141305	0.0207591	0.0506528	0.505464	0.030797	0.00618767	0.312822	0.0101549	0.0017642	0.00152126	0.00188844	0.00189397	0.00171457	0.0151819
á	0.000138219	0.000862	0.00137315	0.0122785	0.415481	0.00743387	0.000816065	0.54399	0.00961944	0.00173274	0.000803104	0.00082842	0.000856178	0.00157574	0.002212
i	0.000520463	0.00070191	0.00199236	0.0513318	0.0905422	0.157759	0.00832779	0.238436	0.23936	0.10825	0.0480528	0.0223407	0.0212988	0.00527909	0.00580648
d	0.000787407	0.00181834	0.00109719	0.00444206	0.0456325	0.266276	0.0967851	0.0793178	0.167263	0.240428	0.0625177	0.0146133	0.00716886	0.0053993	0.00645303
í	0.00256557	0.00226533	0.000565657	0.00296669	0.0294409	0.223449	0.0471622	0.0778982	0.248032	0.207905	0.0766249	0.0146773	0.0125893	0.0325638	0.0212936
s	0.00560535	0.00396085	0.00163756	0.014604	0.138715	0.134143	0.0132436	0.0623383	0.205611	0.216142	0.115921	0.0306015	0.0277979	0.0141661	0.0155135
i	0.00987864	0.00286272	0.00320863	0.0215096	0.197998	0.0437399	0.00446795	0.406268	0.176848	0.0838627	0.0254009	0.00326805	0.0024341	0.0114876	0.00676555
o	0.00926472	0.00516763	0.00424289	0.0675517	0.34787	0.0432078	0.000447553	0.12725	0.226951	0.0971192	0.0447392	0.00907848	0.0089611	0.00503978	0.00310836
b	0.000364993	0.00124853	0.000669215	0.00229509	0.0188814	0.0656897	0.0741124	0.0534204	0.118494	0.268562	0.254524	0.0970626	0.011882	0.0237121	0.00908184
h	0.000241297	0.00188177	0.00029582	0.00225692	0.0397729	0.0755798	0.266456	0.0283678	0.0646696	0.116869	0.140041	0.18057	0.0288913	0.0388689	0.0152379
e	0.000198229	0.000402488	4.68103e-05	0.000123864	0.000681183	0.020122	0.680807	0.0104079	0.0145178	0.0375231	0.0790439	0.106762	0.0228777	0.0133347	0.0131511
r	0.000608414	0.0003118	0.000280776	0.0014262	0.00397323	0.0178153	0.161406	0.0152809	0.0573494	0.149762	0.226124	0.22565	0.0846236	0.00734	0.0480491
á	0.0341126	0.00660052	0.00310873	0.00150408	0.00770853	0.00883646	0.106976	0.104652	0.0622162	0.0471262	0.10631	0.168072	0.0444369	0.00912255	0.289217
o	0.00103482	0.00138034	0.00419872	0.0353804	0.117252	0.015259	0.00130862	0.0472214	0.106899	0.124554	0.206616	0.167964	0.135919	0.0112585	0.0237547
b	0.000310304	0.000700335	0.000519856	0.00220039	0.00832836	0.0278987	0.0235685	0.0109514	0.0307925	0.101781	0.249136	0.279299	0.105015	0.13276	0.0267383
v	0.000171154	0.00118725	0.000147147	0.000869091	0.00943869	0.0256528	0.105611	0.0111008	0.0510837	0.0743478	0.14778	0.350053	0.0878109	0.105994	0.0287522
ú	0.00011552	0.00046321	7.36268e-05	0.000411936	0.00222534	0.00807022	0.0784284	0.0231181	0.0409837	0.0697422	0.142673	0.45421	0.0922625	0.0569101	0.0303116
r	0.00151701	0.00114022	0.000274504	0.000526565	0.00821959	0.00380933	0.0149204	0.00609473	0.0207592	0.0584354	0.205408	0.384616	0.234845	0.00973948	0.0496941
á	0.113576	0.00499467	0.00211816	0.00240612	0.0322899	0.0050215	0.0074244	0.0539275	0.0483464	0.0419508	0.100195	0.243443	0.158006	0.0484445	0.137857
o	0.00237767	0.00270984	0.00457507	0.0253448	0.044097	0.0139309	0.00324932	0.0153603	0.0418294	0.0598285	0.093361	0.148167	0.267158	0.0870372	0.190973
s	0.000384158	0.00161158	0.000724335	0.00176971	0.00571103	0.0300735	0.00739119	0.00393935	0.0174085	0.0257552	0.0580716	0.128099	0.153116	0.495136	0.0708081
á	0.0030321	0.00567134	0.00292206	0.00284843	0.00649057	0.0239321	0.0086701	0.0181168	0.031569	0.0218041	0.0380817	0.0352447	0.145007	0.588823	0.0677865
l	0.00198175	0.00335909	0.00258535	0.00813923	0.0263675	0.00828384	0.000875333	0.00787847	0.0136444	0.0197813	0.0387742	0.0333009	0.0882868	0.435731	0.311011
a	0.000218557	0.000197995	0.000227435	0.00103342	0.0187366	0.00142114	0.00150258	0.00922434	0.0174581	0.0373061	0.0938021	0.156065	0.12711	0.271665	0.264032
k	0.000423024	0.000262748	0.00050946	0.00220945	0.00576268	0.00154655	0.000162348	0.00353753	0.0129227	0.0252995	0.0476631	0.105121	0.226156	0.205607	0.362816
a	0.000483849	0.00343722	0.000569953	0.00321818	0.0303496	0.00421888	0.00589002	0.00616148	0.0154521	0.0237981	0.091474	0.238947	0.179922	0.145805	0.250273
á	0.000458291	0.00132035	0.000827658	0.00616171	0.0234723	0.00208769	0.0077507	0.0136947	0.0179368	0.0190707	0.0536869	0.127499	0.0589924	0.188132	0.478909
</S>	0.000167351	0.000155376	0.000435019	0.0049016	0.00972452	0.00563872	0.000981128	0.00366651	0.0101985	0.0152009	0.0236849	0.0372664	0.110516	0.237031	0.540432
