 	cette	jeune	fille	a	perdu	la	raison	depuis	qu'	on	lui	a	jeté	un	mauvais	sort	</S>
é	0.568536	0.0447904	0.185773	0.137621	0.0123981	0.0148987	0.00259747	0.0040178	0.00935061	0.002986	0.00537457	0.0016854	0.000170139	0.00153929	0.000804577	0.00474825	0.00270921
á	0.106753	0.00869729	0.0249897	0.455837	0.0684835	0.053463	0.0263795	0.0688987	0.0709902	0.0286776	0.0293855	0.0109298	0.00209494	0.00899676	0.00965558	0.0134412	0.0123268
b	0.0160124	0.00289616	0.0176	0.42188	0.259671	0.0614413	0.0274293	0.0117455	0.0161171	0.0127577	0.0168774	0.022895	0.0174364	0.0185947	0.00813315	0.00941933	0.0590936
h	0.00272497	0.00725667	0.0233982	0.0443006	0.360102	0.069974	0.293954	0.055692	0.0186457	0.0319627	0.012698	0.0183176	0.0303481	0.0113599	0.00706916	0.000926348	0.01127
i	0.0303944	0.0117197	0.0131635	0.0702292	0.359643	0.12246	0.179062	0.0362605	0.0172857	0.0304126	0.0107577	0.0188896	0.0412348	0.0183221	0.00861164	0.00093336	0.0306204
á	0.0135368	0.00416301	0.0140189	0.154502	0.252496	0.102276	0.212764	0.0635509	0.0563352	0.0374803	0.0165954	0.0102009	0.00833973	0.0116122	0.00853467	0.00138146	0.0322125
n	0.00877777	0.00280235	0.00529398	0.0619027	0.212007	0.178029	0.136509	0.199054	0.0743008	0.0519335	0.0216343	0.00703935	0.0107752	0.00553347	0.0140756	0.00376529	0.00656711
d	0.0165861	0.00988105	0.0345381	0.0957981	0.342267	0.214839	0.0400013	0.0811586	0.033574	0.0168322	0.015217	0.00331948	0.00288157	0.00330247	0.00619174	0.0377366	0.0458758
z	0.00597753	0.00251785	0.0192117	0.0848677	0.362919	0.237583	0.0474254	0.0436527	0.0317635	0.00893474	0.0120699	0.00371777	0.00314867	0.00418149	0.00245418	0.0837981	0.0457766
á	0.00546517	0.00127923	0.0197896	0.0424955	0.188518	0.52205	0.0330739	0.0215981	0.0429879	0.00930141	0.00992322	0.00374385	0.000815828	0.00989973	0.00118455	0.0720162	0.0158582
a	0.00256623	0.000404879	0.00275208	0.0288789	0.0882658	0.278556	0.0691171	0.0590348	0.105025	0.060749	0.052616	0.0376918	0.0187401	0.0676377	0.00778333	0.00642702	0.113754
n	0.000522358	0.000124277	0.000781467	0.0334213	0.0659753	0.138624	0.108104	0.257096	0.191076	0.104746	0.0550799	0.0132196	0.00799753	0.00536007	0.00875641	0.00136667	0.0077496
d	0.0137147	0.00321029	0.0197549	0.0354544	0.235583	0.0942394	0.021636	0.112891	0.116581	0.0532353	0.0582802	0.0117937	0.0133281	0.0101833	0.0117632	0.0286435	0.159708
z	0.00260783	0.000909718	0.00770762	0.0225105	0.172016	0.155242	0.0156489	0.0936474	0.135112	0.0414455	0.0598526	0.010346	0.00754575	0.0090453	0.00435104	0.125002	0.13701
á	0.00257822	0.000258741	0.00804512	0.027547	0.161531	0.260587	0.0174843	0.0344951	0.153154	0.0345086	0.0495124	0.0154338	0.00287291	0.0260088	0.00240865	0.136025	0.0675492
a	0.00396164	0.000694024	0.00254131	0.0280754	0.0645292	0.0895872	0.0314024	0.0362737	0.112126	0.0667295	0.0575642	0.0578366	0.0341087	0.07107	0.00740466	0.00827511	0.32782
t	0.000194069	5.59177e-05	0.000374079	0.00828937	0.0179442	0.0419045	0.0257572	0.232479	0.19915	0.212062	0.143253	0.0385478	0.0302343	0.0118498	0.0188961	0.00197324	0.017035
s	0.00682761	0.000295275	0.000520675	0.00655164	0.0133384	0.0485058	0.0321864	0.0916509	0.153342	0.132262	0.185474	0.0945698	0.0796821	0.0887136	0.0274726	0.00864963	0.0299573
í	0.00138875	3.55005e-05	0.000222679	0.00227943	0.0146319	0.0146647	0.0148504	0.0598282	0.125151	0.230549	0.204492	0.0931599	0.123412	0.0554167	0.0268283	0.00356938	0.0295202
n	0.00095007	0.000255894	0.00109414	0.00577955	0.0570297	0.0274564	0.0924537	0.104439	0.15449	0.209253	0.166278	0.0459718	0.0541709	0.0136511	0.00883476	0.00218134	0.0557093
a	0.0116502	0.00223418	0.0102174	0.0121208	0.0442388	0.0269794	0.012144	0.188885	0.156083	0.135476	0.12279	0.0143316	0.00774419	0.008569	0.00737984	0.0430083	0.196148
á	0.000718495	6.80315e-05	0.000570866	0.00678915	0.00744694	0.00841576	0.00310975	0.0482481	0.109771	0.232668	0.307343	0.138242	0.044323	0.0376989	0.0186132	0.0065001	0.0294741
t	0.00397963	0.000660978	0.00201776	0.0134738	0.0265158	0.00887837	0.00494949	0.00507125	0.0168042	0.0632013	0.179188	0.378025	0.135614	0.0901604	0.0259692	0.0127158	0.0327756
u	0.000136934	1.1825e-05	9.59236e-05	0.00185139	0.0124637	0.00482895	0.00201608	0.00626497	0.036281	0.0514577	0.151219	0.259584	0.186863	0.152822	0.0447238	0.0230725	0.0663078
m	0.000925102	3.96719e-05	1.96107e-05	0.00111776	0.0122956	0.0111229	0.00351923	0.00916825	0.0280856	0.0363672	0.0757044	0.203312	0.250976	0.14076	0.0573925	0.0262542	0.142939
b	0.000856099	0.000116402	0.000153629	0.00371934	0.0330568	0.0800265	0.00354727	0.0242144	0.0844115	0.0933752	0.13074	0.130211	0.0201418	0.152901	0.0794481	0.123257	0.0398239
á	0.00579711	0.000133614	0.000226336	0.00218375	0.0195909	0.0413577	0.00548241	0.0405209	0.0776778	0.0798775	0.0910718	0.0851524	0.136621	0.176809	0.146853	0.062802	0.0278424
y	0.000602627	5.20653e-05	0.00049178	0.0028241	0.00310928	0.00441926	0.00236575	0.0430409	0.0426291	0.0701415	0.0720672	0.0863473	0.0918117	0.117431	0.338843	0.0720246	0.0517988
í	0.00273033	0.000256983	0.000686402	0.00432956	0.00898645	0.015435	0.000985152	0.00613489	0.0437831	0.0241149	0.10912	0.0958643	0.0186848	0.187638	0.0501149	0.361874	0.0692617
a	0.00098868	3.11341e-05	7.3228e-05	0.000975083	0.00198857	0.00456398	0.00100768	0.0174822	0.0323462	0.0424298	0.0737383	0.0861007	0.0452066	0.14537	0.157424	0.27731	0.112965
m	0.000447525	3.39575e-05	9.92158e-05	0.00203066	0.00311068	0.00206138	0.00102357	0.00210881	0.00509635	0.00941132	0.0184548	0.0917558	0.14646	0.188548	0.226127	0.0981434	0.205088
ω	0.000173316	0.000152413	0.000311929	0.00705495	0.0141007	0.0217871	0.00797666	0.00410117	0.0124008	0.0157271	0.0261544	0.126222	0.0368241	0.316819	0.155719	0.114103	0.140372
n	8.93094e-05	3.3965e-05	2.89137e-05	0.000715696	0.00181905	0.00353551	0.00139215	0.000912203	0.0024417	0.0038582	0.0101491	0.0676297	0.107928	0.307566	0.112392	0.152827	0.226682
d	0.00209527	0.000198312	0.00045919	0.00178267	0.00598926	0.00881404	0.00113087	0.00302746	0.00531204	0.00552378	0.0172058	0.0286803	0.0396764	0.100483	0.0406005	0.533424	0.205597
í	0.00042995	5.86763e-05	0.000286658	0.000524423	0.00113587	0.00243906	0.000160575	0.000909324	0.00269436	0.0019031	0.00820696	0.012575	0.0120535	0.0420131	0.0129513	0.544813	0.356845
</S>	0.000122968	1.56274e-05	0.000172325	0.00089857	0.00212961	0.00380509	0.000755355	0.00606708	0.0223567	0.0137806	0.0515899	0.0402448	0.0158616	0.0704131	0.0294326	0.324712	0.417642
