 	quand	tu	dépèces	un	animal	garde-toi	de	crever	la	bile	car	celle-ci	est	amère	</S>
g	4.64597e-05	8.41682e-05	0.00039261	0.00181008	0.00476657	0.00302159	0.0187311	0.0151977	0.072389	0.731974	0.0306658	0.0503743	0.0161019	0.00281248	0.0516321
i	1.7075e-05	3.48086e-05	0.000256105	0.000396309	0.00221581	0.00115304	0.0181382	0.01189	0.0481676	0.829049	0.0302792	0.0296439	0.00691418	0.00203642	0.0198081
t	4.5025e-05	3.53693e-05	0.000291296	0.00212204	0.00123155	0.00212229	0.0230446	0.0321967	0.0828137	0.167753	0.406286	0.148497	0.058038	0.00813011	0.0673931
s	0.00307937	0.000129787	0.000301243	0.00276226	0.000990218	0.00539545	0.0116509	0.0121288	0.0253993	0.0333839	0.55292	0.147211	0.0315239	0.0927626	0.0803615
í	6.62658e-05	1.91067e-05	0.00139453	0.000718641	0.000445835	0.00381421	0.011424	0.0116355	0.0705932	0.0575023	0.402948	0.198799	0.0220664	0.0437453	0.174827
n	0.000262619	8.23059e-05	0.00190647	0.00218841	0.00550063	0.00501454	0.0205724	0.0331123	0.135851	0.0556548	0.305145	0.149714	0.0424387	0.0457945	0.196761
a	0.00155484	0.000914033	0.00648809	0.0048701	0.0147267	0.0142249	0.0211507	0.0118351	0.0885567	0.255343	0.176394	0.128105	0.0219393	0.00936901	0.24453
y	0.000449473	0.000147259	0.000911557	0.00190626	0.000956827	0.00174391	0.0109637	0.0253828	0.104238	0.0522349	0.338398	0.159746	0.120511	0.0279029	0.154507
í	0.00218164	0.000677547	0.00199568	0.0204006	0.0113897	0.00658297	0.0524887	0.03044	0.1361	0.105522	0.168059	0.157223	0.0898911	0.189994	0.0270534
a	0.000327879	0.000159971	0.00501188	0.00294528	0.0060089	0.00235206	0.00691841	0.00436994	0.0805508	0.0570268	0.192679	0.200125	0.202328	0.0985573	0.140639
é	0.000109824	9.79953e-05	0.0020562	0.00210943	0.000989696	0.00246048	0.00417586	0.0160458	0.0483274	0.0265622	0.0523626	0.148697	0.31847	0.0846416	0.292893
d	7.08822e-06	8.09533e-06	0.00127061	0.00225143	0.000656208	0.00408165	0.00625574	0.017316	0.0831651	0.0350035	0.0670138	0.121858	0.348966	0.128617	0.183529
í	2.50294e-05	3.79427e-05	0.00290063	0.00236563	0.00115076	0.00226878	0.00280025	0.00711598	0.0556603	0.03812	0.0252579	0.0779085	0.166242	0.151874	0.466272
l	1.59496e-05	1.16421e-05	0.000461985	0.000783957	0.00150777	0.000549326	0.00121791	0.00506918	0.0682454	0.0343813	0.0456594	0.0787162	0.196918	0.254327	0.312135
a	9.38209e-05	3.58792e-05	7.81635e-05	0.000419266	0.00051464	0.00101309	0.00132883	0.0043724	0.0127294	0.00812541	0.0422292	0.0713972	0.0946563	0.450528	0.312479
k	8.82986e-06	7.50831e-06	0.000106224	0.000682822	0.000544282	0.000698801	0.00234433	0.00243801	0.0422308	0.0398637	0.108584	0.114465	0.179927	0.236662	0.271437
a	1.84089e-05	1.08994e-05	0.000387418	0.000464563	0.000299344	0.00167583	0.000641322	0.0023153	0.0174223	0.00918317	0.0692915	0.0632927	0.0410749	0.689203	0.10472
l	6.74927e-06	1.55705e-06	0.000111079	9.39448e-05	5.44164e-05	0.000417514	0.00048116	0.00315945	0.0115459	0.00250031	0.0856792	0.0547629	0.0630611	0.540353	0.237772
e	9.03904e-06	1.89928e-06	0.000173885	0.000158153	6.55586e-05	0.000762573	0.000755591	0.0040313	0.0105113	0.037058	0.0698084	0.0689391	0.0787803	0.352381	0.376564
</S>	7.76142e-06	3.00204e-06	0.000112102	0.000275364	0.000160284	0.000337303	0.00157292	0.00411379	0.0159012	0.0112211	0.0546064	0.0528999	0.145556	0.359526	0.353707
