 	cet	enfant	est	en	train	de	serrer	la	corde	qui	attache	son	pantalon	à	la	taille	</S>
z	0.000359401	9.76368e-05	0.00121676	0.00429925	0.00207612	0.0114508	0.141553	0.0554141	0.271211	0.207027	0.127662	0.0410623	0.0366131	0.0148105	0.00522614	0.00649781	0.073424
í	0.00101645	0.000442097	0.00138983	0.00674658	0.00381438	0.0139825	0.252546	0.0622821	0.163329	0.137288	0.102904	0.0329456	0.0268517	0.0274498	0.00614129	0.00490325	0.155967
i	0.000676201	0.000105492	0.0103499	0.0211178	0.00732031	0.0239494	0.0356441	0.070665	0.0583593	0.18373	0.184531	0.116739	0.127806	0.0355571	0.00860225	0.00608287	0.108765
m	7.69467e-05	8.09322e-06	0.00199094	0.00199512	0.000404349	0.00839449	0.0036523	0.0420252	0.0412635	0.265059	0.267348	0.181755	0.130267	0.0229518	0.0168448	0.00323369	0.0127299
í	0.0118388	0.00452043	0.00816246	0.00630075	0.0024714	0.080331	0.00576777	0.0900098	0.0195782	0.184881	0.0989381	0.0823642	0.0709058	0.134576	0.0708756	0.00270513	0.125773
n	0.000216778	6.68197e-05	0.00406099	0.00177282	0.000513963	0.0080341	0.00267291	0.0357403	0.0534703	0.115124	0.149062	0.122324	0.348018	0.0798641	0.0370035	0.0279258	0.0141301
y	0.000587675	0.000106886	0.000582921	0.000711918	0.000619718	0.00300093	0.0215849	0.0193569	0.293522	0.205671	0.191556	0.112866	0.0473235	0.0465787	0.017487	0.00124965	0.037195
u	0.00115878	0.000116671	0.000268833	0.000746255	0.000214281	0.00105897	0.0248674	0.0114175	0.403442	0.0803129	0.191449	0.129543	0.0443505	0.0550086	0.0230426	0.00500872	0.0279945
n	0.00246991	0.000885418	0.000240665	0.000788758	0.000276134	0.00143305	0.0258122	0.0151435	0.523876	0.0711063	0.206602	0.0578158	0.040791	0.0251269	0.00949586	0.00300193	0.0151345
g	0.000499743	3.88117e-05	0.000469162	0.0014431	0.00041215	0.00190141	0.00394734	0.0126619	0.0270128	0.0884366	0.24606	0.231976	0.227577	0.0532429	0.0157664	0.0121572	0.0763974
u	0.000117355	0.000101281	0.000328743	0.00139142	0.00131828	0.00308278	0.0296118	0.018679	0.111584	0.10706	0.286127	0.172791	0.199832	0.0167413	0.00930562	0.0148908	0.0270378
</S>	0.000105228	1.51623e-05	0.000746531	0.000327517	3.07978e-05	0.00221966	0.00095009	0.00976897	0.0148084	0.158324	0.1761	0.154459	0.182034	0.124207	0.126622	0.0184004	0.0308813
