 	c'	était	lui	qui	nous	a	fait	tra	verser	la	rivière	par	pirogue	</S>
h	0.00112763	0.00156296	0.00519736	0.00711225	0.0139832	0.0745732	0.200546	0.174557	0.353948	0.0829457	0.0474552	0.00683013	0.00670149	0.0234603
í	0.00116	0.00420363	0.0212898	0.0563713	0.0323342	0.0376926	0.0953459	0.199915	0.296267	0.0567287	0.0280669	0.00979319	0.0234295	0.137402
s	0.00380333	0.0023969	0.0243118	0.035372	0.113903	0.147942	0.118201	0.0778287	0.206866	0.170323	0.0368345	0.0182656	0.00900726	0.0349452
í	0.00323751	0.00275814	0.00875464	0.0489966	0.0667973	0.0534893	0.0910961	0.118376	0.178763	0.186853	0.0472886	0.0438547	0.00785481	0.14188
b	0.00292387	0.00204336	0.0200512	0.0524578	0.371111	0.0947322	0.0384838	0.0072055	0.0584525	0.262165	0.0381678	0.032964	0.00882058	0.0104209
í	0.000973217	0.000496014	0.000974871	0.00199466	0.726228	0.00933058	0.0087109	0.00647431	0.0539561	0.0522656	0.0271829	0.00529451	0.100595	0.00552375
s	2.08423e-05	9.35858e-06	0.000124621	0.000857101	0.97527	0.00159118	0.00110461	0.000573639	0.000398955	0.0014258	0.000262435	0.000157249	0.0180522	0.000151912
í	0.00323165	0.00333277	0.00535137	0.0252889	0.0434741	0.015458	0.0231815	0.0152142	0.0194355	0.0645201	0.0281719	0.0349974	0.115781	0.602562
n	0.000362037	0.00148108	0.00344545	0.00628652	0.00365073	0.0236259	0.0330162	0.0355877	0.0538713	0.446212	0.151473	0.0596317	0.103392	0.0779647
d	0.00654565	0.00941005	0.0237568	0.0827516	0.0249478	0.0574455	0.073985	0.0237703	0.0132352	0.202053	0.129964	0.125311	0.0407311	0.186094
z	0.00137816	0.00377176	0.00963591	0.0420549	0.0291465	0.0375918	0.0479384	0.0182888	0.0779314	0.437819	0.138155	0.064975	0.0197673	0.0715455
á	0.000556984	0.00430052	0.00592394	0.0121838	0.00233531	0.010315	0.0326538	0.0152267	0.128349	0.294284	0.253618	0.16218	0.00360636	0.0744666
l	0.000539448	0.00276364	0.00627833	0.00435763	0.00099755	0.00697794	0.0193373	0.0239015	0.18811	0.232316	0.236242	0.0473483	0.0885413	0.14229
é	0.000717351	0.00136403	0.00495269	0.0052718	0.00278119	0.0114088	0.0234763	0.010473	0.075934	0.343771	0.401635	0.0508017	0.0157958	0.051617
m	0.00178783	0.00210386	0.00881987	0.00443527	0.00429031	0.0310894	0.0166111	0.012383	0.00988312	0.246389	0.165835	0.314521	0.0507778	0.131072
ó	0.0143667	0.00388777	0.0295762	0.0203715	0.00241671	0.00907909	0.00646203	0.0078263	0.0095205	0.141211	0.0825901	0.311518	0.00368983	0.357485
b	0.000730924	0.000480817	0.0062735	0.00866896	0.00368586	0.00531873	0.00772096	0.00948092	0.0215518	0.095782	0.203462	0.298114	0.213786	0.124945
v	0.000388443	0.000231736	0.0017434	0.00146559	0.00493112	0.00350334	0.00834681	0.00323069	0.0108207	0.030385	0.0747617	0.029452	0.822602	0.008138
á	2.95809e-05	1.11747e-05	7.14104e-05	3.7632e-05	0.000224763	0.000102093	0.000227222	0.000372765	0.00186944	0.00332172	0.0103866	0.00529846	0.976824	0.00122288
r	0.000236442	0.000105869	0.0011281	0.00259935	0.0150987	0.00147674	0.00220349	0.000798481	0.0107695	0.0356259	0.188259	0.109706	0.586576	0.0454169
e	0.00010146	0.000335383	0.00183912	0.0027742	0.0015812	0.00192579	0.00267445	0.00184166	0.00318445	0.079286	0.276002	0.18292	0.139284	0.30625
</S>	5.0878e-05	0.000170285	0.000828944	0.000926004	0.000294688	0.00114747	0.00124307	0.000594149	0.000717848	0.0558889	0.134412	0.418862	0.0415951	0.343269
