 	c'	est	lui	qui	a	embourbé	le	véhicule	à	l'	entrée	d'	ekyembe	</S>
t	0.000543617	0.00122963	0.000109848	0.000322402	0.00216011	0.00109769	0.112783	0.852895	0.0163098	0.00379885	0.0011433	0.0010327	0.00216278	0.0044116
ω	0.000104759	0.00156766	0.000133449	0.000325312	0.00152575	0.000168163	0.0124373	0.97009	0.00491724	0.00371668	0.000261635	0.000240612	0.0022592	0.00225204
m	2.47349e-05	0.000224135	0.000159714	0.000371512	0.0026117	0.00359094	0.0123653	0.948245	0.0151856	0.00473221	0.00391489	0.00105434	0.00361202	0.00390747
b	0.000370897	0.000487188	0.000193865	0.00034079	0.00147755	0.000605472	0.0303181	0.559146	0.152175	0.0587827	0.0116309	0.0104744	0.010335	0.163662
í	0.000930292	0.00177201	0.000718641	0.00125473	0.00451708	0.00512674	0.021683	0.607145	0.0568127	0.054807	0.0129055	0.0160418	0.012605	0.203681
l	0.00746805	0.00438835	0.00796227	0.00512909	0.0109827	0.00741233	0.0335581	0.0555984	0.378671	0.244387	0.072975	0.010224	0.00221142	0.159033
i	0.00383254	0.00687105	0.00909877	0.0111317	0.0173546	0.00908043	0.0347548	0.0536825	0.231911	0.171951	0.177589	0.0352167	0.0192026	0.218323
m	0.00307339	0.00230428	0.00694372	0.00642027	0.00748139	0.00152806	0.0283053	0.0023461	0.266263	0.370731	0.195502	0.0567018	0.00616247	0.0462376
ó	0.0230606	0.0561634	0.0358958	0.0132032	0.0112809	0.00127569	0.0674923	0.0209846	0.128496	0.27764	0.0219137	0.0971121	0.0148286	0.230652
n	0.000820701	0.00353186	0.00333396	0.00402216	0.0061051	0.00181547	0.0604274	0.0166269	0.233802	0.382437	0.101147	0.108522	0.0447732	0.0326358
ω	0.000865556	0.00218662	0.00550356	0.0173773	0.00733855	0.00213566	0.0111551	0.00170403	0.185151	0.15396	0.524022	0.0392336	0.0164032	0.0329644
ω	8.09005e-05	0.000489209	0.00127219	0.00175776	0.00339498	0.0025787	0.0126927	0.0171287	0.202445	0.253312	0.356409	0.0564865	0.0211288	0.0708237
m	0.00272334	0.00246973	0.00160758	0.00183959	0.00156766	0.000158734	0.0167981	0.0199258	0.0838399	0.185023	0.2081	0.207708	0.144672	0.123566
e	0.00661691	0.0263698	0.0167129	0.00733106	0.00608897	0.00100342	0.0426691	0.0137833	0.0532063	0.113811	0.0105703	0.0991175	0.24538	0.35734
k	0.000150443	0.00132337	0.000913681	0.00154719	0.00253929	0.000450974	0.0215823	0.00441437	0.0736312	0.158111	0.0517196	0.294621	0.298787	0.0902084
y	0.000221758	0.00233818	0.000943095	0.00116761	0.00340938	0.0007713	0.00908311	0.040717	0.0314075	0.182857	0.0635371	0.0522615	0.549296	0.06199
e	0.000370151	0.000750077	0.000435063	0.000256092	0.000299422	0.000328261	0.00178212	0.0403151	0.0264713	0.182644	0.0412106	0.0560055	0.570126	0.0790055
m	0.000681319	0.00126176	0.00110213	0.000565191	0.00102148	0.000771456	0.00355955	0.0108188	0.0282249	0.12487	0.0234288	0.0705561	0.358049	0.375089
b	0.00145852	0.00143984	0.000948097	0.00052501	0.000399538	0.000190644	0.00203533	0.00677667	0.0322149	0.117399	0.0340278	0.0787603	0.544059	0.179765
e	0.00552753	0.00348004	0.00211535	0.00182545	0.00180945	0.0013158	0.00165662	0.0052994	0.00824955	0.0159827	0.0170906	0.0160746	0.651658	0.267915
</S>	0.0010116	0.00145224	0.00136714	0.00185169	0.00159464	0.000349149	0.00481622	0.00356488	0.0319629	0.081162	0.103476	0.165171	0.10138	0.500841
