 	il	a	contourné	ma	parcelle	parce	qu'	il	me	doit	de	l'	argent	</S>
a	0.00110539	0.00105149	0.000254624	0.0114827	0.00579916	0.0489361	0.149903	0.15949	0.127234	0.170809	0.0938225	0.153858	0.00302577	0.0732281
d	0.000938946	0.0140166	0.00466046	0.00240065	0.00646144	0.00112987	0.014062	0.147095	0.106201	0.403214	0.197946	0.0324902	0.0018539	0.0675299
i	0.000234196	0.00823357	0.00526071	0.00826825	0.00523923	0.000500751	0.00875446	0.258572	0.17908	0.0765272	0.233989	0.0340379	0.00211348	0.17919
n	0.000205785	0.00335332	0.00719741	0.00953361	0.00996811	0.000854114	0.013311	0.0923745	0.106717	0.0865187	0.356281	0.207907	0.00640007	0.0993778
g	5.36044e-05	0.000476979	0.00268618	0.0411183	0.00543161	0.00198214	0.00453698	0.0236968	0.693476	0.0200688	0.0366978	0.0672331	0.0446496	0.0578918
á	1.4022e-05	0.000106074	0.000340294	0.0303292	0.00795715	0.00546346	0.0163305	0.0383789	0.397702	0.0571246	0.108702	0.175908	0.106458	0.0551861
l	3.09642e-05	7.82441e-05	7.374e-05	0.00156955	0.00285797	0.000679579	0.0110956	0.0144156	0.0189397	0.0232849	0.167516	0.636893	0.0394483	0.0831161
e	0.000147857	0.000358832	0.000286477	0.00308634	0.0065349	0.00506761	0.0117343	0.0317453	0.0508559	0.161408	0.25101	0.106684	0.0159332	0.355148
b	0.000163712	0.000271557	0.000151839	0.00294559	0.00340231	0.00321328	0.012038	0.0168548	0.0101976	0.0730511	0.18014	0.296845	0.146235	0.25449
y	0.0013517	0.00324455	0.00160683	0.0113957	0.011628	0.00465676	0.0276183	0.0473679	0.0883158	0.161573	0.339344	0.199283	0.0579722	0.0446427
é	0.000146596	0.000236933	0.000526553	0.000803564	0.00285053	0.000933302	0.00656149	0.0100141	0.0153015	0.142254	0.50449	0.0734962	0.0389097	0.203475
m	5.70179e-05	0.000218907	0.000488153	0.00235598	0.00488122	0.00273422	0.0174756	0.0346027	0.052732	0.0969531	0.314775	0.0789681	0.0193148	0.374443
b	0.000110396	0.000327963	0.00010938	0.00256007	0.00360837	0.000790882	0.00670481	0.00752012	0.00920837	0.00849691	0.0573646	0.220961	0.56863	0.113608
o	0.000844106	0.00124772	0.00364815	0.00235057	0.0159273	0.0018471	0.00904754	0.00895843	0.0349204	0.0242649	0.137878	0.057982	0.198581	0.502502
</S>	0.000191892	0.000683294	0.00037711	0.000934088	0.00502162	0.00119166	0.0133037	0.0202358	0.0144318	0.0800491	0.204649	0.088667	0.0268333	0.543431
