 	cet	élève	a	porté	un	chapeau	pour	se	protéger	contre	le	soleil	</S>
e	0.00183623	0.00111055	0.0188377	0.014989	0.137268	0.0921531	0.431793	0.206324	0.0538664	0.0134624	0.0144186	0.00490593	0.00903486
k	0.000828402	0.00145028	0.00389044	0.0177823	0.0812158	0.206367	0.115744	0.250428	0.182622	0.0861853	0.0170563	0.0123522	0.0240782
ω	0.000205799	0.00106682	0.000498173	0.000823175	0.0132736	0.700706	0.0424435	0.08424	0.0852803	0.0585029	0.00853348	0.000622537	0.00380408
t	5.91385e-05	0.00135434	0.000987101	0.00279188	0.0513756	0.510046	0.115548	0.0959418	0.132963	0.057162	0.021447	0.000440872	0.00988286
i	0.00156166	0.000769753	0.00209761	0.00104938	0.0198226	0.659605	0.0752637	0.0536308	0.0292856	0.0601075	0.024338	0.0014649	0.0710038
m	0.00316533	0.000695627	0.00487809	0.00230665	0.0236774	0.0259676	0.264553	0.233334	0.233342	0.0997213	0.0693096	0.00537413	0.0336739
í	0.0335703	0.000767399	0.00180168	0.000663405	0.0148523	0.00502438	0.0956085	0.0950695	0.0666243	0.0949658	0.164785	0.15555	0.270717
d	0.00123413	0.00214775	0.00375325	0.00389028	0.0124202	0.00489517	0.0430283	0.12214	0.197929	0.276037	0.19981	0.0698074	0.0629068
u	0.00173628	0.00122642	0.000970118	0.00243965	0.00308022	0.00136408	0.0130927	0.0674852	0.228464	0.420722	0.0574507	0.0638881	0.138081
m	0.00142554	0.0016908	0.00155132	0.000619154	0.00494201	0.0265342	0.0543631	0.0807654	0.20458	0.348536	0.151802	0.100396	0.0227949
a	0.00216368	0.000481213	0.00187875	0.00117378	0.0105366	0.00704943	0.116604	0.121501	0.13963	0.175773	0.1999	0.0526222	0.170688
l	0.000240122	0.000148235	0.000819113	0.000954424	0.00370675	0.00103588	0.0242582	0.0397399	0.0920887	0.140757	0.170036	0.0203242	0.505892
á	0.0022439	0.00257634	0.00398015	0.0139775	0.0149288	0.00792117	0.0155608	0.0357581	0.0514289	0.215116	0.146024	0.0190019	0.471483
m	0.00128295	0.00416987	0.00742615	0.00418134	0.0119713	0.00221803	0.0224127	0.02886	0.0345652	0.123047	0.294965	0.33708	0.127821
w	0.000152514	0.000131346	0.000463084	0.000218115	0.00138459	4.13251e-05	0.00164659	0.00418673	0.0039365	0.00986686	0.0203835	0.949462	0.00812719
é	4.18926e-05	4.34398e-06	1.23008e-05	7.5419e-06	2.97758e-05	1.18012e-05	7.608e-05	0.000239009	0.000194242	0.000732646	0.000839388	0.997021	0.000789571
s	0.000553974	0.00230866	0.000758747	0.000642516	0.00638477	0.00136552	0.0130082	0.0349747	0.0795141	0.0448405	0.118422	0.683918	0.0133092
é	0.000269783	0.00046985	0.000401028	0.000498918	0.00101087	0.00121887	0.00204315	0.00409594	0.00579258	0.0249897	0.0323787	0.881087	0.0457435
</S>	0.000975766	0.000482368	0.00104128	0.00285924	0.00656924	0.0022453	0.0115516	0.0216095	0.052489	0.117613	0.12575	0.0391252	0.617689
