 	il	ne	faut	pas	enflammer	la	savane	de	peur	que	le	hangar	du	récolteur	du	vin	de	palme	prenne	feu	</S>
k	0.00449942	0.00238067	0.00179658	0.00216346	0.000191199	0.00771804	0.00717004	0.0814158	0.241053	0.116736	0.15526	0.144403	0.0551636	0.0198525	0.0467525	0.00619706	0.0139001	0.0101356	0.0201645	0.020686	0.0423602
i	0.00137413	0.0115616	0.00784314	0.00723668	0.00652496	0.0116515	0.0408034	0.0580146	0.049542	0.228877	0.113297	0.0317572	0.144884	0.0878385	0.0246346	0.0390353	0.0130757	0.0577186	0.0412249	0.00279418	0.0203101
l	0.000207511	0.000702837	0.000415665	0.000365121	0.000517459	0.00291979	0.00908789	0.0171874	0.0191943	0.05655	0.0464024	0.0238714	0.274637	0.390957	0.0280952	0.0232616	0.00653909	0.0301669	0.028035	0.00433904	0.036548
i	0.000178253	0.000692627	0.00107614	0.000808732	0.0019907	0.00505025	0.0250583	0.0396933	0.0543949	0.124385	0.137218	0.0898301	0.127046	0.073079	0.0568305	0.0396727	0.0341031	0.0292883	0.0250113	0.000758481	0.133834
l	0.000651064	0.00220916	0.00328273	0.00367876	0.000577289	0.0146758	0.014233	0.0444191	0.0566256	0.0800992	0.127985	0.106849	0.177748	0.114465	0.119426	0.0275832	0.0227719	0.0140659	0.0105739	0.00613867	0.0519415
á	0.00232211	0.00621772	0.00233774	0.00297914	0.00239285	0.0209596	0.0236328	0.031297	0.0441449	0.0895741	0.101362	0.0586845	0.0382247	0.0467483	0.0918849	0.0755795	0.0764361	0.0275208	0.010411	0.00907935	0.238211
b	0.00111385	0.00200709	0.00296262	0.00325889	0.000390364	0.0089955	0.00539386	0.0644489	0.180099	0.0853422	0.120073	0.102602	0.0758027	0.0376611	0.0887757	0.0363613	0.0367216	0.0294038	0.0341418	0.0470978	0.0373479
a	0.00168031	0.021727	0.00465282	0.0055156	0.00109572	0.00970155	0.00488067	0.0259832	0.0646832	0.055616	0.0210646	0.018676	0.166316	0.396363	0.0341048	0.0653096	0.015133	0.0216523	0.0285766	0.0336969	0.00357132
l	0.000110678	0.000559942	0.000340101	0.00036851	0.00010857	0.00244773	0.00206718	0.0183722	0.0420843	0.0314444	0.0248366	0.0423966	0.243284	0.372955	0.0486051	0.0346534	0.0115493	0.0363669	0.0558746	0.0155367	0.0160379
e	8.912e-05	0.000262551	9.65919e-05	0.00036865	0.00121516	0.0021675	0.00858446	0.0157677	0.0392951	0.0773956	0.0826256	0.0819679	0.112539	0.110202	0.110155	0.0778795	0.0663454	0.0375969	0.0223805	0.000723106	0.152343
í	0.000233428	0.000729767	0.000924005	0.00188006	0.000410583	0.0094663	0.00722689	0.0199276	0.0183499	0.0328035	0.0415616	0.0289381	0.107142	0.0991968	0.353521	0.0883529	0.0804194	0.0418766	0.0147504	0.0084962	0.0437926
k	0.000703262	0.00185022	0.000920591	0.00313938	0.00350872	0.011167	0.00993938	0.0049401	0.0044011	0.0188405	0.0167346	0.00848082	0.0111013	0.0478848	0.20044	0.196881	0.196603	0.0717184	0.015893	0.0206884	0.154164
o	1.45239e-05	0.000481662	0.000343114	0.00175458	0.00189512	0.00830261	0.0107122	0.00367581	0.00247027	0.0154223	0.0187578	0.0127166	0.0535983	0.158672	0.0723601	0.284138	0.0932347	0.145346	0.041853	0.00331661	0.0709346
b	1.43417e-05	0.000170823	0.000228729	0.00135878	0.000861997	0.00922964	0.0125674	0.00634388	0.00227157	0.0133628	0.0159797	0.00863048	0.0772274	0.23124	0.104952	0.216442	0.0737889	0.124877	0.0303344	0.00174954	0.0683693
h	4.61713e-05	0.000215364	0.000172185	0.000795085	0.000593467	0.0114322	0.018046	0.0122529	0.00449896	0.0236412	0.0330669	0.0237813	0.0521214	0.0698949	0.0967387	0.0890327	0.0962864	0.141839	0.0314272	0.000496058	0.293622
í	9.8099e-05	0.000298876	0.00017921	0.000871469	0.000606159	0.00688445	0.00862922	0.0297321	0.0220869	0.0332871	0.0399724	0.0359816	0.112197	0.077199	0.10511	0.0565253	0.0799894	0.145434	0.141102	0.0045779	0.0992371
m	0.000227689	0.000369126	0.000295901	0.000469667	5.40802e-05	0.00148769	0.00102721	0.0085546	0.0261126	0.00829868	0.00816477	0.0109231	0.00528883	0.00672863	0.0941381	0.0493197	0.165708	0.0894301	0.200197	0.149164	0.174041
í	0.000231325	0.000126634	7.29206e-06	4.74461e-05	1.90079e-05	0.000154414	0.00022377	0.00404696	0.0151741	0.00377439	0.00242334	0.00159541	0.00339865	0.00376623	0.0114032	0.0158086	0.0274562	0.0154474	0.0963067	0.772846	0.0257427
á	2.79758e-05	6.53694e-05	2.07013e-05	0.000119606	2.84301e-05	0.000228217	0.000163195	0.00270484	0.0139955	0.00665592	0.00614715	0.00992511	0.00414946	0.00990082	0.0160342	0.0370993	0.0583976	0.074481	0.323192	0.372749	0.0639143
</S>	0.000113108	0.000104957	5.79234e-05	0.000131073	0.000155623	0.000447168	0.000649534	0.000800321	0.00119428	0.00183885	0.00199337	0.00108355	0.000730971	0.00332231	0.0201759	0.0285564	0.0680081	0.038946	0.0597192	0.0678579	0.704113
