 	cet	enfant	est	un	mauvais	garçon	c'	est	pourquoi	tous	ses	parents	n'	ont	pas	pu	l'	héberger	</S>
o	0.00128639	0.00021725	0.00515282	0.0161665	0.0214376	0.0163265	0.0636325	0.125905	0.316316	0.0914696	0.101868	0.0899922	0.037171	0.0137036	0.0206759	0.0275611	0.0107904	0.00403918	0.0362888
í	0.00215756	6.69481e-05	0.00473831	0.00476137	0.0239803	0.00729986	0.0632869	0.0588232	0.082111	0.183005	0.1851	0.165542	0.134717	0.0385974	0.018856	0.00719044	0.00722974	0.00106799	0.0114689
t	0.000594659	2.89955e-05	0.0156343	0.0154113	0.00573985	0.00198721	0.0404485	0.0358504	0.0484303	0.11981	0.159392	0.0549709	0.162633	0.175538	0.0883962	0.0325181	0.0243646	0.00714918	0.0111031
s	2.69657e-05	5.72698e-06	0.00353599	0.00743658	0.00128745	0.000312035	0.0166799	0.0405939	0.0412048	0.10859	0.121551	0.0512233	0.0486225	0.111587	0.180183	0.148608	0.0500265	0.0333466	0.0351777
ω	0.000127184	2.00247e-05	0.00243278	0.00694153	0.00397837	0.00105073	0.0197139	0.0468745	0.0699914	0.16005	0.149135	0.094548	0.0626586	0.0942858	0.124218	0.0805427	0.0423198	0.0156743	0.0254377
í	0.000251658	2.64578e-05	0.00372843	0.0046292	0.0159332	0.00637425	0.0396838	0.0428347	0.0429301	0.139825	0.126922	0.094645	0.161889	0.123125	0.0772738	0.0514967	0.0219637	0.00403483	0.0424338
m	0.00026651	3.32111e-05	0.00544761	0.00675721	0.00241188	0.00348061	0.0228164	0.0272474	0.0421746	0.0549435	0.101191	0.0582087	0.123251	0.235142	0.135657	0.0893187	0.0484	0.0104832	0.0327689
i	0.00238128	0.000766705	0.0136914	0.0183524	0.016059	0.0370223	0.0373947	0.0617775	0.0351131	0.0226099	0.094879	0.056905	0.153348	0.130833	0.0608731	0.110718	0.0710357	0.0266771	0.0495625
k	0.000150883	6.77912e-05	0.00302273	0.00638347	0.00287364	0.00353324	0.00642772	0.0155084	0.0192203	0.0160193	0.0866217	0.125015	0.0567813	0.151721	0.128955	0.290844	0.03987	0.0209964	0.0259888
ώ	1.36092e-05	4.26761e-05	0.0010204	0.00270513	0.000388919	0.000202532	0.00185002	0.00433856	0.00856258	0.0286272	0.0807325	0.0617374	0.026145	0.0728582	0.141628	0.491878	0.0143216	0.0390111	0.0239366
n	3.57771e-05	1.31264e-05	0.000169108	0.000442856	0.000815771	0.000136121	0.00105184	0.00323562	0.00766327	0.0164925	0.0376846	0.228397	0.0243575	0.0475583	0.0971529	0.422091	0.0361999	0.0406947	0.0358079
d	0.000201293	0.00014786	0.000578226	0.00111118	0.000443227	0.000449034	0.00300643	0.00626946	0.0430259	0.0575222	0.0952099	0.18076	0.0555794	0.0828825	0.128097	0.221165	0.0411181	0.0252895	0.0571433
ώ	0.00148538	0.000847462	0.00296906	0.00385501	0.00261424	0.00165193	0.0103299	0.0156211	0.121784	0.0953724	0.127338	0.161798	0.0505165	0.0512881	0.0826831	0.150783	0.0277409	0.0178059	0.0735166
o	0.00119955	3.63322e-05	0.000843615	0.000759412	0.00297386	0.000487521	0.00489578	0.00385752	0.0356208	0.0536178	0.073366	0.0661063	0.202866	0.138672	0.21049	0.0670628	0.102475	0.0160637	0.0186064
k	0.00032789	0.00012492	0.00496992	0.00766462	0.00370374	0.00236366	0.0112307	0.0084181	0.0154606	0.0212338	0.0420524	0.0113563	0.0786137	0.100624	0.156429	0.197296	0.159511	0.0950384	0.0835806
y	8.58786e-06	2.09254e-05	0.000321536	0.00120843	0.000237328	9.28699e-05	0.000790462	0.00164959	0.00294324	0.014494	0.0423983	0.0167096	0.0149062	0.0465182	0.261413	0.37386	0.0747911	0.0946787	0.0529578
έ	6.37709e-05	2.16029e-05	0.000520389	0.00149894	0.000730086	8.5144e-05	0.00125929	0.00295171	0.00494551	0.0199083	0.0432705	0.0140454	0.0229633	0.0260998	0.112337	0.474491	0.079276	0.117425	0.0781071
έ	6.6982e-05	4.00245e-06	0.000805108	0.00133705	0.00263163	0.000115276	0.00241272	0.00546042	0.0126664	0.0553985	0.0833711	0.053167	0.0582107	0.074366	0.153343	0.221658	0.107328	0.0466642	0.120993
l	0.000398802	1.08704e-05	0.00108459	0.000957414	0.00168417	0.000247398	0.00301825	0.00208823	0.00566792	0.0099395	0.0149298	0.00564186	0.0472325	0.0480436	0.161186	0.123088	0.275684	0.112268	0.186829
é	0.000169501	1.0673e-05	0.00085699	0.00175308	0.000537145	9.3467e-05	0.00348565	0.00362444	0.0114419	0.0214182	0.0428061	0.0143824	0.049662	0.0749412	0.172237	0.140734	0.142289	0.134007	0.185551
w	0.00111707	0.000109494	0.00138486	0.00217287	0.0101438	0.00106825	0.00548859	0.00395845	0.0167309	0.0142434	0.0307078	0.018287	0.0709621	0.0442613	0.0777554	0.0334918	0.316754	0.134382	0.216981
a	0.00382134	0.000315493	0.00251321	0.00587208	0.0099148	0.00051226	0.0075531	0.0103426	0.0301157	0.0396741	0.0574217	0.016834	0.109085	0.109969	0.140047	0.112131	0.150187	0.137953	0.0557372
</S>	0.000129636	2.3313e-05	9.76428e-05	0.000250114	0.000357458	6.71937e-05	0.000683859	0.000732543	0.00198374	0.00293204	0.00881559	0.00917692	0.0261344	0.0313907	0.0791188	0.0742734	0.314571	0.141259	0.308002
