 	sur	le	chemin	de	l'	école	les	jeunes	garçons	provoquent	les	jeunes	filles	</S>
b	0.00174495	0.000999778	0.00038122	0.037161	0.0423481	0.0635007	0.248116	0.350778	0.181527	0.0358934	0.0202517	0.0119416	0.00132799	0.00402898
á	0.000570246	0.00065729	0.00110894	0.00480088	0.00650933	0.0051438	0.0176825	0.135017	0.54068	0.263251	0.0141622	0.00556716	0.00153601	0.0033137
n	0.000307679	0.000140255	0.000105446	0.00149107	0.00218659	0.00361121	0.0202751	0.099187	0.662349	0.194236	0.00818103	0.0039162	0.000310742	0.00370207
a	0.0043711	0.00372775	0.000425864	0.0110311	0.0471557	0.0898269	0.210882	0.376876	0.0990915	0.0317852	0.026175	0.0249064	0.0012764	0.0724687
b	0.000682575	0.000494298	0.000994855	0.010705	0.0157086	0.0699659	0.157033	0.209956	0.165677	0.119659	0.158029	0.0614326	0.00588251	0.0237798
á	0.000746999	0.00266754	0.000989191	0.00608656	0.00582079	0.00552922	0.0234241	0.149804	0.248993	0.415471	0.062583	0.0513692	0.00400686	0.0225084
y	0.00187086	0.00139912	0.00162726	0.00435172	0.00363211	0.00620702	0.0240833	0.0895948	0.249635	0.339903	0.137141	0.0983621	0.0166288	0.0255635
ú	0.0073523	0.00597915	0.00219758	0.0154078	0.0464798	0.0634104	0.235905	0.172955	0.0143281	0.0243254	0.157068	0.101854	0.0810585	0.0716795
r	0.00105997	0.00121789	0.000352393	0.0109017	0.0192804	0.0203865	0.155758	0.0807346	0.00445962	0.00646933	0.244478	0.169044	0.130848	0.15501
u	0.00409788	0.00287577	0.00022714	0.0126105	0.031765	0.0195988	0.172576	0.105983	0.00786674	0.00598493	0.19833	0.200532	0.152653	0.0848993
ó	0.000549659	0.00021338	0.00025776	0.00254056	0.00309204	0.00993391	0.0217422	0.0191023	0.00691207	0.0177046	0.208895	0.235777	0.132692	0.340587
k	0.00146054	0.00413778	0.00936278	0.0174042	0.0132831	0.014148	0.0181707	0.013755	0.00124583	0.00863694	0.178248	0.279083	0.318422	0.122643
ó	0.00010086	0.000626489	0.00760043	0.0063466	0.00498915	0.00807962	0.00851387	0.0235131	0.00281873	0.0174735	0.231977	0.17992	0.417031	0.0910096
ó	0.000167286	0.000182839	0.00217042	0.00110757	0.000968957	0.00327345	0.0039485	0.0118915	0.00161206	0.00669621	0.155745	0.111952	0.565679	0.134604
y	0.00245435	0.00101607	0.00291987	0.00650289	0.00410362	0.0124243	0.0145441	0.0140151	0.00562951	0.0159549	0.192326	0.25071	0.182185	0.295214
a	0.00238706	0.00404051	0.0062789	0.0138897	0.0129992	0.0178589	0.0253698	0.0156453	0.00227368	0.00411665	0.120519	0.274379	0.280924	0.219319
l	0.00108104	0.000896916	0.000895365	0.00595336	0.00674379	0.00996068	0.0263303	0.0536263	0.0137286	0.00233928	0.041486	0.214161	0.28166	0.341137
e	0.00202647	0.00122864	0.000449529	0.00383953	0.00572443	0.0198266	0.0207574	0.019144	0.00473623	0.00615715	0.0677351	0.102372	0.137258	0.608745
k	5.81079e-05	0.000129463	0.000237545	0.000947253	0.00105742	0.00279712	0.00433025	0.00670712	0.0018384	0.00250278	0.0591471	0.0886475	0.454708	0.376892
ώ	0.000129638	0.000484075	0.00241129	0.00319106	0.00422871	0.00984846	0.00722506	0.0368164	0.00589418	0.00596627	0.0817932	0.163141	0.367797	0.311074
ώ	9.74215e-05	8.67694e-05	0.000685766	0.000358859	0.000421655	0.00156315	0.00169816	0.00913298	0.00497159	0.00366136	0.0351019	0.0586865	0.640608	0.242926
l	0.00316924	0.00106681	0.000479551	0.0165426	0.0151104	0.012819	0.0346492	0.0203869	0.00450961	0.00319511	0.114786	0.280911	0.132973	0.359402
i	0.000533476	0.000706047	0.000717815	0.00529135	0.0078309	0.0137191	0.0166953	0.0125444	0.00177532	0.0023994	0.0692946	0.174384	0.182872	0.511236
</S>	0.00340958	0.00137097	0.0010696	0.0112185	0.0106187	0.0244527	0.0388322	0.0424128	0.0139762	0.00299264	0.0361286	0.169401	0.117972	0.526144
