 	c'	est	l'	amant	de	sa	fille	qu'	il	a	battu	hier	</S>
á	0.00180021	0.000795266	0.00302224	0.00037873	0.0379303	0.185795	0.187043	0.240712	0.127795	0.0681954	0.0841564	0.000428514	0.061947
á	0.000834324	0.000571274	0.00241762	0.00199859	0.0204495	0.0573893	0.0221432	0.161395	0.304335	0.248367	0.113373	0.0276414	0.0390843
b	0.0022215	0.0044953	0.00593747	0.0117985	0.013355	0.0117424	0.0059226	0.0290047	0.105591	0.324005	0.298473	0.077087	0.110366
έ	0.000565121	0.00277932	0.00492524	0.00253858	0.0208422	0.0142863	0.00779124	0.0217306	0.172437	0.348581	0.22657	0.0326319	0.144322
r	0.000447609	0.000425645	0.00247379	0.0013574	0.010286	0.012447	0.00745907	0.0653812	0.192898	0.224809	0.227721	0.00933561	0.244959
í	0.0006334	0.000624499	0.00249634	0.00408518	0.00877346	0.0222024	0.00282203	0.072825	0.234751	0.249463	0.281658	0.0159007	0.103765
w	0.000971689	0.000379303	0.00310592	0.00096581	0.00557318	0.0310826	0.00311851	0.10081	0.124713	0.208656	0.262539	0.0777319	0.180353
á	0.00135512	0.00115639	0.0034261	0.00373572	0.0257007	0.0266218	0.00274178	0.109492	0.273936	0.16325	0.141532	0.170284	0.0767687
l	0.00169933	0.000445719	0.00260871	0.000732305	0.00834188	0.0213407	0.00546869	0.0740961	0.139812	0.0931047	0.146489	0.323986	0.181876
a	0.000367924	0.00043851	0.000984686	0.00299958	0.00503894	0.00291609	0.000830148	0.0169104	0.0368732	0.0776207	0.208378	0.370061	0.276581
a	0.000105278	7.79148e-05	0.00111088	0.000378697	0.00424529	0.00612666	0.000570075	0.0257654	0.0399906	0.0580859	0.142203	0.405026	0.316314
p	0.000610739	0.000807851	0.00387522	0.00309786	0.00808028	0.00727256	0.00117976	0.0264758	0.0331479	0.0677813	0.240189	0.12592	0.481562
ó	6.80402e-05	0.00023993	0.000549914	0.00183282	0.00271802	0.00169035	7.37586e-05	0.00235305	0.0122022	0.0228638	0.0337822	0.845953	0.0756733
a	4.45273e-05	5.92905e-05	0.000172848	0.00165016	0.00251669	0.00296071	0.000112893	0.0160014	0.0316591	0.0315613	0.0510311	0.757374	0.104856
</S>	0.000574221	0.000580349	0.00297317	0.00251628	0.011566	0.00877131	0.00101441	0.0357368	0.0569422	0.0907516	0.269793	0.139798	0.378983
