 	il	voudrait	partir	à	brazaville	mais	il	n'	a	pas	d'	argent	</S>
ε	4.11085e-05	9.31775e-05	0.0806682	0.219428	0.453222	0.158951	0.00546929	0.00591672	0.00280382	0.00617581	0.00403148	0.0344661	0.0287328
l	0.000131106	0.00346409	0.0955075	0.202674	0.11614	0.169824	0.0223536	0.0339436	0.0335307	0.0545268	0.0457642	0.047347	0.174795
έ	0.000100116	0.00150827	0.176822	0.298771	0.10246	0.169904	0.0206651	0.0281719	0.0267603	0.0617386	0.00691075	0.00671069	0.099477
n	0.00115815	0.0010201	0.0587909	0.126516	0.0997385	0.336968	0.130915	0.154512	0.0399321	0.0165659	0.00765397	0.00083563	0.0253939
d	0.00212694	0.00216818	0.0171431	0.063775	0.47754	0.238208	0.0858307	0.0205827	0.00662208	0.00318213	0.0128968	0.0109543	0.0589699
z	5.32878e-05	0.000103872	0.00805645	0.0197905	0.691717	0.215397	0.0174567	0.00658245	0.00387021	0.00396223	0.00485241	0.0076788	0.0204787
á	1.43789e-05	8.35855e-05	0.0405472	0.0775822	0.29657	0.434656	0.0162484	0.0171373	0.00683089	0.0132592	0.00757841	0.0293634	0.0601289
á	0.000194824	0.00135051	0.0168545	0.0662748	0.0239472	0.308151	0.0464424	0.10322	0.0718391	0.11896	0.0167217	0.00290934	0.223135
a	0.000908327	0.000852653	0.0040819	0.0100224	0.10231	0.16339	0.430539	0.164089	0.0564535	0.0187176	0.0305465	0.00567374	0.0124156
d	0.000712652	0.00897921	0.0213462	0.0223935	0.00955635	0.0411418	0.0498471	0.347264	0.23588	0.142501	0.0774272	0.00759305	0.0353577
i	0.000460695	0.00257358	0.00742812	0.00707509	0.0116931	0.084839	0.0348805	0.364424	0.0923517	0.0511845	0.0260339	0.0023559	0.3147
m	6.63212e-05	0.000144549	0.00384698	0.00461962	0.00898895	0.0564368	0.0376895	0.326483	0.207953	0.180944	0.103055	0.00565772	0.0641145
b	0.00013347	0.000106685	0.00679605	0.00986989	0.00685268	0.0696624	0.0722754	0.21164	0.142874	0.0806905	0.137891	0.133534	0.127673
ώ	7.34635e-05	0.000142537	0.00195567	0.0201558	0.0107591	0.0344838	0.0175094	0.0189475	0.024005	0.0329668	0.0628902	0.54228	0.233831
n	5.32545e-06	6.88418e-05	0.000913009	0.00845905	0.00313328	0.0431447	0.0677653	0.0738943	0.170976	0.143992	0.147659	0.125582	0.214407
g	3.25867e-05	0.000536271	0.00646307	0.0191386	0.0345689	0.106881	0.0638397	0.102973	0.115857	0.128067	0.102815	0.122751	0.196077
ω	1.30249e-05	0.000148849	0.00233228	0.034536	0.283322	0.0983592	0.0980362	0.0230659	0.0250626	0.0274403	0.0453908	0.176345	0.185948
k	1.69068e-05	9.54216e-05	0.000930954	0.00356799	0.00958579	0.0236106	0.0541588	0.065538	0.13257	0.183321	0.215912	0.0593317	0.251361
a	0.000290128	0.00393636	0.00476114	0.00679025	0.00115768	0.0122921	0.0302003	0.0855918	0.164522	0.367482	0.069492	0.00473116	0.248753
á	6.79901e-05	0.000780614	0.000731818	0.00155316	0.000435687	0.00766698	0.0264865	0.0643549	0.117792	0.226651	0.0557651	0.00810182	0.489612
</S>	0.000115354	0.000636241	0.00194442	0.00485569	0.00390835	0.00540751	0.0233779	0.0636427	0.069541	0.0565171	0.285223	0.0358234	0.449008
