 	si	tu	fais	du	mal	aux	autres	tu	n'	auras	pas	une	longue	vie	</S>
b	0.000718337	0.000130184	0.000618835	0.00461768	0.0167333	0.0669389	0.0319281	0.0250374	0.0526404	0.266596	0.123692	0.149866	0.0149599	0.0424475	0.203076
é	0.00516562	0.000215473	0.00112922	0.00513506	0.0247073	0.0705978	0.0677358	0.0118935	0.0210639	0.414643	0.0920096	0.100226	0.00170184	0.036198	0.147578
n	0.00126052	0.00102513	0.000768317	0.00184826	0.00251786	0.0125344	0.00796311	0.0486885	0.119225	0.13428	0.192216	0.239797	0.105871	0.0295887	0.102416
ω	0.0138623	0.0393729	0.00873511	0.00954478	0.0126988	0.0185217	0.0059739	0.110618	0.0213143	0.143731	0.0797039	0.105609	0.225792	0.0689858	0.135536
o	0.000340479	0.000922218	0.000290757	0.0012967	0.00458125	0.0114648	0.00476025	0.0604954	0.0191548	0.0392398	0.0692767	0.122404	0.27587	0.130074	0.259829
d	0.00101645	0.00145595	0.00695346	0.012981	0.00649005	0.0114552	0.00340576	0.022732	0.0834358	0.1276	0.1384	0.143467	0.236573	0.0990821	0.104952
í	0.000325814	0.000518286	0.00280713	0.00264677	0.00642421	0.00630891	0.00693161	0.00330977	0.0234134	0.0722962	0.0580335	0.0833979	0.285	0.07663	0.371957
o	3.77722e-05	0.00018097	0.00036503	0.00136642	0.00705707	0.0106218	0.00754759	0.0105578	0.0526402	0.05115	0.0830265	0.105459	0.366262	0.0576661	0.246062
d	0.000228348	0.00109174	0.00424574	0.00632934	0.00398834	0.00258642	0.00433959	0.00223986	0.00974058	0.0273702	0.0326641	0.0557567	0.201504	0.492464	0.155451
z	4.50987e-05	0.00030911	0.00150206	0.0018839	0.0013396	0.00163173	0.00172726	0.00134891	0.00861353	0.0265978	0.0329233	0.0606574	0.36936	0.113612	0.378449
á	0.000233005	0.000478222	0.00345456	0.0113236	0.00586415	0.011637	0.00441004	0.0115819	0.0437413	0.109598	0.12422	0.18886	0.16879	0.177132	0.138676
l	5.25205e-05	0.000118098	0.000104285	0.000405622	0.00271397	0.00388985	0.00356451	0.00595478	0.0352811	0.0247361	0.0540254	0.0682574	0.207989	0.0501066	0.542801
a	0.000226552	0.00047345	0.00087664	0.00135125	0.00156124	0.00265391	0.002222	0.00244673	0.0106624	0.0188153	0.0265254	0.0270727	0.122359	0.145528	0.637225
d	8.44594e-05	0.00041963	0.000340569	0.00205193	0.00414389	0.00564298	0.00159665	0.00755061	0.00733942	0.0222065	0.0436685	0.0584039	0.192957	0.407301	0.246293
z	0.000316563	0.000858805	0.001606	0.0020522	0.0038595	0.00369372	0.00152153	0.00112901	0.0014294	0.00630362	0.00728697	0.00847791	0.193273	0.351126	0.417066
ó	0.00156424	0.00108577	0.0028779	0.00656993	0.0103274	0.0105216	0.00316389	0.00647919	0.0124902	0.0492054	0.0601728	0.0612221	0.108827	0.379393	0.2861
l	6.15918e-06	2.07927e-05	9.333e-05	0.000350162	0.000673851	0.00175251	0.00236902	0.00481371	0.036693	0.0329643	0.0492278	0.0801965	0.0492316	0.162167	0.57944
a	2.18448e-05	8.05484e-05	0.000311875	0.00151733	0.00127779	0.00221128	0.00302004	0.00356352	0.0170016	0.0278729	0.0551783	0.0734637	0.114111	0.220095	0.480273
k	5.10699e-05	0.000159279	0.000281634	0.00127989	0.00122695	0.0028847	0.00204855	0.00436898	0.0171244	0.0283942	0.0414014	0.0592569	0.129138	0.172591	0.539794
a	0.000337425	0.000649585	0.00240378	0.00468528	0.00638059	0.00533692	0.0121577	0.00565004	0.0401986	0.032904	0.0787874	0.0587887	0.141114	0.116101	0.494505
á	0.000161065	0.000294022	0.000297901	0.000692159	0.00231952	0.00212843	0.00402285	0.00480895	0.0313308	0.0310824	0.0643481	0.0555944	0.0296706	0.0639522	0.709297
</S>	0.000701181	0.003798	0.00244531	0.00346626	0.01006	0.0232892	0.0120522	0.0156874	0.0205056	0.0416511	0.032294	0.022762	0.197042	0.0666007	0.547645
