 	la	manière	dont	elles	se	sont	disputées	toutes	les	trois	m'	a	attristé	</S>
í	0.00844359	0.0202973	0.225776	0.179007	0.0816612	0.0491493	0.0721781	0.0627508	0.0419988	0.0238386	0.0119743	0.00749366	0.0120931	0.203338
r	0.00160589	0.00536753	0.0849783	0.117806	0.22974	0.140417	0.210472	0.130431	0.0343877	0.0180703	0.00735565	0.00345789	0.00049228	0.0154177
í	0.00736593	0.0161317	0.0586821	0.0099456	0.197601	0.172272	0.148572	0.0624	0.0159222	0.00673293	0.103497	0.00541591	0.0747695	0.120691
b	0.00158627	0.00339088	0.0734556	0.0389999	0.284791	0.175065	0.172711	0.155561	0.0330755	0.0204746	0.0255464	0.00578655	0.00142839	0.00812703
á	0.00323782	0.000890236	0.00362226	0.228001	0.301013	0.1386	0.125384	0.109021	0.0569268	0.0264235	0.0029576	0.0022246	0.00030225	0.00139538
a	0.00258593	0.00101553	0.0257395	0.27992	0.168767	0.0700788	0.107357	0.194408	0.088231	0.0404275	0.0103962	0.00422541	0.000465621	0.00638233
á	0.00028994	0.000396999	0.00519018	0.0210919	0.124182	0.190105	0.109674	0.24295	0.157172	0.0953732	0.027924	0.0180607	0.000660931	0.00692878
s	0.000836135	0.000371323	0.00313644	0.0114152	0.103438	0.109383	0.0477915	0.0407447	0.206446	0.245338	0.0953197	0.106967	0.0045391	0.0242734
á	0.000450132	0.000257222	0.000998672	0.000512952	0.065336	0.105108	0.143544	0.0176842	0.0991363	0.132308	0.277034	0.0385382	0.0557301	0.0633619
r	0.00334194	0.00211782	0.00580523	0.00393095	0.140694	0.0767224	0.0345993	0.082116	0.179324	0.205009	0.177587	0.0254516	0.0292011	0.0340992
e	0.00244696	0.00177137	0.00711102	0.00107162	0.09912	0.0736808	0.055151	0.0586245	0.0647798	0.064327	0.45287	0.00711667	0.100192	0.0117374
é	0.000478556	0.00104591	0.0130149	0.00305623	0.110104	0.0415524	0.0139784	0.145137	0.174254	0.157933	0.21429	0.0793195	0.0106513	0.0351852
p	0.000756702	0.000522871	0.0019249	0.00401754	0.0254288	0.0187873	0.00792106	0.012336	0.0796722	0.190128	0.259555	0.349124	0.0279852	0.0218401
έ	0.000139634	0.000141614	0.000266271	0.00221289	0.00281297	0.00479211	0.00430905	0.0175742	0.0936326	0.203199	0.0985231	0.469515	0.0334682	0.0694139
ε	0.00113219	0.00073082	0.00367461	0.00966467	0.0390159	0.0216436	0.0132885	0.098247	0.123283	0.234545	0.127672	0.0974183	0.0350704	0.194614
n	0.00167598	0.00128894	0.0053976	0.00519365	0.0201772	0.012782	0.00449995	0.0228705	0.0900894	0.153424	0.313022	0.22725	0.0446413	0.0976881
g	0.000978922	0.00094332	0.00156679	0.000248588	0.00554561	0.00458749	0.00253184	0.0043546	0.00853084	0.0100182	0.421139	0.0142712	0.488279	0.0370045
á	9.62078e-05	0.000329059	0.00163555	0.000981336	0.0105628	0.00613263	0.00667331	0.0355868	0.0364293	0.0358288	0.367238	0.0353141	0.406678	0.0565138
n	0.000638677	0.000471769	0.00267231	0.00296622	0.0128687	0.00726883	0.00347921	0.0174239	0.0473864	0.133101	0.270525	0.224811	0.214592	0.0617956
y	0.00131382	0.00100429	0.00260717	0.000744271	0.00932931	0.00409417	0.00232145	0.00515473	0.00936829	0.01268	0.348091	0.0289393	0.503095	0.0712574
i	0.000533062	0.000803311	0.000928983	0.00012521	0.00236751	0.00160222	0.00197182	0.00200233	0.00455952	0.0052528	0.183216	0.00838199	0.734764	0.0534914
n	6.70241e-05	6.14486e-05	0.000242275	0.000206527	0.00191924	0.00251161	0.00293399	0.00429773	0.00921295	0.0211709	0.147648	0.0396942	0.691387	0.0786469
g	0.000819012	0.0004344	0.000367491	0.00018791	0.00161507	0.00391175	0.00480374	0.00855764	0.0467654	0.0347063	0.0533166	0.0924205	0.110105	0.641989
a	0.000687257	0.00100036	0.000468334	0.000408293	0.00427943	0.00591046	0.00409437	0.0339627	0.032094	0.0264348	0.119429	0.0559438	0.511304	0.203984
</S>	0.000672873	0.000668794	0.00164277	0.00170052	0.00410043	0.00278784	0.0012094	0.0100112	0.021414	0.0314572	0.153989	0.111541	0.205655	0.45315
