 	je	garde	rancune	contre	les	habitants	de	ce	village	qui	ont	refusé	de	m'	emmener	à	l'	hopital	lorsque	j'	étais	malade	</S>
y	4.40922e-05	0.00100907	0.000460362	0.00355545	0.00443036	0.00784002	0.0930863	0.0978033	0.0061163	0.144203	0.210184	0.160003	0.122128	0.0182166	0.0588014	0.0283169	0.0185867	0.000855998	0.00455556	0.00282782	0.00719235	0.000536856	0.00924644
é	0.000135208	0.00377464	0.00106962	0.00310517	0.00592302	0.00710877	0.0364009	0.0523657	0.0457585	0.177428	0.198988	0.183923	0.12338	0.0266645	0.0665553	0.0243874	0.0128237	0.00739672	0.00498384	0.00684845	0.00575645	0.000969532	0.00425348
b	0.000290415	0.00173452	0.00011227	0.00159202	0.00174912	0.00244823	0.0100961	0.0470942	0.023641	0.194103	0.108105	0.198025	0.18571	0.0902363	0.0727825	0.0184901	0.0160588	0.00222107	0.00649598	0.00729943	0.00383372	0.0010496	0.00683136
á	0.000587673	0.000395492	0.000840133	0.00577942	0.00352414	0.00635053	0.0165724	0.0114044	0.0026109	0.00623936	0.259971	0.121302	0.0738706	0.0248291	0.406044	0.0309139	0.0114242	0.00264448	0.00685778	0.00207655	0.000825806	0.00200797	0.0029269
á	0.000698204	0.000129928	7.63258e-05	0.00399233	0.0030377	0.00613631	0.0229874	0.0293904	0.0217141	0.0153132	0.119693	0.0694334	0.109492	0.0748101	0.463647	0.0153733	0.0106078	0.00109364	0.0057983	0.00601843	0.00189316	0.000997917	0.0176664
t	9.96807e-05	0.000292167	0.000157732	0.00163964	0.00254614	0.00273221	0.0217747	0.0265877	0.00209131	0.0285959	0.20281	0.0765914	0.153042	0.0643745	0.137449	0.108391	0.0629988	0.00176407	0.0144767	0.0086502	0.0221159	0.00105409	0.0597655
ó	2.67461e-05	3.73648e-05	0.00634418	0.00159755	0.00203519	0.00108572	0.00908376	0.00636777	0.0407249	0.0149281	0.0942006	0.157967	0.157125	0.0122331	0.239692	0.0394804	0.0345875	0.0962258	0.0408528	0.00208713	0.00871606	0.0164177	0.0181845
n	1.66666e-05	0.000108998	0.000979367	0.0010235	0.00124454	0.00130486	0.00785602	0.00702222	0.077897	0.0187433	0.0405443	0.188974	0.211518	0.0124765	0.175829	0.0425551	0.0375027	0.0725579	0.0321497	0.00255251	0.0150212	0.00867748	0.0434445
í	0.000138509	0.000185733	0.00269406	0.00552952	0.00568851	0.00597161	0.0257208	0.0227254	0.0489722	0.0369781	0.0748323	0.307472	0.156512	0.0258053	0.156352	0.0242883	0.0190979	0.0113485	0.0129156	0.00184187	0.00568938	0.00972338	0.0395178
o	4.53772e-05	6.01138e-05	0.000100246	0.000709243	0.00213783	0.00283537	0.0233448	0.0652665	0.012101	0.137268	0.0867222	0.0692152	0.20694	0.0666441	0.0945636	0.0947928	0.0651983	0.0118873	0.0284428	0.0105246	0.0143788	0.00120966	0.00561185
b	2.19282e-05	0.00513182	0.00582871	0.00378644	0.00208148	0.000950121	0.00600249	0.00289468	0.00521964	0.00379223	0.040598	0.0785672	0.0759648	0.0190319	0.123407	0.18499	0.078746	0.237676	0.0352672	0.00346748	0.0703273	0.0106552	0.0055926
é	4.37735e-06	0.000359228	0.00518228	0.00800779	0.00295579	0.00168695	0.00575315	0.0036939	0.000762605	0.00274073	0.0504664	0.0919376	0.124196	0.0100343	0.33901	0.120326	0.0579166	0.0581738	0.0509755	0.00155635	0.0126006	0.0365242	0.0151364
r	1.1917e-06	0.000106617	0.00283833	0.00169723	0.000801125	0.000635347	0.00289363	0.00144985	0.00979789	0.00428351	0.0284536	0.0663359	0.125301	0.0132348	0.245221	0.0876524	0.0573099	0.134114	0.0705723	0.00288034	0.0377488	0.0246553	0.0820161
á	5.34563e-05	0.000108927	0.00133224	0.00133962	0.00191289	0.00192645	0.0084634	0.0218977	0.0173479	0.0255813	0.0410532	0.127294	0.137626	0.107662	0.173729	0.0764332	0.0832041	0.038431	0.0384089	0.0109674	0.017004	0.0205559	0.0476675
n	0.000140035	0.000100833	7.50927e-05	0.000529204	0.000775034	0.000847165	0.0022738	0.00512941	0.00361227	0.00842658	0.0110178	0.00707162	0.0619057	0.164645	0.053887	0.20706	0.171574	0.0457142	0.105008	0.0812103	0.0512708	0.00404381	0.0136826
g	0.000896686	2.80811e-05	8.86277e-06	0.000210659	0.000563952	0.00126802	0.00127009	0.00312181	0.000318303	0.00383251	0.00153872	0.0271854	0.0183308	0.789656	0.0110731	0.0237239	0.0335533	0.0013128	0.0117946	0.0589829	0.00303039	0.00130356	0.00699511
á	0.00059874	6.93863e-05	1.13552e-05	8.36043e-05	0.000221926	0.000307128	0.000585837	0.00138402	0.000405375	0.00653303	0.00305992	0.0368924	0.0174993	0.726578	0.0138571	0.0153705	0.0286552	0.00261901	0.0128291	0.123035	0.00329969	0.00216177	0.00394237
o	1.23791e-05	2.15225e-05	3.0906e-05	0.000388045	0.00059548	0.000540235	0.00228089	0.00582281	0.00170674	0.00710302	0.0091453	0.00682607	0.0839874	0.0623782	0.0407253	0.209751	0.274304	0.0310407	0.139826	0.0355173	0.0616495	0.0104546	0.0158929
p	4.34149e-06	0.00105702	0.0021153	0.00221	0.00106364	0.000630202	0.00186828	0.000790562	0.000406414	0.000469589	0.00252638	0.00970976	0.0200057	0.00908221	0.0226493	0.157262	0.107037	0.162385	0.131916	0.0188819	0.252043	0.0818726	0.0140131
i	2.40873e-07	6.38554e-06	0.00146536	0.00019776	7.0817e-05	2.34345e-05	9.11449e-05	5.52911e-05	0.00171806	0.000200225	0.000794852	0.00500365	0.0045183	0.000400883	0.00479451	0.00649273	0.0120326	0.768927	0.0458404	0.000692161	0.0227371	0.111755	0.012182
t	1.96975e-06	3.62774e-05	0.00187477	0.000441496	0.000158338	6.09875e-05	0.000183693	0.000110852	0.00641565	0.000697926	0.00212866	0.0102295	0.0183959	0.00142291	0.0267256	0.0144435	0.0206567	0.708472	0.073582	0.00252821	0.0404018	0.053729	0.0173023
á	2.11764e-05	4.39326e-05	0.000616813	0.000225221	0.000201313	0.000149968	0.000743588	0.00107804	0.00567631	0.00183394	0.00514456	0.0086065	0.00920567	0.0036675	0.0167562	0.0217067	0.0300948	0.544997	0.0571952	0.00421177	0.0640725	0.18143	0.042321
á	2.62585e-05	3.16107e-05	8.83702e-05	0.000362945	0.000705604	0.000773659	0.00303054	0.00885209	0.00477581	0.00985231	0.00953384	0.00420998	0.0405372	0.0514291	0.0318102	0.132215	0.108534	0.143346	0.164225	0.103113	0.104988	0.0111912	0.0663687
l	0.000176345	0.000273093	0.00014531	0.00131168	0.00241302	0.00343179	0.00604765	0.0112909	0.000400026	0.00599283	0.00666387	0.00311649	0.0160008	0.0860168	0.00913094	0.113217	0.0830837	0.00618234	0.108495	0.31879	0.104139	0.0145907	0.0990905
e	8.51129e-05	0.000391389	0.000369203	0.00109	0.0013302	0.00150865	0.00476306	0.00657274	0.000270951	0.00154751	0.0031067	0.00416187	0.00808754	0.0286148	0.00283323	0.0849815	0.0885245	0.0205723	0.141221	0.155067	0.186859	0.062757	0.195284
é	2.7503e-06	5.5471e-05	1.71314e-05	0.000159865	0.000229544	0.000183856	0.0009838	0.00473387	0.000741407	0.00434958	0.00131416	0.00280241	0.0216457	0.0304919	0.00426138	0.0572828	0.0862234	0.0444794	0.25888	0.0872298	0.0975751	0.0471069	0.249249
d	8.71044e-06	0.000395993	0.000483083	0.0017071	0.00122556	0.000844583	0.00276588	0.00169526	9.26714e-05	0.000349973	0.00189581	0.00346917	0.00617772	0.00927852	0.00342434	0.058427	0.0687945	0.0201929	0.140141	0.0461787	0.264814	0.134738	0.2329
z	3.31993e-06	0.000958074	0.00023638	0.000591626	0.000908655	0.00158522	0.00153546	0.000976144	4.64087e-05	0.000406907	0.00134506	0.00191249	0.00440138	0.00926262	0.00196234	0.0640323	0.0380925	0.00974541	0.0632184	0.0686425	0.288861	0.0770948	0.364181
e	3.00314e-05	0.0010127	0.000743457	0.00123145	0.00300544	0.00613115	0.00240183	0.00302194	0.000634554	0.00132571	0.00209605	0.00263319	0.0171794	0.0112088	0.00222795	0.0803663	0.045231	0.0989764	0.0813585	0.0197609	0.411304	0.0691432	0.138976
n	4.44358e-06	9.05401e-05	0.000114497	0.00030458	0.000191101	0.000213631	0.000364824	0.000602723	0.00057646	0.00193326	0.00183921	0.00262697	0.0157636	0.0127271	0.00933459	0.0423635	0.0422598	0.109089	0.143431	0.0551538	0.149832	0.181638	0.229547
g	2.36855e-05	1.86684e-05	0.000130536	0.000218823	0.000406855	0.000583323	0.0008136	0.0018161	0.00146971	0.00248018	0.0013631	0.00663131	0.0128499	0.0591929	0.00855866	0.029187	0.0569834	0.0566055	0.114595	0.105239	0.073804	0.222341	0.244688
á	4.68753e-05	2.76222e-05	4.27894e-05	7.29564e-05	0.000210146	0.000232906	0.000818481	0.00133975	0.000543556	0.00599447	0.0018051	0.0216158	0.0125632	0.123406	0.00315854	0.0193359	0.0433994	0.0122807	0.0882782	0.326744	0.0444707	0.126014	0.167599
l	1.90397e-06	1.23306e-05	3.16184e-05	0.000193794	0.000275016	0.000180557	0.00104002	0.00335081	0.00105381	0.00237114	0.0014805	0.00158789	0.0236546	0.0198938	0.00455012	0.0608013	0.0980853	0.0660255	0.221124	0.0635809	0.0916011	0.0515356	0.287569
i	2.98018e-05	5.85005e-05	0.000394296	0.000309942	0.000535291	0.000557355	0.00269946	0.00397064	0.00080827	0.00158183	0.00327955	0.00376574	0.006016	0.0302845	0.00307372	0.04486	0.0630186	0.0368524	0.0939952	0.116599	0.124505	0.120081	0.342723
k	2.46592e-06	4.65425e-05	3.15474e-05	0.000129888	0.000147513	0.00012938	0.000578493	0.00206142	0.000533075	0.00133086	0.000466747	0.00120187	0.00570662	0.00537733	0.0011335	0.0186489	0.0325943	0.0471118	0.10949	0.0157443	0.0663162	0.168563	0.522654
ω	1.37341e-06	1.95868e-06	0.000255328	0.000260925	0.000128957	8.17478e-05	0.000424662	0.000292142	0.000805037	0.000491942	0.000898375	0.00201842	0.0031888	0.000733505	0.00177527	0.009308	0.0150124	0.0558405	0.0748945	0.00457294	0.0327192	0.689497	0.106797
n	1.34666e-05	3.39575e-06	0.000255049	0.000105381	6.06572e-05	4.9078e-05	7.24757e-05	7.43431e-05	0.000465903	0.000590869	0.000741638	0.0044435	0.0103356	0.00287376	0.00583668	0.00747784	0.0130228	0.168446	0.0997809	0.00692831	0.0124447	0.63581	0.0301672
í	1.75412e-05	2.18105e-05	0.00100925	0.000176314	0.000211037	0.000286431	0.000454288	0.000434705	0.000812493	0.000780884	0.00120776	0.0055922	0.00669569	0.00432253	0.00266497	0.00959153	0.0249137	0.104315	0.071357	0.00924544	0.031026	0.676373	0.0484906
</S>	7.89676e-05	4.00874e-05	7.93491e-05	0.000762245	0.000653859	0.000822897	0.00210147	0.00639142	0.00402311	0.00601704	0.00193969	0.00224465	0.0268245	0.0387417	0.00707483	0.0477016	0.0700661	0.0455218	0.129123	0.130141	0.0707836	0.0504103	0.358457
