 	dans	la	ville	de	boundji	une	gerbe	d'	arachide	coûte	cent	francs	</S>
á	0.00264572	0.00510722	0.0275096	0.04074	0.088574	0.16837	0.527748	0.0446275	0.0601584	0.0187515	0.00227729	0.0047288	0.00876184
n	0.00436489	0.0021755	0.0136012	0.0521866	0.0340951	0.316251	0.249376	0.154014	0.0668335	0.0239682	0.0210147	0.00568744	0.0564315
d	0.00132323	0.00483049	0.0781242	0.0631346	0.0415041	0.127316	0.554797	0.0556621	0.0460168	0.0046877	0.0144885	0.000400856	0.00771366
z	0.000242382	0.00103404	0.0838235	0.0220783	0.020544	0.104521	0.532889	0.0428236	0.156721	0.00420463	0.00592377	0.00107556	0.0241186
o	0.000701062	0.0049227	0.132183	0.0419945	0.163204	0.116171	0.231908	0.0603259	0.162822	0.0151146	0.00645067	0.0037803	0.0604226
ó	0.00140067	0.00890278	0.0401395	0.0664751	0.130667	0.197442	0.148433	0.122804	0.0858199	0.0811505	0.0232055	0.00401349	0.0895465
y	0.00145084	0.00313971	0.00654024	0.0557645	0.00906682	0.119993	0.169203	0.41903	0.131805	0.0443986	0.0194452	0.00137462	0.0187889
é	0.00366225	0.00620801	0.0180856	0.0289707	0.00652201	0.0732204	0.377147	0.177152	0.236606	0.0509226	0.00969935	0.00252541	0.00927885
e	0.00222179	0.00213722	0.00577547	0.0210841	0.00257373	0.0372376	0.125032	0.274775	0.278902	0.159322	0.0426361	0.00560569	0.0426974
d	0.000767453	0.00468628	0.00108456	0.00399408	0.00878407	0.00959881	0.152711	0.0827986	0.183071	0.4593	0.0317533	0.0210505	0.0404001
z	0.000646291	0.00268522	0.00113827	0.00651723	0.0028323	0.0148204	0.248622	0.0823784	0.0786727	0.399991	0.0397882	0.0252194	0.0966878
w	0.0022402	0.00341093	0.00339745	0.00954523	0.00333186	0.0357209	0.120097	0.180899	0.336575	0.256467	0.0122968	0.00668788	0.0293315
á	0.011682	0.00354175	0.00551902	0.00549772	0.00657138	0.0139899	0.0315646	0.0821834	0.22208	0.37858	0.0571628	0.0162113	0.165416
i	0.000795444	0.000667931	0.00350906	0.00456664	0.00345318	0.0101602	0.0165794	0.144465	0.237376	0.267871	0.172638	0.0710661	0.0668526
d	0.000234731	0.000465185	0.000299857	0.00053558	0.00216355	0.00137752	0.00506567	0.0174038	0.0630914	0.400698	0.138935	0.199692	0.170037
z	0.000262943	0.00137378	0.000895377	0.00190962	0.00206179	0.00215122	0.0227602	0.00737563	0.0314178	0.567212	0.139465	0.0708904	0.152225
ó	0.000779835	0.000677389	0.000727276	0.00158272	0.00152717	0.00365833	0.00598402	0.0137489	0.0807885	0.600666	0.0433761	0.176964	0.0695207
m	5.97284e-05	0.00012209	0.000151252	0.000708963	0.00135118	0.00303451	0.0179121	0.0162018	0.0248483	0.397038	0.13552	0.216405	0.186647
i	0.000150584	0.000498498	0.000541038	0.00172321	0.00207329	0.00482766	0.00210327	0.0197662	0.0341161	0.451123	0.133949	0.137823	0.211306
í	0.000373495	0.00044458	0.000338109	0.0016401	0.00106265	0.00290494	0.0019465	0.0177702	0.0120188	0.105785	0.324147	0.0609307	0.470637
b	0.00070611	0.00135855	0.000693884	0.00686213	0.00441514	0.00871	0.0182077	0.0152963	0.0131748	0.122923	0.564253	0.111328	0.132071
a	0.000710622	0.00235415	0.000654538	0.00811587	0.00630441	0.00458497	0.00328687	0.0143795	0.00534469	0.151862	0.302661	0.331027	0.168715
a	0.000294642	0.000791889	0.000397973	0.00184456	0.00104418	0.00108246	0.00337141	0.00509143	0.00505754	0.0733469	0.151949	0.29362	0.462108
</S>	0.000436472	0.00067872	0.000590806	0.0025541	0.000741392	0.00302807	0.00289922	0.00865365	0.00810218	0.0850605	0.514778	0.123426	0.249051
