 	autant	hier	j'	étais	heureux	autant	je	suis	triste	aujourd'	hui	</S>
a	0.000474631	0.0141751	0.00611569	0.00646015	0.0526453	0.174997	0.0368116	0.287363	0.0366515	0.0824194	0.131029	0.170858
n	0.00319928	0.000764665	0.00481672	0.00291646	0.0064655	0.126248	0.118674	0.396855	0.0694018	0.186282	0.032216	0.0521609
d	0.00380569	8.78061e-05	0.00441474	0.00121061	0.002454	0.0311203	0.671526	0.0522642	0.225196	0.00551285	5.35286e-05	0.00235435
é	0.000959679	0.000109786	0.00384821	0.00126733	0.00702816	0.028233	0.530857	0.0358292	0.382603	0.00466118	6.84491e-05	0.00453507
n	0.000121967	0.000444724	0.00664646	0.00439275	0.0424668	0.0797702	0.0663142	0.232744	0.448108	0.0998777	0.000976242	0.0181368
g	0.000638244	0.000899428	0.00206087	0.00497696	0.017612	0.0595096	0.0898128	0.226649	0.456279	0.0981697	0.00168984	0.0417028
é	0.000713867	0.00019235	0.0124205	0.00176782	0.0037295	0.0622522	0.312592	0.0224735	0.563045	0.0118573	0.000539443	0.008416
y	0.000946262	0.000580712	0.00459423	0.00224057	0.00435914	0.0900661	0.0572461	0.217724	0.160407	0.36372	0.0246559	0.0734602
é	0.00638663	0.00928044	0.0300219	0.00513844	0.010057	0.111125	0.0713652	0.266895	0.121202	0.245782	0.0443156	0.0784304
é	0.00182184	0.00112737	0.0171487	0.00149871	0.00615403	0.090466	0.0441833	0.189261	0.156403	0.277621	0.119466	0.0948492
d	0.000487274	0.00253973	0.00511332	0.00435611	0.0269443	0.0177064	0.0181529	0.150588	0.213817	0.361361	0.11074	0.0881938
i	0.000285018	0.000872211	0.00159139	0.00316111	0.0161156	0.0122549	0.00466041	0.17797	0.149717	0.201094	0.021797	0.410481
n	0.000125334	0.000149196	0.000851033	0.0032116	0.00403821	0.0176953	0.00535229	0.134291	0.0824764	0.353619	0.0370557	0.361135
g	0.000939894	5.31954e-05	0.00150204	0.000737638	0.00321433	0.0332256	0.127837	0.0782671	0.591499	0.107142	0.00342738	0.0521546
á	0.000160717	5.93488e-05	0.00283613	0.000456176	0.00507713	0.0412364	0.102086	0.0456237	0.710036	0.0595492	0.00240077	0.0304788
l	0.000222317	0.000155992	0.000377541	0.00157463	0.000786773	0.0314223	0.0147886	0.0483314	0.0746939	0.376222	0.169963	0.281462
a	0.000879117	0.000739691	0.00174553	0.00071972	0.00470547	0.0103367	0.0149054	0.0436949	0.159136	0.20036	0.121986	0.440791
n	0.000584863	0.000806616	0.00505929	0.000944397	0.00902876	0.0243694	0.0122241	0.0307851	0.0655668	0.180331	0.248164	0.422135
y	0.00243667	8.07102e-05	0.00724698	0.000644129	0.00202391	0.0127973	0.0813858	0.0146601	0.789837	0.036295	0.0057035	0.0468894
i	0.0065106	9.95182e-05	0.0165069	0.0003885	0.00139654	0.0119455	0.135327	0.0141454	0.759362	0.0221318	0.00573736	0.0264485
n	0.000181098	7.16571e-05	0.000678647	0.000716533	0.0016349	0.00469224	0.0167931	0.029932	0.882758	0.0291578	0.00105506	0.0323284
g	0.000420449	0.000971281	0.000164305	0.00157431	0.00204314	0.0102805	0.00417727	0.077557	0.157971	0.309503	0.0209266	0.414412
a	0.00113654	0.000470097	0.00164043	0.000670794	0.00153368	0.0452206	0.0321486	0.105378	0.355875	0.232031	0.0272224	0.196673
p	0.00382258	0.00143071	0.00290817	0.00383232	0.00228856	0.0214951	0.0168253	0.067875	0.0546462	0.224267	0.0600517	0.540558
á	0.000262302	0.00264184	0.00188787	3.85162e-05	0.000266012	0.00389267	0.000910267	0.00814987	0.00546107	0.0404206	0.810776	0.125293
b	0.000582455	0.0071537	0.00655786	8.2187e-05	0.00361052	0.00499461	0.00238697	0.0054687	0.00493112	0.0188157	0.720835	0.224582
h	8.76528e-05	0.000361076	0.000154805	1.56756e-05	0.000263233	0.000986725	0.000355569	0.00549854	0.0140473	0.057486	0.343197	0.577547
a	0.000184666	0.00128607	0.000544262	0.000167907	0.00125451	0.00577131	0.00132952	0.0150573	0.0284176	0.0428004	0.241973	0.661213
</S>	0.00320988	0.0023857	0.00386734	0.00223797	0.00287413	0.0191211	0.00403803	0.0629474	0.0483203	0.186724	0.104784	0.559489
