 	son	camarade	lui	a	donné	un	coup	de	poing	à	la	pomme	d'	adam	</S>
m	0.00188742	1.58352e-05	0.00079497	0.000454704	0.00131128	0.00191228	0.000156627	0.0891875	0.0106236	0.529464	0.25023	0.0363835	0.048716	0.00772191	0.0211407
í	0.015647	0.00114614	0.00209337	0.000738764	0.000742373	0.00211413	6.39129e-05	0.0174828	0.00928302	0.104122	0.250945	0.121511	0.100682	0.0544865	0.318942
b	0.00247729	0.00221315	0.00215859	0.00217099	0.00197619	0.00224377	0.00116357	0.0184226	0.0337342	0.0704016	0.217501	0.31925	0.0645454	0.232744	0.028998
e	0.00419938	0.0243971	0.00116474	0.00177301	0.00310196	0.00180936	0.000678344	0.020551	0.0341387	0.0559994	0.149675	0.330584	0.0485182	0.284021	0.0393891
s	0.000390211	0.00113494	0.000262782	0.000386787	0.00105287	0.00108344	0.000404383	0.00651649	0.0942179	0.0429751	0.157585	0.57241	0.0175427	0.0491129	0.054925
í	0.000369487	3.31839e-05	3.0459e-05	3.43385e-05	0.000326893	0.000929919	0.000351282	0.00329001	0.0309093	0.0552878	0.264141	0.272072	0.0760109	0.0784092	0.217805
l	0.00208251	5.23681e-05	0.00160378	0.00186183	0.00282468	0.00208364	0.000753652	0.0110947	0.00143961	0.0821121	0.0967594	0.215169	0.287875	0.0743189	0.219968
ó	0.00477873	0.000159644	0.000637279	0.00202147	0.00363342	0.00352281	0.0100264	0.0146248	0.00480699	0.0280743	0.0571399	0.143623	0.273792	0.142052	0.311107
n	0.0325013	0.000759917	0.00442709	0.00178841	0.000690146	0.00111716	0.000227643	0.00812534	0.00315059	0.00638877	0.0177857	0.018789	0.136564	0.679143	0.0885422
g	0.010668	0.000785297	0.000210076	0.000147139	0.000110486	0.00027742	0.000147154	0.00135079	0.000811189	0.00265297	0.00482117	0.00331981	0.0361698	0.920085	0.0184435
o	0.00198525	0.000592788	0.000198109	9.38707e-05	6.33512e-05	0.000120202	0.000189082	0.000472974	0.00125324	0.00185059	0.00768541	0.00368647	0.0362941	0.896245	0.0492693
n	0.000516777	0.000268527	2.28762e-05	1.13517e-05	1.25172e-05	7.2614e-05	4.35287e-05	0.00010018	0.00217977	0.000686692	0.00658264	0.00720047	0.00827977	0.938018	0.0360045
g	0.00220481	0.000547961	0.000454175	0.000320879	0.000513164	0.00262858	0.000395611	0.00268054	0.00618248	0.00739945	0.0387009	0.0308617	0.0572639	0.30289	0.546956
a	0.00479388	0.000289406	0.000769809	8.29675e-05	0.000101458	0.000288076	8.88591e-05	0.00106556	0.00827199	0.00293388	0.0151976	0.00484831	0.0382059	0.507292	0.41577
</S>	0.00499517	0.000191989	0.00384178	0.00344499	0.00350674	0.00208995	0.000240499	0.00820194	0.000919388	0.0325022	0.0408874	0.0220208	0.213388	0.217757	0.446012
