 	les	ressortissants	de	mbesse	polluent	les	ruisseaux	avec	la	plante	lembáa	en	vue	de	tuer	du	poisson	</S>
m	0.000893029	0.00125645	0.00430522	0.000390124	0.00337772	0.022355	0.00283339	0.0230245	0.0185827	0.0188017	0.107964	0.151961	0.0228309	0.20695	0.0527038	0.130914	0.0648084	0.166047
í	0.00338051	0.00576808	0.00452052	0.000931678	0.000153288	0.0106833	0.0168909	0.0342081	0.0351057	0.0270126	0.12561	0.231593	0.0794744	0.0600002	0.0204053	0.0972925	0.141199	0.10577
b	0.00126134	0.0019587	0.0121384	0.000348294	0.00265472	0.0149378	0.00839303	0.0346299	0.0410027	0.0502622	0.0586199	0.0790361	0.0517428	0.11216	0.128612	0.117197	0.167067	0.117978
o	0.00214281	0.0063224	0.00712601	0.000437981	0.00585773	0.00845909	0.0140468	0.0137377	0.0142393	0.0167465	0.0138919	0.0135745	0.187589	0.0844996	0.514511	0.0449365	0.0212848	0.0305971
m	0.000212953	0.00193633	0.00056193	0.00014217	0.00132329	0.00308867	0.0193433	0.00634533	0.00811104	0.0382983	0.00424756	0.00940078	0.0960209	0.0811965	0.631109	0.0321617	0.0176918	0.0488085
a	0.00398285	0.00617242	0.00275039	0.000536312	0.000748522	0.00858774	0.015956	0.0405702	0.0596552	0.0927297	0.181585	0.12916	0.0568981	0.0688201	0.0375923	0.118411	0.101271	0.0745738
l	0.00169717	0.00078217	0.00291885	0.000136128	0.000413531	0.00701537	0.00383536	0.0138135	0.0157031	0.0108223	0.0132427	0.0429984	0.00879315	0.0777285	0.0720293	0.17085	0.0165302	0.54069
á	0.00178867	0.00514423	0.00185503	0.000170408	0.0110911	0.0144456	0.0216118	0.0310175	0.0247611	0.0195894	0.0172014	0.00914295	0.00591185	0.0381441	0.0797279	0.174479	0.224941	0.318977
s	0.00606952	0.004232	0.0255618	0.00161912	0.00130799	0.0109208	0.00433484	0.0167811	0.0172605	0.0134313	0.0232877	0.0881598	0.00563098	0.0325858	0.00941877	0.185538	0.304656	0.249204
w	0.000366382	0.00305854	0.000553127	9.03701e-05	7.7458e-05	0.00171785	0.00229852	0.00257295	0.00263246	0.00200872	0.00266963	0.000577538	0.000372581	0.00135902	0.00137579	0.0189457	0.885744	0.0735792
é	0.000137913	0.000389104	7.2684e-05	0.000138074	3.61946e-06	0.000124719	0.000305149	0.000441654	0.00091537	0.00373371	0.00737437	0.00101367	0.000384516	0.000512018	0.000370064	0.013122	0.932315	0.0386461
</S>	0.000221862	0.000333809	0.000429283	9.48322e-05	0.00034971	0.000869021	0.00321992	0.00414219	0.00735096	0.010256	0.00886586	0.0137537	0.00706801	0.0387392	0.0387339	0.12633	0.270175	0.469067
