 	celle-ci	est	la	chemise	de	mon	père	celle-là	à	leur	oncle	quelle	est	la	votre	</S>
á	0.00284327	0.00622381	0.00761495	0.00010699	0.0335256	0.01407	0.00733031	0.285335	0.340987	0.00513568	0.0199172	0.0430128	0.0728509	0.0619796	0.0015405	0.0975261
n	0.00140857	0.00407526	0.00634727	0.00352897	0.0100398	0.0127575	0.00719244	0.217872	0.276897	0.0599619	0.0431103	0.0906916	0.141669	0.0745106	0.015124	0.0348136
g	0.000142219	0.00013623	0.000561595	9.29178e-05	0.00168743	0.0534766	0.000202186	0.0111286	0.0322713	0.00421484	0.846881	0.0285393	0.0037953	0.00607274	0.00313354	0.00766411
ó	3.66655e-05	2.3847e-05	0.000106385	0.000205991	0.00137552	0.0243429	0.00148166	0.00236249	0.0126054	0.00309306	0.931834	0.0142	0.00176132	0.00274857	0.00167238	0.00214986
l	2.54971e-05	1.88285e-05	8.18242e-05	0.00025852	0.00232823	0.0201753	0.0134098	0.00282233	0.0135524	0.00973853	0.841678	0.0559535	0.00559578	0.00653402	0.00648673	0.0213407
ó	0.000272928	0.000262622	0.00123535	0.000511221	0.00644963	0.0141199	0.00783005	0.0139247	0.0302468	0.156827	0.198672	0.359489	0.079404	0.056592	0.0471526	0.0270093
m	0.000139988	0.000204507	0.000540139	2.52659e-05	0.00206754	0.00565372	0.00273494	0.0105678	0.0244513	0.0412133	0.144042	0.378556	0.135952	0.137143	0.0457975	0.0709103
i	0.0183239	0.0120356	0.0223839	7.7106e-05	0.0599462	0.0256452	0.00191173	0.0779961	0.124491	0.019316	0.0288349	0.160965	0.157813	0.117884	0.00444183	0.167934
y	0.000791123	0.00148955	0.00320541	0.000314154	0.00276723	0.00275467	0.000536517	0.0232651	0.0419271	0.0319633	0.0242668	0.105101	0.247638	0.204795	0.0707498	0.238435
a	0.000665442	0.00328072	0.00883502	0.00112135	0.0228516	0.0371136	0.00135321	0.0557496	0.129818	0.0209469	0.0287744	0.141476	0.144792	0.296961	0.0240801	0.0821801
b	0.000471023	0.000657906	0.00526262	0.000385057	0.0125753	0.0307609	0.000737295	0.0184824	0.0581028	0.0647959	0.0282608	0.195777	0.0927203	0.242553	0.0333101	0.215147
á	0.000352109	0.000968177	0.00234101	0.000117371	0.004547	0.00405505	0.00232838	0.0440425	0.0696274	0.15124	0.00263322	0.090062	0.0895695	0.0805639	0.404395	0.0531577
a	0.000416268	0.000432026	0.00170664	0.00017776	0.00349148	0.0150339	0.0110735	0.0235872	0.0661182	0.170883	0.0224226	0.110793	0.101997	0.0830434	0.247405	0.141418
m	9.91714e-05	0.000304701	0.00110278	0.000117335	0.00128495	0.000717619	0.000479921	0.00382199	0.00884219	0.00529311	0.00479325	0.0532226	0.198689	0.245833	0.104074	0.371324
á	0.000824026	0.00956828	0.0141741	6.56407e-05	0.0212376	0.00258049	0.000134623	0.0432376	0.053888	0.00440131	0.00146145	0.0578086	0.225429	0.341657	0.0211934	0.202339
b	0.000522089	0.000403643	0.00641295	0.000190915	0.0108404	0.010229	0.00105972	0.00750144	0.0160165	0.0458562	0.00781119	0.0561696	0.0582772	0.161785	0.36037	0.256554
í	0.000795654	0.00105995	0.00401566	3.96793e-05	0.0027217	0.00363611	0.000531883	0.0127122	0.0127062	0.0321187	0.000433862	0.0223099	0.0317064	0.053225	0.802722	0.0192648
n	0.00116934	0.00055272	0.00256845	7.47852e-05	0.00536551	0.0283816	0.00281722	0.011914	0.0248432	0.209363	0.00577501	0.0318028	0.0152213	0.0225417	0.574525	0.0630836
í	0.0017763	0.00107583	0.00225435	0.0100409	0.00311912	0.00812696	0.00508626	0.00773931	0.0214111	0.0158619	0.00704341	0.0302818	0.0416839	0.0633694	0.350753	0.430376
m	0.000313429	0.000434965	0.000781637	0.000321876	0.00153692	0.00101777	0.00128447	0.00489619	0.0116844	0.0194076	0.0143133	0.0753722	0.138187	0.162172	0.137404	0.430872
u	0.0127403	0.0156251	0.0231557	0.00021025	0.0652387	0.00927904	0.000852717	0.030315	0.0523392	0.00723413	0.00300259	0.0600679	0.128827	0.265849	0.0127585	0.312505
</S>	5.84124e-05	0.000444863	0.000680398	0.00024618	0.00233876	0.000497741	3.99747e-05	0.00941695	0.0172929	0.00156596	0.00203057	0.0457888	0.160179	0.282365	0.00860221	0.468453
