 	sa	mère	lui	a	administré	une	bonne	fessée	car	il	est	trop	têtu	</S>
έ	7.93478e-05	3.3693e-07	0.000339205	0.00106298	0.00121901	0.0150184	0.0389484	0.772211	0.0877734	0.0266401	0.0163786	0.0031388	0.0301413	0.00704894
o	0.00017343	1.90619e-06	0.00034773	0.00163538	0.0123226	0.0533449	0.0999103	0.143585	0.137654	0.130987	0.129034	0.0366795	0.0171781	0.237146
b	2.22404e-05	2.28107e-05	0.000422037	0.00472794	0.0307727	0.0514217	0.041746	0.154539	0.0813057	0.0468502	0.179856	0.168738	0.151282	0.0882936
v	1.78475e-05	2.53191e-06	0.000976449	0.00439957	0.00444024	0.0303009	0.0672661	0.333814	0.103831	0.0235292	0.0411189	0.0432614	0.275353	0.0716894
έ	0.000256684	7.64724e-07	0.000412401	0.00196535	0.0019579	0.0171479	0.063705	0.346014	0.224126	0.0588395	0.0503464	0.0226533	0.179402	0.0331727
t	0.000199664	2.90561e-06	0.000208986	0.000638988	0.00429717	0.019638	0.0450078	0.0495554	0.0925596	0.101012	0.123139	0.067317	0.0429476	0.453475
s	0.00327205	3.23413e-05	0.000486752	0.00142093	0.000949874	0.0111814	0.0380595	0.0937684	0.188055	0.329356	0.209465	0.0750448	0.0212079	0.0276997
í	0.000491457	1.15306e-05	0.000132734	0.000667578	0.00173253	0.0160349	0.0356557	0.0943163	0.56299	0.124122	0.0641682	0.0242544	0.0457795	0.029643
n	0.00763533	0.000212161	0.00117149	0.00505013	0.00853585	0.0319701	0.162675	0.0970163	0.230814	0.137784	0.103744	0.0369965	0.0237571	0.152639
a	0.00408315	0.00018033	0.00221013	0.00526888	0.0303114	0.0315202	0.0449259	0.0183666	0.127048	0.206594	0.152366	0.110961	0.0312872	0.234876
w	0.00175579	0.000105289	0.00350717	0.00334277	0.00521804	0.00720847	0.0347072	0.00733554	0.0428349	0.115592	0.265512	0.189693	0.0430849	0.280102
a	0.0108064	0.000336497	0.00186358	0.00550805	0.00673977	0.024485	0.11485	0.0701281	0.180669	0.198843	0.185552	0.148453	0.0265748	0.0251907
a	0.00290336	0.000187658	0.000864528	0.000546088	0.00108506	0.00185404	0.0123213	0.0096547	0.0703639	0.167195	0.22426	0.23685	0.101477	0.170438
p	9.0595e-05	4.86851e-05	0.00116924	0.00658372	0.0108804	0.00992416	0.00923509	0.0141424	0.0048066	0.00962366	0.0825861	0.624616	0.0898557	0.136437
é	4.91211e-06	2.21682e-05	9.19683e-05	0.00244722	0.00218123	0.00325768	0.00220862	0.00616327	0.00414941	0.00796629	0.108341	0.629416	0.0596397	0.17411
n	0.000358571	3.30129e-05	0.000237057	0.00169925	0.00229493	0.0039925	0.0105008	0.00958381	0.0141943	0.0291614	0.154817	0.452031	0.0868152	0.234281
d	0.00165987	4.05266e-05	0.000604502	0.00201531	0.00939363	0.0107711	0.0448154	0.0167267	0.0274305	0.0618752	0.125641	0.340978	0.170065	0.187983
í	0.000531309	0.000126183	0.00113175	0.0015784	0.00573955	0.00508446	0.0107339	0.00322249	0.0216851	0.0418745	0.10242	0.207642	0.123887	0.474343
i	0.000338498	1.45783e-05	0.00237236	0.00113586	0.00275277	0.00481003	0.0187666	0.00636715	0.0623463	0.128898	0.135948	0.206625	0.148512	0.281114
b	0.000534079	1.68478e-05	0.00238794	0.0014027	0.004908	0.00600268	0.00658202	0.0227363	0.0144077	0.0210441	0.0421718	0.215507	0.258063	0.404236
o	6.87323e-05	5.71823e-06	0.000401918	0.0010667	0.00131921	0.00310675	0.0245399	0.0497652	0.0219065	0.0104669	0.0300349	0.0875163	0.623028	0.146773
ó	5.78015e-06	4.27892e-06	6.18418e-05	0.000530687	0.00100792	0.00206639	0.00550903	0.0113313	0.0247726	0.0110603	0.0324737	0.057355	0.242539	0.611282
p	0.000750179	7.25365e-06	0.00193728	0.0018027	0.0151103	0.0111078	0.0297883	0.0143555	0.0293637	0.0290154	0.037702	0.157259	0.244461	0.427339
á	0.000190721	4.78958e-05	0.000374212	0.00358486	0.00207591	0.00505408	0.0101613	0.0157256	0.0171375	0.0275181	0.0993589	0.402906	0.130299	0.285565
m	0.000442177	0.00023563	0.00220069	0.00320911	0.00205704	0.00235545	0.00527525	0.00838364	0.0572753	0.0556925	0.0763645	0.241595	0.183511	0.361403
i	0.000205522	4.64148e-06	0.000597618	0.000466284	0.00095603	0.00125515	0.0111597	0.0229078	0.0352462	0.0504791	0.0526438	0.118652	0.324919	0.380507
</S>	0.00165242	0.000107038	0.00162418	0.00100781	0.00145736	0.0020228	0.00721882	0.00582775	0.0195648	0.0514333	0.0797473	0.199511	0.0851891	0.543637
