 	j'	aime	bien	cet	enfant	car	il	est	toujours	prêt	à	faire	des	commissions	</S>
á	0.00293352	0.00962844	0.0226891	0.0376378	0.880865	0.0233941	0.00359923	0.00157556	0.000796449	0.00845404	0.00180157	0.00134705	7.63966e-05	0.000731629	0.00447039
n	0.00923713	0.000750832	0.00987302	0.024976	0.93584	0.00753056	0.00431445	0.000700659	0.00140648	0.00051771	0.000943599	0.000354538	0.000480771	0.000240625	0.00283333
a	0.0665608	0.0297535	0.0567424	0.149375	0.47516	0.0162887	0.0145066	0.00814598	0.00445693	0.0101605	0.0101841	0.00531397	0.00280666	0.00135025	0.149195
w	0.0238255	0.177844	0.30944	0.298101	0.0185863	0.0831319	0.0251012	0.0109492	0.0103189	0.00309924	0.0103464	0.00907916	0.0124424	0.00164555	0.00608907
ó	0.0076132	0.0990601	0.1317	0.0552215	0.00614372	0.249686	0.106907	0.0512649	0.0518594	0.0971386	0.0240442	0.0358455	0.00928557	0.0408447	0.0333853
t	0.00312659	0.0196833	0.158346	0.117883	0.0103685	0.288949	0.121313	0.0893233	0.0615808	0.017979	0.0321348	0.0227717	0.00948459	0.00753594	0.0395202
s	0.00564944	0.0315455	0.183442	0.0496234	0.00424164	0.344152	0.108362	0.0619748	0.0467835	0.0921858	0.0169288	0.0163967	0.00150806	0.0157514	0.021455
i	0.000129012	0.0726561	0.113168	0.0148895	0.00148419	0.526361	0.0995201	0.0473208	0.0295006	0.0238566	0.0116394	0.0363547	0.002167	0.00452198	0.0164309
n	0.0013774	0.0212272	0.103802	0.0382358	0.0756538	0.392238	0.0779694	0.02993	0.0164583	0.0142549	0.0123068	0.0201572	0.00311309	0.00249177	0.190784
a	0.00672233	0.0134996	0.0433443	0.0956758	0.179199	0.255456	0.0758997	0.0311101	0.0149152	0.0147882	0.0334424	0.0212022	0.00976264	0.00262232	0.202361
w	0.00114312	0.0067275	0.0655222	0.111569	0.0634751	0.384945	0.197853	0.0700241	0.0445891	0.00642114	0.0138371	0.00940748	0.0111272	0.00106337	0.0122951
a	0.00266717	0.00453452	0.0454135	0.0379741	0.0113608	0.230336	0.186031	0.0874145	0.111355	0.0575218	0.058373	0.0674518	0.0206578	0.0158368	0.0630724
l	0.00109592	0.0020002	0.0178251	0.0300171	0.0177043	0.287992	0.267967	0.130347	0.129061	0.0174147	0.0345674	0.0167935	0.0245027	0.00307298	0.0196395
á	0.0243323	0.0145616	0.0226944	0.0178205	0.00495756	0.0316489	0.0604682	0.118528	0.0517799	0.0124409	0.0861785	0.0619013	0.0520845	0.00445233	0.436151
a	0.00332904	0.00732597	0.019708	0.0328238	0.0509571	0.0694488	0.204112	0.276831	0.145579	0.0592402	0.0399933	0.0223854	0.0202055	0.00397958	0.044081
d	0.00300191	0.136637	0.0447139	0.0156471	0.006094	0.0473591	0.0486128	0.148364	0.0451031	0.432335	0.0130392	0.0229709	0.00384437	0.0257033	0.00657477
z	0.00023575	0.160272	0.0595133	0.0443534	0.00434137	0.040224	0.0480406	0.194026	0.0365423	0.277325	0.0227738	0.0533708	0.0083552	0.0100217	0.0406048
w	0.000577709	0.0592085	0.031499	0.17662	0.0157919	0.025039	0.0236922	0.0788839	0.0179297	0.532547	0.0152753	0.0105733	0.000829719	0.00173417	0.00979933
á	0.000543274	0.00159091	0.017342	0.0637576	0.0305173	0.0269293	0.0607499	0.121665	0.0874652	0.148919	0.174426	0.0907918	0.0312506	0.00425017	0.139803
á	0.000218515	0.00119794	0.00507062	0.0228625	0.0248054	0.0193825	0.0892052	0.137909	0.231931	0.187394	0.16333	0.0413124	0.0531974	0.00703505	0.0151485
i	0.00378191	0.00586889	0.0132986	0.016788	0.0325072	0.00948913	0.036824	0.0683873	0.142682	0.0592385	0.317731	0.111738	0.14819	0.0110996	0.0223755
t	0.00181013	0.00840289	0.0113896	0.00555685	0.00576867	0.0100242	0.0121932	0.0540513	0.033879	0.466938	0.070102	0.119752	0.0156777	0.149881	0.0345733
ó	6.781e-05	0.00190025	0.00373446	0.00121908	0.000620922	0.0151187	0.0152142	0.0422133	0.0335722	0.566782	0.0425825	0.0995007	0.00478536	0.161235	0.0114536
m	1.2242e-05	0.00133979	0.00108468	0.00115224	0.000152057	0.0169099	0.0165954	0.0378763	0.0485928	0.625895	0.0395686	0.069266	0.00889756	0.105627	0.0270298
á	4.56482e-05	0.00095387	0.00323853	0.0101133	0.00105167	0.00632512	0.0155985	0.0637345	0.0756882	0.469979	0.115825	0.0518571	0.0250123	0.0495	0.111077
</S>	0.000709172	0.0011192	0.00463583	0.00578863	0.00317972	0.0054728	0.0181216	0.0213264	0.0363715	0.0311813	0.231508	0.195989	0.275011	0.0847271	0.0848589
