 	le	féticheur	lui	a	exigé	un	sacrifice	avant	de	lui	donner	les	attributs	de	la	sorcellerie	</S>
b	0.0450976	0.100195	0.262741	0.247319	0.14056	0.0815817	0.026759	0.00439224	0.00928141	0.0350145	0.001848	0.0111177	0.00432217	0.00312786	0.00406097	0.00177203	0.0208092
i	0.116488	0.100721	0.216719	0.097989	0.0199898	0.117726	0.0724922	0.00437318	0.0397068	0.073189	0.00610227	0.0140794	0.0118266	0.0279842	0.0268045	0.0140195	0.0397881
w	0.0263586	0.120467	0.341859	0.165751	0.0201385	0.127224	0.0697143	0.00539443	0.0226379	0.0489499	0.00664748	0.0131677	0.00440623	0.00518626	0.00236599	0.00116294	0.0185686
a	0.0155629	0.0254477	0.177327	0.163684	0.0217672	0.14696	0.111943	0.00976184	0.0473835	0.103981	0.0636532	0.0343945	0.0137615	0.0231832	0.00779165	0.00406667	0.029331
e	0.0095388	0.0205818	0.174118	0.156726	0.0239089	0.177615	0.160571	0.00755171	0.0536059	0.0947485	0.028007	0.0300472	0.00806506	0.0122363	0.0141295	0.00321285	0.025336
l	0.00207899	0.000828522	0.00577688	0.0267966	0.0213911	0.443797	0.234771	0.157655	0.0174807	0.00632695	0.0426169	0.00784414	0.0158759	0.00377159	0.00122979	0.00801783	0.0037401
ó	0.000820974	7.53955e-05	0.00153668	0.0218541	0.0656226	0.252892	0.390049	0.196549	0.0076451	0.00133415	0.00334856	0.00489331	0.0234459	0.00709593	0.00311219	0.00887272	0.0108522
n	0.000141653	2.84764e-05	0.00153532	0.00910082	0.0306421	0.144513	0.496954	0.230142	0.00978566	0.00292862	0.00312811	0.00568237	0.0223617	0.00679772	0.00325393	0.00932858	0.0236756
g	0.000510564	8.84707e-05	0.00400305	0.0150367	0.015975	0.14539	0.514113	0.210324	0.0141846	0.00483693	0.00420414	0.00543314	0.0192358	0.00674457	0.0027361	0.0102043	0.0269786
ó	0.00158673	0.00484295	0.018791	0.00569144	0.0025252	0.0230546	0.799506	0.0258865	0.0315377	0.009043	0.00165414	0.00157115	0.00307419	0.00288002	0.00365166	0.0131781	0.0515262
m	0.00166987	0.000281504	0.0118352	0.0144689	0.00158054	0.0621272	0.369706	0.0802942	0.16428	0.124987	0.0351107	0.0306394	0.0364329	0.0170972	0.0114321	0.0056924	0.032365
í	0.0423046	0.00303207	0.0141099	0.0111354	0.00255567	0.0596983	0.0271719	0.0499813	0.149547	0.171946	0.0282557	0.201747	0.0276116	0.0412082	0.0157496	0.0032045	0.150741
p	0.00430802	0.00251938	0.010314	0.00792463	0.00245588	0.0255083	0.0318721	0.0611903	0.296676	0.153086	0.142581	0.0826975	0.0972002	0.0221415	0.024615	0.0201863	0.0147245
έ	0.00171357	0.00107873	0.00238951	0.00340482	0.000550629	0.00971253	0.052294	0.0491681	0.0498475	0.0554514	0.579099	0.0218914	0.0645646	0.0145348	0.00685477	0.0762627	0.0111819
ε	0.00139118	0.000338924	0.00109625	0.0012308	0.000290989	0.0160679	0.156902	0.035188	0.15049	0.181516	0.172396	0.0422403	0.0805614	0.0425001	0.0221089	0.0442449	0.0514365
l	0.000715958	2.91305e-05	0.00110427	0.00138521	0.000122478	0.00612119	0.0105949	0.0100753	0.115304	0.225307	0.0984002	0.258922	0.116534	0.0868068	0.0429873	0.00804637	0.0175445
á	0.00229701	0.000122075	0.00230237	0.00510542	0.00208149	0.0171533	0.0396249	0.0234276	0.106289	0.0193333	0.0417651	0.0889041	0.297476	0.0926209	0.0796443	0.0287289	0.153123
w	0.00176951	0.00203381	0.0163281	0.00729154	0.000703144	0.00314833	0.0119224	0.00388367	0.127358	0.0879846	0.0261955	0.14713	0.063396	0.0684093	0.318906	0.0741861	0.0393537
á	0.00251236	0.000573842	0.00392975	0.00575459	0.0010173	0.0081869	0.0316419	0.00537659	0.0867139	0.11709	0.117279	0.112742	0.114434	0.0884252	0.161643	0.0590798	0.0835999
p	0.00190641	0.00176568	0.00873231	0.00311431	0.000377911	0.00114172	0.00304937	0.00155745	0.0619804	0.201091	0.0899554	0.142602	0.103455	0.0582222	0.162846	0.102861	0.055343
y	0.000669763	0.000268881	0.00124692	0.00117932	0.000177112	0.00112705	0.00418513	0.00263996	0.0153718	0.0381042	0.241031	0.0443266	0.116735	0.0485183	0.101079	0.362359	0.0209812
o	0.000286336	5.99513e-05	0.000182755	0.000150244	5.45901e-05	0.00113999	0.0147204	0.00252283	0.0132356	0.0582841	0.245516	0.0181948	0.0799487	0.048064	0.0545416	0.417973	0.0451251
n	0.0005397	4.20372e-05	0.000395355	0.000580002	0.000182225	0.00217301	0.0108208	0.00481728	0.0142554	0.0656535	0.182551	0.0834213	0.106448	0.0655735	0.0616646	0.289379	0.111503
d	0.0033694	0.000532351	0.000757368	0.000425048	0.000137278	0.00696975	0.0138242	0.00468619	0.0187305	0.0186911	0.0369054	0.0284976	0.200259	0.0901204	0.0850385	0.333623	0.157432
o	0.000860172	0.000543412	0.0014045	0.000668849	0.000369141	0.00515423	0.0295659	0.0110644	0.0148624	0.00603022	0.0035223	0.0161553	0.120924	0.0575114	0.130842	0.42579	0.174732
</S>	0.000669317	0.00028247	0.000645237	0.000548798	0.000236425	0.0041497	0.0685355	0.00486865	0.0867139	0.0381426	0.0235702	0.0230075	0.0475004	0.0632792	0.110613	0.360639	0.166598
