 	le	village	est	dans	un	silence	tendu	aujourd'	hui	parce	que	les	femmes	sont	allées	à	la	pêche	avec	les	enfants	</S>
w	4.97138e-06	3.6328e-06	0.000122653	0.000358105	0.00034995	4.53327e-05	3.06541e-05	3.98508e-05	5.57527e-05	0.000319945	0.00194419	0.0075201	0.012504	0.00859539	0.9207	0.014288	0.0132305	0.00539057	0.00828832	0.000585371	0.000328452	0.00529477
á	0.000214497	3.63197e-07	0.000175048	0.00104856	0.00138488	0.000280957	0.000214337	0.000776379	0.000261993	0.000740391	0.00407392	0.0151923	0.0203694	0.0144117	0.843008	0.0170627	0.0268287	0.00268953	0.00932865	0.00647541	0.000647029	0.0348156
i	9.84165e-05	1.98205e-06	0.000229194	0.0011946	0.00352605	0.00238679	0.00310676	0.00367924	0.000116482	0.000684696	0.00647323	0.0349432	0.00812234	0.0183438	0.0361809	0.078849	0.288178	0.0436898	0.15778	0.244053	0.0119205	0.056441
t	0.000156139	2.09314e-05	0.000189426	0.000231839	0.000480815	0.000866685	0.000629793	0.000841273	0.00047863	0.000632729	0.00368237	0.00871363	0.00201274	0.00568076	0.0455671	0.024081	0.0619534	0.260186	0.347767	0.0424101	0.0468512	0.146567
ó	6.16971e-05	4.04396e-06	0.000299647	0.000492313	0.000596632	0.000764262	0.000599619	0.000814926	0.000234775	0.00187203	0.00483775	0.00880721	0.00108768	0.00387222	0.0124824	0.0104337	0.0291371	0.370011	0.32174	0.024808	0.141713	0.0653302
a	1.04321e-05	1.51097e-05	0.000138324	0.000163361	0.000171909	0.000169906	0.00124768	0.00179975	0.00044192	0.000850014	0.00436102	0.00428517	0.00216408	0.00418317	0.156622	0.0275898	0.0397858	0.378208	0.235987	0.0161947	0.0195547	0.106057
l	4.65807e-05	6.80079e-07	0.000335755	0.000689044	0.00106246	0.00108456	0.00212476	0.00239934	0.000245348	0.000427059	0.00254161	0.0112795	0.00325318	0.0253024	0.00752157	0.0250469	0.0625034	0.0381468	0.362551	0.27349	0.014952	0.164996
a	0.000169891	9.00531e-06	0.000570769	0.00251933	0.00260501	0.00173976	0.00140189	0.000999193	0.000573205	0.00443514	0.0119425	0.0156962	0.00269084	0.0105175	0.00592738	0.0190149	0.0287443	0.0589142	0.413616	0.0846397	0.0375997	0.295674
b	0.000182465	1.83926e-06	0.000667695	0.00162891	0.00190972	0.00158654	0.00283709	0.00222393	0.000506363	0.00175988	0.006002	0.0128979	0.00114958	0.0277141	0.00186093	0.00871336	0.0198339	0.0109307	0.186241	0.24786	0.117345	0.346148
á	0.000570281	1.4643e-06	0.000661074	0.000800265	0.00114181	0.00417469	0.0018112	0.00282023	0.00587979	0.0256738	0.00919007	0.0167047	0.00126062	0.0102002	0.000720136	0.00171031	0.00703494	0.0213167	0.137858	0.115507	0.605647	0.0293157
n	0.000432837	3.16692e-06	0.00082472	0.000925308	0.0011011	0.000775267	0.000939397	0.00167312	0.0146363	0.00685862	0.00544119	0.0171216	0.000812676	0.00806728	0.0012016	0.00255825	0.00797682	0.00507298	0.0542206	0.111199	0.663177	0.0949816
a	0.00111705	2.67654e-05	0.000207387	0.0015045	0.00352278	0.00380305	0.00247886	0.00234217	0.000391789	0.0066656	0.00809173	0.0077151	0.00110096	0.00442636	0.000607151	0.00554033	0.0187282	0.00735094	0.108884	0.175802	0.467391	0.172301
</S>	4.2062e-05	3.2949e-06	0.000182096	0.000293754	0.000222699	0.000323459	0.00194076	0.00191338	0.000234607	0.000615703	0.00382133	0.00428094	0.00190492	0.0163429	0.00485223	0.0131375	0.0281697	0.0317158	0.186788	0.145777	0.0850249	0.472412
