 	il	a	trouvé	une	astuce	pour	faire	faire	son	travail	par	son	frère	</S>
έ	0.000781143	0.00100102	0.00133144	0.0100144	0.0848992	0.022429	0.198204	0.462663	0.108716	0.0401306	0.0198799	0.00320884	0.0361529	0.0105878
ε	0.000501442	0.00026317	0.000394964	0.00762089	0.0901945	0.108513	0.21578	0.237868	0.115293	0.0200542	0.0381552	0.024685	0.0057949	0.134882
l	0.00082606	0.00183502	0.0016884	0.00942551	0.0141678	0.0918034	0.10004	0.215368	0.390898	0.103682	0.0338909	0.0162947	0.00260439	0.0174762
á	0.00152033	0.00599995	0.00635743	0.0100498	0.0308102	0.0362475	0.0551522	0.16481	0.275826	0.130491	0.0983722	0.0258337	0.0066981	0.151831
i	0.0127565	0.00930481	0.0029199	0.00760339	0.0164541	0.0543209	0.0427145	0.0762881	0.314304	0.211382	0.0897646	0.117525	0.0224444	0.0222184
s	0.000487261	0.00183497	0.00132877	0.0044512	0.0132901	0.0063304	0.0154391	0.0452625	0.0960614	0.564137	0.142168	0.0170271	0.0668565	0.0253258
á	0.000187799	0.00277152	0.00560296	0.0037057	0.00742645	0.0028699	0.00374835	0.0161561	0.12118	0.542054	0.0778524	0.023635	0.152813	0.0399965
l	0.000522604	0.000701195	0.00122417	0.00144018	0.00493262	0.00656729	0.00652169	0.0224373	0.12626	0.41751	0.130965	0.0492531	0.112433	0.119231
a	0.000198407	0.000342185	0.000480005	0.00204336	0.00855023	0.0178626	0.0304211	0.0728397	0.237462	0.230324	0.208907	0.0787722	0.0129785	0.0988189
l	0.000103534	0.000406714	0.000564926	0.000962662	0.00344611	0.0115079	0.0156093	0.0412905	0.177376	0.311062	0.177449	0.175368	0.0129556	0.0718978
á	0.00066526	0.00129349	0.000581894	0.00161891	0.00860076	0.00657688	0.0121689	0.032123	0.09306	0.287568	0.282443	0.0686886	0.0169205	0.187692
w	0.00517989	0.00370469	0.00114229	0.00423142	0.00602975	0.0200539	0.0100956	0.0124937	0.0605003	0.112439	0.189703	0.448665	0.0790434	0.0467179
a	0.00431381	0.00199872	0.000586651	0.00475039	0.0144041	0.0229646	0.0295255	0.0482648	0.112066	0.0882148	0.215708	0.37075	0.0158897	0.0705632
l	0.000278963	9.91397e-05	0.000119685	0.000282127	0.00175516	0.00321744	0.00614147	0.0149406	0.0574501	0.157434	0.299758	0.336705	0.031708	0.0901107
a	0.00247354	0.00937741	0.00293912	0.00508647	0.0104523	0.00639846	0.00902783	0.0167984	0.0379965	0.189913	0.220778	0.128171	0.0531452	0.307443
o	0.000373012	0.00030762	0.000488705	0.00129868	0.00427883	0.00726665	0.00523869	0.00761505	0.042765	0.0525072	0.19416	0.545938	0.0594421	0.0783202
d	5.81839e-05	0.000736019	0.00169823	0.00273733	0.00648213	0.00248422	0.00310523	0.00586562	0.0191425	0.232708	0.155904	0.131186	0.340727	0.0971665
i	4.79542e-06	0.00020006	0.0030606	0.002305	0.00393863	0.00077086	0.000648646	0.00204376	0.012959	0.249812	0.0853911	0.0644121	0.457487	0.116967
m	8.25495e-06	0.000103277	0.00149763	0.00228545	0.00703086	0.00181533	0.00114111	0.00450664	0.0275572	0.147546	0.119707	0.0954643	0.430981	0.160355
í	3.03057e-05	5.06488e-05	0.000520776	0.00184323	0.00832293	0.0020465	0.00196667	0.00757731	0.0298434	0.140653	0.131512	0.0489086	0.410382	0.216342
</S>	0.000223314	0.000268533	0.000143134	0.000769461	0.00283054	0.00749944	0.00596619	0.0111418	0.0336083	0.0405232	0.101445	0.240912	0.0556116	0.499057
