 	le	vin	du	palmier	à	huile	que	j'	ai	bu	hier	m'	a	énivré	</S>
l	0.00228957	0.000272837	0.0140517	0.0101723	0.0955413	0.0904787	0.275803	0.142454	0.233485	0.041552	0.0147759	0.0359332	0.0226052	0.00751048	0.0130745
a	0.00319606	0.00208468	0.0121102	0.00465374	0.0506741	0.0155491	0.0963033	0.192476	0.187961	0.216295	0.0639688	0.0491629	0.0362491	0.00510122	0.0642148
p	0.00138212	0.000121494	0.00801595	0.00105171	0.03884	0.0208122	0.169456	0.116597	0.164736	0.165312	0.222098	0.0426705	0.0184165	0.00439647	0.0260936
ó	0.000197288	0.000196374	0.00124734	0.000229231	0.00201553	0.0032006	0.0101131	0.00507636	0.00648127	0.1536	0.813948	0.000430021	0.000924675	0.00139478	0.00094621
a	5.21405e-05	9.24973e-05	0.00139648	0.000162562	0.0032894	0.0029188	0.0164043	0.00735014	0.013451	0.0824187	0.834173	0.00564596	0.00669633	0.0152174	0.0107317
á	0.00032699	9.22857e-05	0.00150096	0.000973204	0.00286424	0.0039656	0.0241434	0.0465314	0.0986772	0.0185448	0.0788557	0.247156	0.402446	0.0509664	0.0229552
l	0.00145721	0.00108887	0.00308201	0.00224415	0.00179372	0.0018297	0.00333228	0.00900764	0.0213514	0.0225514	0.0641522	0.0462194	0.44945	0.347634	0.0248067
á	0.000125494	0.000160387	0.000494773	0.000326147	0.000341617	0.000631792	0.00172697	0.00683127	0.0140553	0.0120061	0.0543716	0.0315898	0.2534	0.597003	0.0269355
n	8.95144e-05	0.000118261	0.000649169	0.000222744	0.000787547	0.000683737	0.00425622	0.00670097	0.0138979	0.0220815	0.080534	0.0254431	0.120159	0.687477	0.0368999
g	0.000231718	0.000169994	0.00175483	0.000373724	0.00306206	0.00178389	0.0170653	0.0204896	0.0533056	0.0794325	0.21429	0.127886	0.172089	0.22699	0.0810767
i	0.000867357	0.000937347	0.00599987	0.000367877	0.00795243	0.00124251	0.0258741	0.0773006	0.157078	0.200594	0.182261	0.156807	0.0475748	0.098374	0.036768
s	0.000614124	0.000154613	0.00411221	0.000594219	0.0104097	0.0052976	0.0588073	0.0727534	0.117848	0.0289801	0.255939	0.197742	0.0675247	0.0172542	0.161969
i	0.0013556	0.000644211	0.00689791	0.00095434	0.00927275	0.00326167	0.0352978	0.0512947	0.0657465	0.0903393	0.211013	0.0434397	0.0575721	0.270832	0.152079
n	0.00202458	0.000142069	0.00570953	0.00146632	0.00613893	0.00385439	0.0315547	0.0772534	0.137875	0.0102679	0.0827254	0.249917	0.127172	0.0206482	0.243251
g	0.00424808	0.000497608	0.00396106	0.000466972	0.00588701	0.00132438	0.0104483	0.191503	0.135831	0.129769	0.0178741	0.240595	0.0444911	0.0381903	0.174912
á	0.000528337	0.000282829	0.00129401	5.9975e-05	0.00231297	0.000304569	0.00584691	0.221926	0.0926392	0.103248	0.0193412	0.398281	0.0453763	0.0155154	0.0930422
</S>	0.00349765	0.000562121	0.00618906	0.00239822	0.00710671	0.00563971	0.0126036	0.012188	0.0601084	0.0130347	0.0691431	0.0456621	0.0833664	0.117441	0.561059
