 	cette	affaire	sera	traitée	aujourd'	hui	et	celle-ci	un	autre	jour	</S>
i	0.000258576	0.000530889	0.00191853	0.00425428	0.00219733	0.010081	0.0944835	0.285206	0.412337	0.0661319	0.0577013	0.0648999
i	0.000112125	0.000135895	0.000625059	0.00141795	0.00399658	0.009915	0.0507957	0.249304	0.423269	0.0650436	0.0143783	0.181006
m	0.00126265	0.000347181	0.00107956	0.00062612	0.010428	0.0161725	0.0960818	0.175694	0.35113	0.085811	0.0843237	0.177043
á	0.00751325	0.00271957	0.00353082	0.000451048	0.0158879	0.00475689	0.0395958	0.389277	0.14019	0.243473	0.0290279	0.123577
o	0.00250638	0.000567487	0.00225482	0.000945481	0.0132302	0.00687554	0.0497054	0.0521944	0.117538	0.270587	0.378456	0.10514
k	0.000457299	0.00251824	0.0039779	0.00731539	0.00217366	0.00241182	0.018576	0.0710141	0.206941	0.190131	0.396573	0.0979103
ω	5.38059e-05	0.00294524	0.00297331	0.0357419	0.00408096	0.00246936	0.0146033	0.048033	0.34808	0.0615109	0.411939	0.0675694
ω	0.000861028	0.00543772	0.00344074	0.00981878	0.0151015	0.00734363	0.0334302	0.0998725	0.282929	0.0221242	0.384974	0.134666
o	0.00635839	0.000392517	0.00152641	0.000508402	0.0120808	0.00195697	0.0227334	0.0433612	0.191715	0.406544	0.110925	0.201897
s	0.00699946	0.00159906	0.00576689	0.00322757	0.0211697	0.00237992	0.018605	0.0479913	0.118852	0.550193	0.0838525	0.139364
ú	0.00115887	0.000229738	0.00173627	0.00160381	0.0015742	0.000587993	0.00954074	0.0206185	0.0550009	0.807662	0.0230323	0.0772551
s	0.000636992	5.25574e-05	0.000472242	3.9882e-05	0.000913037	5.64308e-05	0.00678781	0.013491	0.0319888	0.820872	0.00776412	0.116925
u	0.00308949	0.00021084	0.00105046	0.000495472	0.00744303	0.00134289	0.0274895	0.0469402	0.118476	0.642614	0.0729047	0.0779437
</S>	0.000990487	0.00012247	0.000934595	0.000231397	0.00476214	0.00119276	0.022224	0.0196519	0.075197	0.300912	0.0584877	0.515294
